7252C_XX	7253C_XX	7271C_XX	7273D_XX	7348C_XXY	7349C_XXY	7383C_XX	7464C_XXY	7508C_XX	7516C_XXY
ARMCX5	NA	NA	NA	NA	NA	NA	NA	0.75	0.933333333333333	NA
ARMCX6	0.595238095238095	0.972972972972973	NA	0.891891891891892	NA	NA	NA	NA	NA	NA
ARSD	0.704761904761905	0.947368421052632	NA	0.586206896551724	NA	NA	0.185185185185185	0.884615384615385	0.666823251823252	NA
ASMTL	0.487734487734488	0.941529154034495	NA	0.941860465116279	NA	NA	0.78	NA	0.715745617243313	NA
ATG4A	NA	NA	NA	NA	0.911764705882353	NA	NA	NA	0.95	NA
ATP6AP1	NA	NA	NA	NA	0.918842193951217	NA	NA	NA	NA	NA
ATP6AP2	NA	0.967128027681661	NA	NA	NA	NA	NA	NA	0.789618887713169	0.938080495356037
ATP7A	NA	NA	0.675	NA	NA	NA	NA	NA	NA	NA
ATRX	0.692307692307692	0.72	NA	NA	0.4	NA	NA	0.75	0.796610169491525	NA
BCAP31	NA	0.934673366834171	NA	0.458333333333333	NA	NA	0.807814021421616	NA	NA	NA
BCOR	NA	NA	NA	NA	NA	0.382352941176471	0.6	0.59375	0.583333333333333	0.854166666666667
BCORL1	NA	0.8	NA	NA	NA	NA	NA	NA	NA	0.333333333333333
BEX4	NA	0.241935483870968	0.769230769230769	0.925	NA	NA	NA	0.958333333333333	0.392156862745098	NA
BGN	0.887699508700079	0.871513192684743	0.921845011073669	0.876801751330419	0.8974346078456	NA	0.611440643005403	0.882500256727652	0.650860976469012	0.86314626101337
BHLHB9	NA	0.833333333333333	NA	0.666666666666667	NA	NA	NA	NA	1	0.666666666666667
BRCC3	0.727272727272727	0.714285714285714	0.857142857142857	0.818181818181818	NA	NA	NA	NA	NA	NA
BRWD3	NA	NA	NA	NA	NA	NA	NA	0.833333333333333	NA	NA
C1GALT1C1	0.807692307692308	0.929325345885038	NA	0.897738126410554	NA	NA	NA	NA	NA	NA
CA5B	0.722222222222222	0.653031327473518	0.863782051282051	0.843939393939394	NA	0.498563218390805	0.603594080338266	0.70063025210084	0.626082251082251	0.636996336996337
CASK	0.652777777777778	NA	NA	0.791666666666667	NA	NA	NA	NA	0.678571428571429	NA
CCDC120	NA	0.833333333333333	NA	NA	NA	NA	NA	NA	NA	NA
CCDC22	0.346153846153846	NA	NA	0.916666666666667	NA	NA	NA	0.941176470588235	0.636363636363636	NA
CD99	0.8	0.513159559480496	0.771008403361344	0.544831223628692	NA	NA	0.935168195718654	NA	0.699895914650013	NA
CD99L2	NA	0.829268292682927	0.827403245942572	0.69672131147541	NA	NA	0.802743455510158	1	0.702181059371695	0.901408450704225
CDK16	NA	NA	NA	NA	NA	NA	NA	NA	0.919829555438411	NA
CENPI	0.333333333333333	0.615384615384615	NA	NA	0.668720295722584	NA	NA	NA	NA	NA
CHIC1	0.637037037037037	NA	0.857142857142857	NA	NA	NA	0.785714285714286	NA	NA	0.922705314009662
CHM	NA	0.844599844599844	0.878571428571429	NA	0.709264069264069	NA	NA	0.755	0.568611111111111	NA
CHST7	NA	NA	NA	NA	0.875	NA	0.454545454545455	0.5	NA	1
CLCN5	NA	NA	NA	NA	NA	NA	NA	NA	0.833333333333333	NA
CSTF2	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA
CTPS2	NA	NA	NA	NA	NA	0.526570048309178	NA	NA	1	0.5015625
CUL4B	NA	NA	0.91855420565098	NA	NA	NA	NA	NA	NA	NA
CXorf38	NA	NA	0.708237986270023	0.65625	0.760416666666667	NA	0.898305084745763	0.865384615384616	0.786283891547049	0.786195286195286
DDX3X	NA	NA	NA	0.994047619047619	0.886198547215496	0.799227799227799	0.891213389121339	NA	NA	0.939613526570048
DHRSX	NA	0.673195006747638	0.818650793650794	NA	NA	NA	0.769121573599186	NA	NA	NA
DIAPH2	NA	NA	0.822510822510822	NA	0.599025974025974	NA	NA	NA	0.954545454545455	NA
DKC1	0.841269841269841	NA	NA	0.76056338028169	0.932515337423313	NA	NA	NA	0.9375	NA
DLG3	0.444444444444444	0.631221719457014	NA	0.577272727272727	NA	NA	0.5	NA	NA	0.5625
DMD	NA	NA	NA	NA	NA	NA	0.409090909090909	NA	NA	NA
DNASE1L1	NA	NA	0.560975609756098	NA	0.885025229320824	NA	0.767753638739033	NA	0.66971250971251	NA
DOCK11	0.6875	NA	NA	0.8	0.660119047619047	NA	0.861363636363637	0.826173020527859	NA	0.392857142857143
DYNLT3	0.92	NA	NA	0.717391304347826	0.907724150479916	0.576271186440678	NA	NA	0.53843896713615	0.746349603671256
EDA2R	NA	0.826289728463641	NA	NA	NA	NA	NA	NA	0.809287808380367	NA
EFNB1	0.69047619047619	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF1AX	NA	NA	NA	0.96969696969697	NA	NA	NA	NA	0.880952380952381	NA
EIF2S3	0.711401198536998	0.663654512976778	0.84789519075807	NA	0.668815829806542	NA	0.759581881533101	0.888454011741683	0.996677740863787	NA
ELF4	0.41304347826087	0.984126984126984	0.796296296296296	0.73134328358209	0.826666666666667	NA	0.730769230769231	NA	NA	0.879310344827586
ELK1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
ENOX2	0.227272727272727	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERCC6L	NA	0.840740740740741	NA	0.4375	NA	NA	NA	NA	NA	NA
F8	NA	NA	NA	NA	0.454545454545455	NA	NA	NA	NA	NA
FAM104B	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75
FAM120C	0.25	NA	0.714285714285714	NA	NA	NA	0.651785714285715	NA	NA	NA
FAM199X	0.746753246753247	0.854636591478697	0.700757575757575	0.742063492063492	0.800925925925926	NA	0.791666666666667	0.764705882352941	0.75	0.791666666666667
FAM3A	0.569677419354839	NA	NA	NA	0.529395604395605	NA	NA	0.607549857549857	NA	NA
FAM50A	0.705202312138728	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA
FANCB	NA	0.8875	NA	0.833333333333333	0.888888888888889	NA	NA	NA	NA	0.723039215686274
FGD1	NA	0.805194805194805	0.68	NA	NA	NA	0.735778369318742	NA	0.75	NA
FGF13	0.258064516129032	NA	NA	0.857142857142857	NA	NA	NA	NA	NA	NA
FHL1	0.961832061068702	0.725254730713246	NA	NA	0.731587561374795	NA	NA	0.723723723723724	0.642642642642643	NA
FLNA	0.884057971014493	NA	NA	NA	0.935017833044149	NA	0.799574829931973	NA	0.778470931992496	NA
FMR1	NA	NA	NA	0.745098039215686	0.972222222222222	NA	0.702127659574468	NA	0.875	NA
FTSJ1	NA	NA	1	NA	NA	NA	NA	NA	0.658002049274483	NA
FTX	0.761904761904762	0.333333333333333	0.678571428571428	0.714285714285714	NA	NA	NA	0.708333333333333	0.524941724941725	NA
FUNDC1	NA	0.866666666666667	NA	0.885714285714286	NA	NA	NA	NA	NA	NA
G6PD	0.830357142857143	NA	NA	NA	0.88343253968254	NA	NA	0.909090909090909	NA	NA
GABRE	1	0.715851336163836	0.538461538461538	0.801470588235294	0.80952380952381	NA	0.533333333333333	NA	0.810024218020542	NA
GDI1	NA	NA	NA	NA	0.929368029739777	NA	NA	0.858333333333333	NA	NA
GEMIN8	NA	NA	0.814814814814815	0.363636363636364	NA	NA	0.5	NA	NA	NA
GK	NA	0.625	NA	0.375	NA	NA	1	NA	NA	NA
GLA	NA	NA	NA	NA	0.888888888888889	NA	NA	NA	NA	NA
GNL3L	1	0.543650793650793	NA	NA	NA	NA	0.703703703703704	0.875	NA	0.935483870967742
GPC4	0.708333333333333	NA	0.658204264870932	NA	0.672014925373134	NA	0.857894736842105	0.866820377689943	NA	NA
GPKOW	NA	NA	NA	0.980769230769231	NA	NA	NA	NA	0.949152542372881	NA
GPR173	0.793650793650794	NA	NA	NA	NA	NA	NA	0.672222222222222	0.693813131313131	NA
GPRASP2	NA	1	NA	0.529411764705882	0.882352941176471	NA	NA	NA	NA	NA
GRIA3	0.830985915492958	NA	0.7875	0.532602739726028	0.333333333333333	NA	NA	0.743362831858407	NA	0.259259259259259
GRIPAP1	NA	0.82051282051282	NA	NA	NA	NA	0.676056338028169	0.842105263157895	NA	NA
GRPR	NA	0.8	0.494444444444444	0.666666666666667	0.469444444444444	0.328253325621747	NA	0.840672748318465	NA	0.271929824561404
GSPT2	0.571428571428571	NA	NA	0.888888888888889	NA	NA	NA	NA	NA	NA
GTPBP6	0.923076923076923	0.782051282051282	0.84375	0.71830985915493	NA	NA	NA	NA	0.75438596491228	NA
GYG2	NA	0.764346764346764	NA	NA	NA	NA	NA	0.833333333333333	0.571428571428571	NA
HCFC1	0.809566508864754	0.94	NA	NA	0.886764976958525	NA	0.590714928346507	0.974358974358974	0.666208791208792	0.815533980582524
HDAC6	NA	NA	NA	NA	NA	NA	NA	NA	0.789473684210526	NA
HDAC8	NA	NA	NA	NA	NA	NA	NA	0.777777777777778	NA	NA
HDX	NA	NA	NA	0.369318181818182	NA	NA	NA	NA	0.818181818181818	NA
HEPH	NA	0.606078316773816	0.708333333333333	NA	NA	NA	NA	0.876300743281875	0.622222222222222	NA
HMGB3	0.5	0.64	NA	0.641025641025641	0.973684210526316	NA	NA	NA	NA	NA
HNRNPH2	0.831632653061224	NA	0.91703056768559	NA	0.87378640776699	NA	NA	NA	NA	NA
HTATSF1	NA	NA	0.908333333333333	NA	NA	NA	NA	NA	0.693548387096774	NA
HUWE1	NA	NA	NA	NA	NA	NA	0.91025641025641	NA	NA	0.987179487179487
IDS	0.791231746078559	NA	NA	0.878933069749411	0.824741851285969	NA	0.805381216325917	NA	0.740598329546777	0.93
IL13RA1	NA	NA	NA	NA	NA	NA	NA	0.852821744857414	NA	NA
IL13RA2	NA	0.647058823529412	NA	NA	NA	NA	NA	NA	NA	NA
IQSEC2	NA	0.555555555555556	NA	NA	NA	NA	NA	NA	NA	NA
IRAK1	0.832118688183238	NA	NA	NA	0.881271855785419	NA	0.838561358317061	NA	0.848458904109589	NA
JADE3	NA	NA	NA	NA	NA	NA	NA	0.846153846153846	0.888888888888889	NA
JPX	NA	NA	NA	0.305882352941176	NA	NA	NA	NA	NA	0.345454545454545
KCND1	NA	NA	NA	0.727272727272727	NA	NA	NA	1	NA	NA
KDM5C	NA	NA	NA	NA	NA	NA	NA	NA	0.838709677419355	0.858490566037736
KDM6A	NA	0.861111111111111	0.666666666666667	NA	NA	NA	NA	NA	0.833333333333333	NA
KLHL15	0.375	NA	0.67948717948718	0.478021978021978	0.933333333333334	NA	0.285185185185185	0.757918552036199	0.588235294117647	NA
LAGE3	0.766197421981004	NA	NA	NA	NA	NA	0.768326118326119	0.845849802371542	NA	NA
LAMP2	0.77041593210842	0.814620345824576	0.888217763217763	NA	0.86733385758306	NA	NA	0.931084656084656	0.647058823529412	NA
LAS1L	NA	NA	0.571428571428571	NA	NA	NA	NA	NA	NA	NA
LDOC1	NA	NA	NA	0.789915966386554	NA	NA	NA	NA	NA	NA
LRCH2	0.666666666666667	NA	0.384615384615385	NA	0.666666666666667	NA	NA	NA	0.75	NA
MAGED1	0.656126482213439	NA	NA	0.842198581560283	NA	NA	NA	NA	NA	NA
MAGED2	0.858418773383986	NA	0.857212537056054	NA	NA	NA	0.722578527326543	NA	NA	0.745599223993796
MAGEH1	NA	NA	NA	NA	NA	NA	0.910828025477707	0.89873417721519	NA	NA
MAMLD1	NA	0.827341137123746	0.809593023255814	0.658064516129032	NA	NA	0.578818334094716	0.61945542380325	0.876923076923077	0.930858218993812
MAP7D3	0.798646616541353	0.883008962868118	NA	NA	0.580464258036944	NA	NA	0.7721612931642	0.846356191730423	NA
MBNL3	NA	NA	NA	NA	NA	NA	NA	NA	0.472222222222222	NA
MBTPS2	0.777777777777778	0.940987555198715	0.728835978835979	0.706720430107527	NA	NA	NA	NA	0.8	0.952380952380952
MECP2	0.473684210526316	NA	NA	NA	0.854321907600597	NA	0.84375	NA	0.871304347826087	NA
MED12	0.555555555555556	0.875	0.8	NA	NA	NA	0.708333333333333	NA	NA	0.882352941176471
MED14	NA	0.818181818181818	0.636363636363636	0.51219512195122	0.930232558139535	NA	0.730769230769231	0.846153846153846	0.684210526315789	0.783132530120482
MID1	NA	0.578947368421053	NA	0.486486486486487	NA	NA	0.695970695970695	NA	NA	NA
MID1IP1	0.826120857699805	NA	0.665740740740741	0.759881422924902	0.816942692196242	NA	NA	NA	0.5	NA
MID2	0.829545454545454	NA	NA	NA	NA	NA	NA	NA	NA	0.751612903225807
MMGT1	NA	1	0.86046511627907	NA	0.811320754716981	NA	NA	NA	NA	0.755395683453237
MORC4	0.527359781121751	NA	NA	0.6	0.767123287671233	NA	0.864583333333333	NA	0.742857142857143	NA
MORF4L2	0.721669980119284	0.822384428223844	NA	0.931142410015649	0.80045871559633	NA	0.922374429223744	0.945841392649903	NA	NA
MOSPD1	NA	0.556656504065041	0.803453947368421	0.882447665056361	NA	NA	0.711873638344226	NA	NA	NA
MPP1	0.516129032258065	0.863636363636364	NA	NA	NA	NA	NA	0.694444444444444	0.529411764705882	NA
MSL3	NA	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA
MSN	NA	NA	NA	NA	NA	NA	NA	NA	0.921205098493627	NA
MTMR1	NA	0.726890756302521	1	0.794117647058823	NA	NA	0.666666666666667	0.708181818181818	0.755873015873016	0.827586206896552
MXRA5	0.758715925072154	0.931937172774869	0.854043702798822	0.747774480712166	0.577092511013216	NA	NA	NA	0.714825824429655	0.702104766523545
NAA10	0.674358974358974	NA	NA	NA	0.613526570048309	NA	0.706168831168831	NA	NA	NA
NAP1L3	0.75	NA	0.875	0.8	0.967741935483871	NA	NA	1	0.75	0.7
NHS	NA	NA	NA	NA	NA	NA	NA	NA	0.783333333333333	NA
NHSL2	0.466666666666667	0.54537037037037	NA	0.505750377073907	0.923076923076923	NA	NA	0.75	0.689814814814815	0.596491228070176
NONO	NA	0.727272727272727	NA	0.901554404145078	0.8	NA	NA	NA	NA	0.956578947368421
NSDHL	NA	NA	NA	NA	NA	NA	NA	NA	0.625	NA
NUDT10	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUDT11	NA	NA	NA	NA	NA	NA	NA	NA	0.862068965517241	NA
NXT2	0.705026455026455	NA	0.966666666666667	NA	0.8125	NA	NA	0.825757575757575	NA	0.678571428571428
OCRL	NA	NA	0.918462643678161	NA	NA	NA	NA	0.947368421052632	0.735294117647059	NA
OPHN1	NA	NA	0.583333333333333	NA	0.479166666666667	NA	0.658948507632718	0.709686147186147	0.736111111111111	0.747530864197531
OTUD5	NA	NA	0.0422535211267606	NA	NA	NA	NA	NA	NA	NA
PABPC5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
PDHA1	NA	NA	NA	NA	NA	NA	0.812106537530266	NA	NA	NA
PDK3	NA	NA	NA	NA	NA	NA	NA	0.608219954648526	NA	0.666666666666667
PGK1	NA	NA	0.62037037037037	NA	0.862068965517241	NA	0.75042735042735	NA	0.763027096360429	NA
PHF6	0.709677419354839	NA	NA	NA	0.811594202898551	NA	NA	NA	NA	0.796875
PHF8	NA	NA	NA	NA	NA	NA	0.64	0.738390092879257	0.888888888888889	NA
PHKA2	NA	0.7	NA	NA	NA	NA	0.35	NA	NA	NA
PIGA	0.928571428571428	NA	0.545454545454545	0.644444444444444	0.9	0.863636363636364	NA	NA	NA	0.794871794871795
PIN4	NA	NA	NA	NA	0.863013698630137	NA	NA	0.735849056603774	NA	NA
PIR	NA	NA	0.114285714285714	0.5625	0.371428571428571	NA	NA	0.620689655172414	0.571428571428571	NA
PJA1	0.833333333333333	NA	0.798332036989024	0.936283883521202	0.706714560764389	NA	NA	0.791177024482109	NA	0.815789473684211
PLCXD1	0.666666666666667	0.630952380952381	NA	0.5	NA	NA	NA	NA	0.679805996472663	NA
PLP2	NA	NA	NA	NA	NA	NA	NA	0.65	0.529411764705882	0.789473684210526
PLS3	NA	0.884615384615385	NA	NA	NA	NA	0.925423728813559	NA	NA	NA
PLXNA3	0.575	1	NA	NA	NA	NA	0.595177045177045	NA	NA	NA
PLXNB3	1	NA	NA	NA	0.65472027972028	NA	NA	NA	NA	NA
PNPLA4	0.833333333333333	NA	NA	0.571428571428571	0.689393939393939	0.777389277389277	0.583333333333333	NA	NA	NA
POLA1	NA	NA	0.825	NA	NA	NA	NA	0.8	0.5	0.823529411764706
PPP1R3F	NA	NA	NA	NA	NA	NA	NA	NA	0.777777777777778	NA
PRDX4	NA	NA	NA	NA	NA	NA	NA	NA	0.238095238095238	NA
PRKX	0.824603174603175	0.764705882352941	0.822222222222222	0.661111111111111	0.819444444444445	NA	0.642857142857143	NA	0.5	NA
PRPS1	NA	NA	NA	NA	0.5	NA	NA	NA	0.5	NA
PRPS2	0.818181818181818	NA	NA	1	NA	NA	NA	0.712204007285975	NA	0.884615384615385
PRRG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.785714285714285
PUDP	NA	0.844248935047967	0.856869605454511	0.885210477367905	0.816749635081868	NA	0.799386215283445	0.836617397553346	0.931034482758621	NA
RAB39B	1	NA	NA	0.272727272727273	NA	NA	NA	0.642857142857143	NA	NA
RAB9A	NA	NA	NA	NA	NA	NA	NA	NA	0.636363636363636	NA
RAP2C	0.766666666666667	NA	0.833333333333333	0.688782489740082	NA	NA	0.75	0.777777777777778	NA	NA
RBBP7	0.736842105263158	0.775987741335901	0.777777777777778	0.598214285714286	0.666666666666667	0.744523218716767	0.816737166185383	0.827231747297537	0.6875	0.7328837175896
RBM10	NA	NA	NA	NA	NA	NA	NA	NA	0.793454769990738	NA
RBM3	NA	0.734549564778648	NA	0.63974898992772	NA	NA	0.734662931092333	0.752771618625278	0.961538461538462	0.867219917012448
RBM41	0.565777972027972	0.601190476190476	0.683298319327731	0.691558441558441	0.696293429652563	NA	NA	0.75	0.935185185185185	NA
RBMX	NA	NA	NA	NA	0.988095238095238	NA	NA	NA	NA	NA
RBMX2	NA	NA	0.766666666666666	NA	NA	NA	NA	NA	NA	NA
RGN	NA	0.764705882352941	NA	NA	NA	NA	0.117647058823529	NA	NA	0.25
RLIM	NA	NA	NA	0.793241279069767	NA	NA	NA	NA	0.744271988174427	NA
RPGR	1	0.909090909090909	NA	NA	NA	0.801948051948052	0.680769230769231	NA	0.666666666666667	0.714285714285714
RPL10	NA	NA	NA	NA	0.554049060146621	NA	0.472508214676889	NA	0.616695156695157	NA
RPL36A	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA
RPL39	NA	NA	0.421686746987952	NA	NA	NA	NA	NA	0.93006993006993	NA
RPS4X	NA	NA	NA	0.988335100742312	NA	NA	NA	0.347826086956522	0.851851851851852	NA
RPS6KA3	NA	NA	NA	0.823529411764706	NA	NA	NA	NA	0.832199546485261	0.815789473684211
RPS6KA6	NA	NA	NA	NA	NA	NA	0.354166666666667	NA	NA	NA
RRAGB	NA	NA	NA	NA	NA	NA	0.82	0.76	NA	NA
SAT1	NA	0.647058823529412	0.434782608695652	0.59375	NA	0.428571428571429	NA	0.714285714285714	NA	0.571428571428571
SCML1	NA	NA	NA	NA	NA	NA	NA	NA	0.611111111111111	NA
SCML2	NA	0.5	NA	NA	NA	NA	NA	NA	0.666666666666667	NA
SH3BGRL	0.958333333333333	NA	NA	0.778242677824268	NA	NA	NA	NA	0.606635071090047	0.70625
SLC10A3	NA	0.885714285714286	NA	0.963636363636364	NA	NA	NA	NA	NA	NA
SLC16A2	NA	0.94	0.929824561403509	NA	0.785714285714286	NA	0.827586206896552	0.707317073170732	NA	NA
SLC25A43	NA	NA	NA	NA	NA	NA	0.741292722153282	0.670816135084428	0.678464714714715	0.876360444774452
SLC25A5	NA	NA	NA	NA	NA	NA	NA	0.930660235152246	NA	NA
SLC25A6	0.824194518077228	NA	0.911688311688312	0.875711574952562	NA	NA	NA	NA	NA	NA
SLC35A2	NA	NA	NA	0.875	NA	NA	0.714285714285714	NA	NA	NA
SLC38A5	NA	0.815789473684211	NA	NA	NA	NA	0.933333333333333	NA	NA	NA
SLC6A8	NA	NA	0.883720930232558	NA	NA	NA	NA	NA	0.757916241062308	NA
SLC9A6	NA	NA	0.81304347826087	NA	NA	NA	NA	NA	0.437312312312312	NA
SLC9A7	0.674765273041135	NA	NA	1	0.740835090464423	NA	0.757842809364549	0.76785237494066	0.816409319580675	0.738214285714286
SMARCA1	NA	NA	NA	NA	0.957983193277311	NA	NA	NA	NA	NA
SMC1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.818181818181818
SMS	0.24	0.840909090909091	NA	0.866666666666667	NA	0.837209302325581	NA	NA	NA	NA
SNX12	0.882882882882883	0.98974358974359	NA	NA	0.957943925233645	NA	0.855172413793103	0.945945945945946	NA	0.951086956521739
SPIN3	NA	NA	NA	NA	NA	NA	NA	0.845238095238095	NA	NA
SPIN4	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRPX	0.799043062200957	NA	NA	NA	0.607003891050584	NA	NA	NA	0.865671641791045	NA
SRPX2	NA	NA	NA	NA	NA	NA	0.674418604651163	NA	0.5	NA
SSR4	NA	NA	0.857142857142857	NA	0.4	NA	NA	0.545454545454545	NA	NA
STARD8	NA	0.588235294117647	NA	NA	0.928571428571429	NA	NA	NA	NA	NA
STK26	0.5	NA	0.636363636363636	0.416666666666667	NA	NA	0.75	NA	0.769230769230769	NA
STS	NA	NA	NA	0.868115942028985	0.691222570532915	NA	0.840909090909091	0.823529411764706	NA	NA
SUV39H1	NA	NA	NA	0.928571428571429	NA	NA	NA	NA	0.538461538461538	0.947368421052632
SYAP1	0.8	0.888888888888889	NA	0.805805805805806	0.745303626037571	NA	0.923076923076923	0.916666666666667	0.769230769230769	0.593567251461989
SYTL4	NA	0.636363636363636	NA	NA	NA	NA	NA	NA	0.375	NA
TAB3	0.260869565217391	NA	0.71875	0.823809523809524	NA	0.458333333333333	0.796875	0.811111111111111	0.757692307692307	NA
TAF1	NA	NA	NA	0.62962962962963	0.931034482758621	NA	NA	NA	NA	NA
TAF9B	NA	NA	0.383664066033469	NA	NA	NA	0.878378378378378	NA	0.637931034482759	NA
TBC1D25	NA	0.726190476190476	NA	0.870967741935484	NA	NA	0.821969696969697	0.854166666666667	NA	NA
TBC1D8B	NA	0.6875	NA	NA	0.793981481481482	NA	1	0.933333333333333	0.579903173390568	NA
TBL1X	0.721475256769374	0.772617930849638	0.936288759689923	NA	NA	0.660300618921309	NA	0.911421155094095	0.702650854551796	0.887583188314085
TCEAL3	0.954545454545455	NA	NA	NA	NA	NA	NA	NA	0.971356302980585	NA
TCEAL4	NA	0.97667638483965	NA	NA	0.873493975903614	NA	0.919238095238095	NA	0.684210526315789	NA
TCEAL7	0.318181818181818	0.25	NA	0.153846153846154	0.156862745098039	0.142857142857143	0.271186440677966	0.464285714285714	NA	0.222222222222222
TCEANC	NA	NA	NA	NA	NA	0.666305916305916	0.665178571428571	0.428571428571429	0.719940476190476	NA
TFE3	NA	0.949748743718593	NA	0.911330049261084	NA	NA	NA	0.8515625	NA	NA
THOC2	NA	NA	NA	NA	NA	NA	NA	0.458333333333333	NA	NA
TIMM17B	NA	0.991596638655462	NA	NA	NA	NA	0.75	0.822222222222222	NA	NA
TIMP1	NA	0.750357248551981	NA	NA	0.90625	NA	0.689683406113537	0.774547777817858	NA	0.861836007130125
TMEM164	NA	0.625	NA	NA	0.887524240465417	NA	NA	NA	0.651515151515151	0.576923076923077
TMEM185A	0.6	NA	0.5	NA	NA	NA	0.833333333333333	NA	NA	NA
TMEM187	0.798188405797102	NA	NA	NA	0.752969831094831	NA	0.598269868218935	NA	NA	NA
TMEM47	NA	NA	NA	NA	0.965879265091864	0.492199687092807	NA	NA	NA	NA
TMSB4X	NA	0.730660361787813	0.56	NA	0.968860426691752	0.876923076923077	0.769230769230769	0.692348008385744	0.61031991744066	0.738255033557047
TRAPPC2	0.669871794871795	0.454545454545455	0.8125	0.691666666666667	0.944444444444444	0.707352941176471	NA	0.606359649122807	0.844226579520697	0.88
TREX2	NA	NA	NA	NA	NA	NA	0.578947368421053	0.5	0.666666666666667	NA
TRMT2B	0.666666666666667	0.76890756302521	NA	NA	0.650201612903226	NA	0.952380952380952	0.666666666666667	NA	0.888888888888889
TSC22D3	NA	NA	NA	NA	NA	NA	NA	0.909090909090909	NA	NA
TSPAN6	0.830188679245283	NA	0.943396226415094	0.611111111111111	0.716049382716049	NA	NA	0.96969696969697	0.611940298507463	0.895371263259402
UBA1	NA	NA	NA	NA	0.837837837837838	NA	0.935309973045822	NA	0.766274509803921	0.939393939393939
UBE2A	NA	NA	NA	NA	0.930434782608696	NA	0.966101694915254	NA	NA	NA
UBL4A	0.671385174397222	NA	NA	NA	NA	NA	0.781048024809437	0.807086207341962	NA	NA
UPF3B	0.75	NA	0.410714285714285	NA	0.891891891891892	NA	NA	NA	NA	NA
UPRT	NA	NA	0.740740740740741	NA	NA	NA	NA	0.739130434782609	0.651754385964912	NA
USP11	NA	NA	NA	NA	NA	NA	NA	NA	0.619047619047619	0.673684210526316
USP9X	0.973684210526316	NA	NA	NA	0.7734375	0.755744255744256	0.888198757763975	0.917647058823529	0.584615384615385	0.833333333333333
UTP14A	0.823529411764706	NA	NA	0.577777777777778	NA	NA	NA	0.745454545454545	0.605263157894737	NA
VBP1	0.852631578947368	0.953757225433526	0.83089951755508	0.977777777777778	0.872475856014048	NA	NA	0.796116504854369	NA	NA
VMA21	0.96	0.828282828282828	0.8	NA	0.875	NA	NA	0.75	0.862709645028224	0.574712643678161
WASH6P	0.325	0.222222222222222	0.789473684210526	0.62593984962406	NA	NA	0.333333333333333	NA	NA	NA
