AR_adj_mean_fib	AR_ci95_low_fib	AR_ci95_hi_fib	AR_pval_fib	AR_pval_adj_fib
SYAP1	0.448367682808653	0.182310644571234	Inf	0.0194515741510943	0.115038709981257
TAB3	0.0352192015008615	-0.0144391762798739	Inf	0.0968473085645076	0.211324865405187
TBC1D25	0.0849026286505574	-0.0223850953448146	Inf	0.0735309925879061	0.190426416702013
TBC1D8B	0.1292901024585	0.0477874310877843	Inf	0.0217913936638866	0.115838461055397
TBL1X	0.00442043222003938	-0.00598245133262115	Inf	0.195501109477885	0.211324865405187
TCEANC	0.220040709665169	0.103229046376368	Inf	0.0157495921194261	0.10582511934095
TFE3	0.031964411095271	-0.0345899652506891	Inf	0.147933047495981	0.211324865405187
TIMM17B	0.0226845831527234	-0.043554072549564	Inf	0.211324865405187	0.211324865405187
TIMP1	0.0515242992062701	-0.0989259115138693	Inf	0.211324865405187	0.211324865405187
TMEM47	0.00838356011551401	-0.00705304580779469	Inf	0.155685180402428	0.211324865405187
TMSB4X	0	NA	NA	NA	NA
TRAPPC2	0.261227548995278	0.0967304245567251	Inf	0.0107508929187265	0.0799011086270108
TRMT2B	0.211130949644719	-0.143917874067385	Inf	0.128079619220409	0.211324865405187
TSPAN6	0.00753342692394818	-0.00456643768115755	Inf	0.119550845349516	0.211324865405187
USP9X	0.219301342971499	0.0517206046636505	Inf	0.0270746611175216	0.133048445949517
VBP1	0.000171585449553779	-0.000329441588941767	Inf	0.211324865405187	0.211324865405187
VMA21	0.017218644364145	-0.0233030836792904	Inf	0.195501109477885	0.211324865405187
WWC3	0	NA	NA	NA	NA
XG	0.596525907777799	0.394237411639001	Inf	0.000963929358259154	0.0159860714750201
XIAP	0.0245244211550711	0.00249476859813189	Inf	0.0368733525664687	0.133048445949517
ZBTB33	0.0121020370747736	-0.0106014072498122	Inf	0.159630483562586	0.211324865405187
ZDHHC9	0.0040674026728646	-0.00780935448139223	Inf	0.211324865405187	0.211324865405187
ZFX	0.510591792233519	0.399036504883504	Inf	2.71455429931284e-05	0.00137084992115298
ZNF185	0.0252646248532044	-0.0485077154111987	Inf	0.211324865405187	0.211324865405187
ZNF275	0.1256750125023	-0.00700388441689284	Inf	0.0560433916074515	0.161725215781503
ZNF41	0.00469483568075115	-0.00901401680917237	Inf	0.211324865405187	0.211324865405187
ZNF75D	0.0791704992921754	0.00228487128968711	Inf	0.0475481716351458	0.150073916723429
ZRSR2	0.734281817203456	0.558076107872939	Inf	0.00334310676538826	0.0422067229130268
