7196D_XXY	7273C_XX	7275D_XX	7351C_XXY	7384C_XX	7434C_XXY	7492C_XXY	7493C_XXY	7509C_XX	7538C_XXY
EIF1AX	0.0138751238850345	0.497681607418857	0.414411744828626	NA	0.447592067988669	NA	0.449928468562746	0.398424271906936	0.579671379442109	NA
EIF2S3	NA	NA	NA	NA	0.278490954392806	0.321500298539868	0.502138153865229	NA	NA	0.395043731778425
ELF4	0	0	NA	NA	NA	NA	NA	0.042145593869732	NA	0.0973871733966742
ELK1	NA	NA	NA	NA	NA	NA	NA	NA	0.0166933455293849	NA
ERCC6L	NA	0.0765171503957782	NA	NA	NA	NA	NA	0.307692307692308	NA	0
F8	NA	NA	NA	NA	NA	NA	0.016641452344932	NA	NA	NA
FAM120C	0.328859060402685	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM199X	NA	0	NA	0	NA	NA	0	0	0.0371389270976616	NA
FAM3A	NA	NA	NA	NA	NA	NA	0.323786793953858	NA	NA	0.0199773840934786
FANCB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGD1	NA	NA	NA	NA	NA	NA	NA	0	0	NA
FHL1	0.00110987791342897	NA	NA	0	NA	NA	0.273326173911179	0.0164358742073249	NA	0.124733244672625
FLNA	NA	NA	NA	NA	NA	0	0	NA	NA	0.0131578947368419
FMR1	0	0	NA	0	NA	0.0702479338842974	NA	NA	0	NA
FTX	NA	NA	NA	NA	0.214285714285714	NA	NA	NA	NA	NA
FUNDC1	NA	0.0625	NA	NA	NA	NA	NA	NA	NA	NA
G6PD	NA	NA	NA	NA	NA	NA	0.0595611285266462	NA	0.00906314404191414	0.00182448799138207
GABRE	0	0.225529100529101	0.165140291806958	NA	NA	NA	0.145625586383889	NA	NA	NA
GDI1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA
GEMIN8	NA	0.198717948717949	0.642857142857143	NA	NA	NA	NA	0.233309440917469	NA	NA
GK	NA	NA	0.428571428571429	NA	NA	NA	NA	NA	NA	NA
GLA	NA	NA	NA	NA	NA	NA	0.0118577075098816	NA	NA	NA
GNL3L	NA	NA	NA	NA	NA	NA	NA	0.796747967479675	NA	NA
GPC4	NA	NA	NA	0	NA	0.036070074804146	NA	NA	NA	NA
GPKOW	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
GPR173	NA	NA	NA	NA	NA	NA	0.185836133367795	0.25925925925926	NA	NA
GPRASP2	NA	NA	NA	0.0540540540540541	NA	NA	NA	NA	NA	0.153976311336718
GRIA3	0	0.238157302673432	NA	0	NA	NA	NA	NA	NA	0
GRIPAP1	0.0147055513034079	NA	NA	NA	NA	NA	0	NA	0	NA
GRPR	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
GSPT2	NA	0.124513618677043	NA	NA	NA	NA	NA	NA	NA	NA
GTPBP6	NA	0.933862433862435	NA	NA	0.75	NA	NA	NA	0.766323843344755	NA
GYG2	NA	NA	NA	0.0126676602086437	NA	NA	0.032258064516129	0.402356902356903	NA	NA
HCFC1	NA	NA	NA	NA	0.412371134020619	0.213659851718715	0.0968311854219128	NA	0.0539860769005083	0.15141123200488
HDAC6	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
HDAC8	NA	NA	NA	0	NA	NA	NA	NA	0	NA
HDX	NA	NA	0.2	NA	NA	NA	NA	NA	NA	NA
HEPH	NA	NA	NA	0	NA	NA	0.116219786448404	NA	0.0289458397224214	0.0207048513923926
HMGB3	NA	NA	NA	7.40148683083438e-17	NA	NA	0	0.044032444959444	NA	NA
HMGN5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRNPH2	NA	NA	NA	NA	NA	NA	0.0444604977999602	NA	NA	0.076214253122577
HUWE1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDS	0	0	NA	0.0280940820254205	NA	0	0.0428594854762707	0.0143846563665421	0.0181195957424247	0
IGBP1	NA	NA	NA	NA	NA	NA	NA	NA	0.000302938503484302	NA
IL13RA1	NA	NA	NA	NA	NA	NA	0.062844542447629	NA	NA	NA
IL13RA2	NA	NA	NA	NA	NA	NA	NA	NA	0.0642188727766269	NA
IRAK1	NA	NA	NA	NA	NA	NA	0.0336228634181485	NA	NA	0
JADE3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0119250425894376
JPX	NA	0.00511654349061991	NA	NA	0.714285714285714	NA	NA	NA	NA	NA
KCND1	NA	NA	NA	NA	NA	NA	0	0	NA	NA
KDM5C	NA	NA	NA	NA	NA	NA	NA	NA	0.305555555555555	NA
KDM6A	NA	NA	0.478978978978979	NA	NA	NA	NA	NA	NA	NA
KIF4A	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
KLHL15	NA	0.0867579908675801	NA	NA	NA	NA	NA	NA	NA	0.0400937871487085
KRBOX4	NA	NA	NA	0.0540540540540541	NA	NA	NA	NA	NA	0.0320178704393151
LAGE3	NA	NA	NA	NA	NA	NA	0.0483915355732849	NA	NA	0.0202482037883738
LAMP2	0	NA	0.12	0.00801511312101879	NA	0	0.124792244640805	0.00962764174046888	0	0
LDOC1	NA	0.141398672486277	NA	NA	NA	NA	NA	0.00190114068441031	NA	NA
LRCH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38347718865598
MAGED1	0	0	NA	0	NA	NA	NA	0.000634517766497019	NA	NA
MAGED2	NA	NA	NA	NA	NA	NA	0.071954941829883	0	0	NA
MAGEH1	NA	NA	NA	0	NA	NA	NA	NA	NA	0.00565133414407349
MAMLD1	0	0	NA	0.0481949177451427	NA	0.0367775831873903	0.0780520287914435	0	NA	0.0502035278154676
MAP7D3	0.00433842063410729	NA	NA	NA	NA	NA	0.029792270989314	0.0328401417556758	NA	0.0112687316257851
MBTPS2	0	0.0433750620507839	NA	0.0105683410707012	NA	NA	NA	NA	NA	0
MECP2	0.137931034482758	NA	NA	NA	NA	0.0277777777777776	0.0212119643072888	NA	NA	0
MED12	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
MED14	0	0.0398293029871981	NA	NA	NA	NA	0.00614383809179574	NA	0.0212279140714372	0.0121353500350996
MID1	NA	0.00318979266347661	0.115384615384615	NA	NA	NA	NA	0	NA	NA
MID1IP1	0.071925754060325	0	NA	0	NA	NA	0.0504364631536953	0.105007196985733	NA	0.38347718865598
MID2	NA	NA	NA	NA	NA	NA	0.261083743842365	0.00990099009900988	NA	NA
MMGT1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
MORC4	0	0.00190114068441031	NA	0.0944881889763785	NA	NA	NA	NA	NA	NA
MORF4L2	0	0	NA	NA	NA	NA	0.00169204737732637	0	NA	0.0128913443830568
MOSPD1	NA	0.00949757888921372	NA	NA	NA	NA	0	0	NA	0
MPP1	NA	NA	NA	NA	NA	NA	0.084065244667503	0	NA	0.0709773318468973
MSL3	0.0616621983914207	NA	NA	NA	NA	NA	0.0706319702602233	NA	NA	NA
MSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00354669819287257
MTMR1	NA	NA	NA	NA	NA	0	0	NA	NA	NA
MXRA5	0	0.0490278951817409	0.109473417548998	0.0169634108026598	0.428131532179175	NA	0	0	0.113405416774985	0.081571608857819
NAA10	NA	NA	NA	NA	NA	NA	0.237983587338804	NA	NA	0.0426497277676949
NAP1L3	NA	0.18200408997955	0.191489361702128	NA	NA	NA	NA	NA	NA	NA
NHSL2	0	NA	NA	0	NA	NA	0.0381484437350357	0.00990099009900988	NA	0.0583055039128518
NONO	NA	0.00367146325575862	NA	NA	NA	NA	NA	NA	NA	NA
NSDHL	0	NA	NA	NA	NA	NA	NA	0	NA	NA
OCRL	NA	NA	NA	NA	NA	NA	0.0832157968970377	0.090121317157712	NA	NA
OPHN1	NA	NA	NA	NA	NA	NA	0	NA	0	NA
PABPC5	NA	NA	NA	0.342105263157894	NA	NA	NA	NA	NA	NA
PGK1	0.43593875906527	NA	NA	NA	NA	NA	0	0	NA	0.0574929311969837
PHF6	NA	NA	NA	NA	NA	NA	0.00284900284900251	0	0	0
PHF8	NA	NA	NA	0.174679487179487	NA	NA	NA	NA	NA	0.137931034482758
PHKA2	0	NA	NA	0.107142857142858	NA	NA	NA	NA	NA	NA
PIGA	0.203109445034557	1	NA	NA	NA	NA	NA	NA	0.019607843137255	0
PIN4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIR	0	0.0625	NA	0.0670553935860055	NA	NA	NA	0.0331491712707179	NA	0
PJA1	NA	0	0.18348623853211	NA	NA	NA	NA	0	NA	NA
PLCXD1	NA	NA	0.75	NA	0.835403726708075	NA	NA	NA	0.667364319591925	NA
PLP2	NA	NA	NA	NA	NA	NA	0.122807017543859	NA	NA	NA
PLS3	NA	NA	NA	0	NA	0	NA	NA	NA	0
PLXNA3	NA	NA	NA	NA	NA	NA	0	NA	NA	0
PLXNB3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNPLA4	NA	0.652777777777778	0.666666666666667	0.137931034482759	0.292460317460318	NA	NA	NA	NA	NA
POLA1	0.00367068694284176	NA	NA	NA	NA	NA	NA	0.00190114068441031	NA	0.0964733313902647
PRKX	0.121265377855887	0.38308599695586	0.111111111111111	0.136517315470172	NA	NA	NA	NA	NA	0.109608340377571
PRPS2	NA	0.0208877284595303	NA	NA	NA	0.0630855715178017	0	0	0	0.00468384074941411
PRRG1	NA	NA	NA	NA	NA	NA	NA	NA	0.00797910405037935	NA
PUDP	0.614941966299736	0.502080545530878	1	0.510642576624681	NA	0.722714824472583	NA	0.831543024403733	0.766830556708284	0.881235154394299
RAP2C	0.0272373540856033	0.0682041936756303	NA	NA	NA	NA	0	NA	NA	NA
RBBP7	NA	0.662336633853449	NA	NA	0.731601686654878	NA	0.743162350575756	0.666929444264075	0.44643205377519	NA
RBM3	NA	0	0.358974358974359	0	NA	NA	0.0304806944437896	0	0.00199623973425445	NA
RBM41	0	0.186132042204006	NA	NA	NA	NA	NA	NA	NA	0.0409999927708873
RBMX	NA	NA	NA	0.465648854961832	NA	NA	NA	NA	NA	NA
RLIM	NA	0.0376775850471859	0.15	0.0351398787799259	NA	NA	NA	NA	0	0.0163214416394365
RPGR	NA	0.462365591397849	NA	NA	NA	NA	0	NA	NA	NA
RPL10	NA	NA	NA	NA	NA	0.298245614035088	NA	NA	NA	NA
RPL36A	NA	NA	NA	NA	NA	NA	0.230769230769231	NA	NA	NA
RPS4X	0.415942865516321	0.630721625408687	0.490029224686264	0.582748689166236	NA	NA	NA	0.497433425399968	NA	NA
RPS6KA3	NA	0.0369181380417333	NA	0	NA	NA	0.0786516853932583	NA	0.00930044480388154	0.0208599404001697
RPS6KA6	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA
RRAGB	NA	NA	NA	0	NA	NA	NA	NA	NA	0.00367068694284176
SAT1	NA	0	NA	NA	NA	NA	NA	NA	NA	0.21259842519685
SCML2	0.184339314845024	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3BGRL	NA	0.0634129575528445	NA	0	NA	NA	NA	NA	NA	0.037536092396535
SH3KBP1	NA	NA	NA	NA	NA	NA	NA	0	0	NA
SLC10A3	NA	0.0221833041447752	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A2	NA	NA	NA	0.0227272727272727	NA	NA	NA	NA	NA	NA
SLC25A43	0	NA	NA	0	NA	0	0.020140821970184	0	NA	NA
SLC25A5	NA	NA	NA	0	NA	NA	0	0	NA	NA
SLC25A6	NA	0.708355539764316	NA	NA	NA	NA	NA	NA	0.928197763873218	NA
SLC9A6	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
SLC9A7	NA	0	NA	0	NA	NA	NA	NA	NA	0
SMARCA1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMC1A	0.602649006622517	NA	0.704545454545455	NA	NA	NA	NA	NA	0.360341151385928	0.578059071729958
SMS	NA	0.00537634408602096	NA	NA	NA	NA	NA	NA	NA	NA
SNX12	0	NA	NA	0	NA	NA	NA	NA	NA	NA
SPIN3	0.184339314845024	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRPX2	NA	NA	NA	NA	NA	NA	NA	0.0625	NA	0.109792284866469
STAG2	NA	NA	NA	NA	NA	NA	0.0983129726585222	NA	NA	NA
STARD8	NA	NA	NA	NA	NA	NA	NA	0.297188755020081	NA	0.156391953277093
STK26	NA	NA	NA	NA	NA	NA	0.0325789711215523	0.370277078085642	NA	NA
STS	NA	0.318658280922432	NA	0.314396251594461	NA	0.792387543252596	0.409913453973249	0.525916561314791	0.462681624373887	0.644128113879003
SUV39H1	NA	0.133333333333334	NA	NA	NA	NA	0	NA	NA	NA
SYAP1	NA	0.612008611593563	NA	NA	0.602272727272728	NA	0.435991745250019	NA	0.297102691582376	NA
SYTL4	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
TAB3	0	0	NA	NA	NA	0.0842490842490845	NA	NA	NA	0.0566277217543615
TAF1	NA	0	NA	0.10958904109589	NA	NA	NA	NA	NA	NA
TAF9B	NA	NA	NA	NA	NA	NA	0	0.00662251655629092	NA	NA
TBC1D25	NA	0.136172483052976	NA	NA	NA	NA	0.104859335038363	0.0136760678603339	NA	NA
TBC1D8B	0.184339314845024	NA	NA	NA	NA	NA	NA	0.093738707664006	NA	0.109792284866469
TBL1X	0	NA	NA	NA	NA	0.0176817288801575	0	0	NA	NA
TCEAL3	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
TCEAL4	NA	NA	NA	NA	NA	NA	0.0363600238426387	NA	NA	0.0367685137234594
TCEAL7	NA	NA	NA	NA	NA	NA	NA	NA	0.30898321816387	NA
TCEANC	NA	NA	NA	0.152298850574713	NA	NA	NA	NA	0.290780141843972	0.217043136576822
TFE3	NA	0.0198000392079983	NA	0	NA	NA	0.0760931940778146	NA	NA	NA
TIMM17B	0	NA	NA	NA	NA	NA	0.0680537494581703	NA	NA	0
TIMP1	0.15457289761881	NA	NA	NA	NA	NA	NA	0	0	NA
TMEM185A	NA	NA	NA	NA	NA	NA	0.586776859504132	NA	NA	NA
TMEM187	NA	NA	NA	NA	NA	NA	0.147264299081108	NA	NA	0.0859232175502744
TMEM47	0	NA	NA	0	NA	NA	0.037106622827619	0	NA	0.00481117774995102
TMSB4X	0	NA	NA	0	NA	NA	NA	NA	0	0
TRAPPC2	0.00954137155469887	0.369576520367183	0.49472744634035	0.296623112166978	0.411764705882353	0.0681908928354427	0.457700650759219	0.0457884699114928	NA	0.581171825371932
TREX2	NA	NA	NA	0.0384615384615388	NA	NA	NA	NA	NA	NA
TRMT2B	0.644128113879003	NA	NA	NA	NA	NA	0.0052356020942404	0.0041208791208786	NA	0.191039203484754
TRO	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
TSPAN6	NA	0	NA	0.00835073068893536	NA	NA	NA	0.0217829770068573	NA	0
TXLNG	NA	NA	NA	NA	NA	0.710982658959538	NA	NA	NA	NA
UBA1	NA	NA	NA	0.202949438202247	NA	NA	NA	NA	0.163116250760803	NA
UBL4A	NA	NA	NA	NA	NA	NA	0.00925352715875581	NA	NA	0.0678741129234463
UBQLN2	NA	NA	NA	0.125	NA	NA	NA	NA	NA	NA
UPRT	NA	NA	NA	NA	NA	NA	NA	0	0.0184021264175643	NA
USP11	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
USP9X	NA	NA	NA	0.0449438202247195	0.333333333333333	NA	0.161297228100696	0.342105263157895	NA	0.328859060402685
UTP14A	NA	0	NA	NA	NA	NA	NA	NA	NA	0.064594534875156
VBP1	NA	0	NA	NA	NA	0	NA	0.000514756348661337	NA	NA
VMA21	NA	NA	NA	0.0688745774565801	NA	NA	0	NA	0	0
WASH6P	NA	0.360724690688494	1	NA	0.733333333333333	NA	NA	NA	0.463806970509384	NA
WDR13	NA	0.100719424460432	NA	NA	NA	NA	NA	NA	NA	NA
WWC3	0	NA	NA	0	NA	NA	NA	0	NA	NA
XG	0.625628059386045	NA	0.821428571428571	0.161397442577955	0.678223149891988	0.897435897435897	0.73383660035442	NA	0.61385740419497	0.547000042717505
XIAP	0	0	NA	NA	NA	0.0215897515087603	0.032737952649032	0	0.0343242418699719	0.0830190020577336
XIST	0.768146103431873	0.633753798733545	NA	NA	NA	NA	0.743263009922873	0.764150943396226	NA	0.724896836313618
YIPF6	NA	NA	NA	NA	NA	NA	0.0515629174458989	NA	0.0250105977108943	NA
ZBED1	NA	0.68392127750814	0.653074535231793	NA	0.892307692307692	NA	NA	NA	0.847500214832747	NA
ZBTB33	NA	0.0544404247870227	NA	0	NA	NA	NA	0	0	0.00606976058684512
ZDHHC9	NA	NA	NA	NA	NA	0	0	NA	0.0122022080185938	NA
ZFX	0.467589353980568	0.622379798823442	0.465082292626152	0.40420451353123	NA	0.565846808215537	0.385885131679238	0.448774321205959	0.851740643089596	0.338313767342583
ZMYM3	NA	NA	NA	0.0510948905109486	NA	NA	NA	NA	NA	NA
ZNF185	NA	0.0757938745596131	0.364087301587301	0	NA	NA	0	NA	NA	NA
ZNF275	0	NA	0.125	NA	NA	NA	0.25605285432271	NA	0.0716580510924802	0.174989144594008
ZNF280C	NA	NA	NA	NA	NA	NA	0.319699940128899	NA	NA	NA
ZNF41	0	NA	NA	0.0140845070422535	NA	NA	NA	NA	NA	0
ZNF449	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27536231884058
ZNF75D	NA	0.0280777537796975	NA	0.115766101945568	NA	NA	NA	NA	NA	0.0936676421512604
ZNF81	NA	NA	NA	0.0677966101694916	NA	NA	0.0566037735849059	NA	NA	NA
ZRSR2	NA	NA	0.310344827586207	0.615384615384615	0.742857142857143	0.811676082862523	NA	NA	NA	0.775784753363228
ZXDB	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
