AR_adj_mean_fib	AR_ci95_low_fib	AR_ci95_hi_fib	AR_pval_fib	AR_pval_adj_fib
EDA2R	0.0249527608234717	-0.045407635919059	Inf	0.204603918432645	0.211324865405187
EIF1AX	0.40022638057614	0.26752131883592	Inf	0.00054545004892933	0.0068484283921127
EIF2S3	0.374293284644082	0.259122494646149	Inf	0.00232092997689902	0.0187332205278278
ELF4	0.0348831918166015	-0.0194363768250093	Inf	0.113945193982881	0.194532378745378
ERCC6L	0.128069819362695	-0.141992790806741	Inf	0.150191130058208	0.211324865405187
FAM199X	0.00742778541953233	-0.0084071150566216	Inf	0.186950483150029	0.211324865405187
FHL1	0.0831210341409116	-0.0296770501878361	Inf	0.0956427977759986	0.191995541540164
FLNA	0.00438596491228064	-0.00842098938751622	Inf	0.211324865405187	0.211324865405187
FMR1	0.0140495867768595	-0.0159019796426058	Inf	0.186950483150029	0.211324865405187
G6PD	0.0234829201866475	-0.0295432293448649	Inf	0.162596027043879	0.211324865405187
GABRE	0.134073744679987	0.0215412414263472	Inf	0.0338182844596236	0.112396063056984
GEMIN8	0.358294844164187	-0.0581860037814888	Inf	0.0643006098834363	0.165135657200643
GRIA3	0.0595393256683579	-0.0805783462923133	Inf	0.195501109477885	0.211324865405187
GRIPAP1	0.00490185043446929	-0.00941148215123167	Inf	0.211324865405187	0.211324865405187
GTPBP6	0.816728759069063	0.645161774169944	Inf	0.00256782073438879	0.0193442495323955
GYG2	0.149094209027225	-0.221036049155298	Inf	0.180276244394204	0.211324865405187
HCFC1	0.185651896013327	0.0520210732636784	Inf	0.0207411108603178	0.0827483709091066
HEPH	0.0414676193908045	-0.0188971750888703	Inf	0.102188319474772	0.193651542922223
HMGB3	0.014677481653148	-0.0281805531299505	Inf	0.211324865405187	0.211324865405187
IDS	0.0129322274513323	0.00212105473018006	Inf	0.0288969158210705	0.102042233993155
LAMP2	0.0328043749377866	-0.00433632278405693	Inf	0.0690840593764773	0.166180043248668
MAGED1	0.000158629441624255	-0.000214683285977297	Inf	0.195501109477885	0.211324865405187
MAGED2	0.023984980609961	-0.0460508169161888	Inf	0.211324865405187	0.211324865405187
MAMLD1	0.0304611510770635	0.00764048610681954	Inf	0.0205019483134913	0.0827483709091066
MAP7D3	0.0195598912512206	0.00317760870353908	Inf	0.0336509428917263	0.112396063056984
MBTPS2	0.0134858507803713	-0.0106826031160953	Inf	0.140268640800228	0.211324865405187
MECP2	0.0467301941419562	-0.0261597644759286	Inf	0.114246356643415	0.194532378745378
MED14	0.0158672810371061	0.00107313874794022	Inf	0.0420911548675199	0.122910348028754
MID1	0.0395248026826972	-0.071262609297249	Inf	0.203457771809433	0.211324865405187
MID1IP1	0.101807767142622	-0.0166121116983299	Inf	0.0718754138935045	0.166180043248668
MORC4	0.0321297765535963	-0.0589271585937732	Inf	0.205576194487565	0.211324865405187
MORF4L2	0.00291667835207664	-0.0024451329136238	Inf	0.155345319557856	0.211324865405187
MOSPD1	0.00237439472230343	-0.00321341899695189	Inf	0.195501109477885	0.211324865405187
MPP1	0.0516808588381334	-0.0245750690184164	Inf	0.0931985468782503	0.191480650858951
MXRA5	0.0887303645939309	0.00481298760567376	Inf	0.0424203856028442	0.122910348028754
NHSL2	0.0212709875493795	-0.00345563510035313	Inf	0.0702937955767467	0.166180043248668
PGK1	0.123357922565563	-0.123912653585517	Inf	0.162548395678246	0.211324865405187
PHF6	0.000712250712250628	-0.000963934070371556	Inf	0.195501109477885	0.211324865405187
PIGA	0.305679322042953	-0.249517686192977	Inf	0.14288039898651	0.211324865405187
PIR	0.0325409129713447	0.00162182731597507	Inf	0.0441310045171029	0.124670087760816
PJA1	0.0611620795107033	-0.117430310724998	Inf	0.211324865405187	0.211324865405187
PLCXD1	0.7509226821	0.609271284387402	Inf	0.00207372657704402	0.0187332205278278
PLS3	0	NA	NA	NA	NA
PNPLA4	0.43745894909688	0.12640522689479	Inf	0.0227008805148876	0.0827483709091066
POLA1	0.0340150530058389	-0.0571857815608931	Inf	0.194932332803027	0.211324865405187
PRKX	0.17231762835412	0.0595209798519345	Inf	0.0155875913011955	0.0711881563798059
PRPS2	0.0147761901211244	-0.00579971385287172	Inf	0.103763077954844	0.193651542922223
PUDP	0.728748581054274	0.609788342967458	Inf	3.97594450707334e-06	0.000303335451628065
RAP2C	0.0318138492537445	-0.0260642926737941	Inf	0.124850785817493	0.200125535683436
RBBP7	0.65009243382467	0.536066803046659	Inf	0.000131479357188519	0.00235773247128618
RBM3	0.0652418821920672	-0.0535472441070292	Inf	0.159399916002012	0.211324865405187
RBM41	0.0757106783249645	-0.0891664744815602	Inf	0.155984378976237	0.211324865405187
RLIM	0.0478277810933097	-0.00854196832907541	Inf	0.072374706193459	0.166180043248668
RPS4X	0.523375166035495	0.443076244807141	Inf	7.77740322751244e-05	0.00219711641177227
RPS6KA3	0.0291460417278085	-0.00032905564548371	Inf	0.051358202769819	0.135462528386083
SH3BGRL	0.0336496833164598	-0.0201031438380066	Inf	0.104537558568634	0.193651542922223
SLC25A43	0.00402816439403679	-0.00455926492418598	Inf	0.186950483150029	0.211324865405187
SLC25A5	0	NA	NA	NA	NA
SLC9A7	0	NA	NA	NA	NA
SMC1A	0.561398671070964	0.391024413127583	Inf	0.00223030335124886	0.0187332205278278
STS	0.49544026133006	0.366952475254808	Inf	0.000146054223884984	0.00235773247128618
SYAP1	0.486843943924672	0.31024014565306	Inf	0.00371749651379995	0.0233376170032997
TAB3	0.0352192015008615	-0.0144391762798739	Inf	0.0968473085645076	0.191995541540164
TBC1D25	0.0849026286505574	-0.0223850953448146	Inf	0.0735309925879061	0.166180043248668
TBC1D8B	0.1292901024585	0.0477874310877843	Inf	0.0217913936638866	0.0827483709091066
TBL1X	0.00442043222003938	-0.00598245133262115	Inf	0.195501109477885	0.211324865405187
TCEANC	0.220040709665169	0.103229046376368	Inf	0.0157495921194261	0.0711881563798059
TFE3	0.031964411095271	-0.0345899652506891	Inf	0.147933047495981	0.211324865405187
TIMM17B	0.0226845831527234	-0.043554072549564	Inf	0.211324865405187	0.211324865405187
TIMP1	0.0515242992062701	-0.0989259115138693	Inf	0.211324865405187	0.211324865405187
TMEM47	0.00838356011551401	-0.00705304580779469	Inf	0.155685180402428	0.211324865405187
TMSB4X	0	NA	NA	NA	NA
TRAPPC2	0.30389833279885	0.172084137557345	Inf	0.00133072088087986	0.0136701326854022
TRMT2B	0.211130949644719	-0.143917874067385	Inf	0.128079619220409	0.20101384683203
TSPAN6	0.00753342692394818	-0.00456643768115755	Inf	0.119550845349516	0.198665375360225
USP9X	0.242107741043866	0.114863669882767	Inf	0.007697954417438	0.0414223261509759
VBP1	0.000171585449553779	-0.000329441588941767	Inf	0.211324865405187	0.211324865405187
VMA21	0.017218644364145	-0.0233030836792904	Inf	0.195501109477885	0.211324865405187
WWC3	0	NA	NA	NA	NA
XG	0.634850895998419	0.485533518723871	Inf	4.3617208815325e-05	0.00164291486537724
XIAP	0.0245244211550711	0.00249476859813189	Inf	0.0368733525664687	0.112613211892188
ZBED1	0.769200929970093	0.629901143063543	Inf	0.000491953530105049	0.0068484283921127
ZBTB33	0.0121020370747736	-0.0106014072498122	Inf	0.159630483562586	0.211324865405187
ZDHHC9	0.0040674026728646	-0.00780935448139223	Inf	0.211324865405187	0.211324865405187
ZFX	0.505535181166034	0.408515011954938	Inf	5.36876905536398e-06	0.000303335451628065
ZNF185	0.109970294036729	-0.0937581510885952	Inf	0.146771583329897	0.211324865405187
ZNF275	0.12554001000184	0.0324406832523396	Inf	0.0226270686449672	0.0827483709091066
ZNF41	0.00469483568075115	-0.00901401680917237	Inf	0.211324865405187	0.211324865405187
ZNF75D	0.0791704992921754	0.00228487128968711	Inf	0.0475481716351458	0.131047399872475
ZRSR2	0.651209484410743	0.456323264180881	Inf	0.00102643850403957	0.0115987550956471
