7196D_XXY	7273C_XX	7275D_XX	7351C_XXY	7384C_XX	7434C_XXY	7492C_XXY	7493C_XXY	7509C_XX	7538C_XXY
EDA2R	NA	NA	NA	0.251489851476715	NA	NA	0.286330283971793	NA	NA	0.193967490842491
EFNB1	NA	NA	NA	NA	NA	NA	NA	0.267857142857143	0.204545454545455	NA
EIF1AX	0.218074656188605	0.628571428571429	0.414411744828626	NA	0.447592067988669	NA	0.600783312593761	0.54460357612539	0.65625	NA
EIF2S3	NA	NA	NA	NA	0.278490954392806	0.449339207048458	0.638394285315491	NA	NA	0.554959785522788
ELF4	0.179245283018868	0.173913043478261	NA	NA	NA	NA	NA	0.230769230769231	NA	0.296296296296296
ELK1	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA
ERCC6L	NA	0.263157894736842	NA	NA	NA	NA	NA	0.470588235294118	NA	0.133333333333333
F8	NA	NA	NA	NA	NA	NA	0.235294117647059	NA	NA	NA
FAM120C	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM199X	NA	0.167832167832168	NA	0.228571428571429	NA	NA	0.205365853658536	0.112535612535612	0.16	NA
FAM3A	NA	NA	NA	NA	NA	NA	0.507246376811594	NA	NA	0.223880597014925
FANCB	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGD1	NA	NA	NA	NA	NA	NA	NA	0.139784946236559	0.0903225806451613	NA
FHL1	0.205882352941176	NA	NA	0.224118942731278	NA	NA	0.463858563382241	0.206266318537859	NA	0.321342925659472
FLNA	NA	NA	NA	NA	NA	0.105291576673866	0.142857142857143	NA	NA	0.217391304347826
FMR1	0.191011235955056	0.185185185185185	NA	0.184	NA	0.217391304347826	NA	NA	0.087719298245614	NA
FTX	NA	NA	NA	NA	0.214285714285714	NA	NA	NA	NA	NA
FUNDC1	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA
G6PD	NA	NA	NA	NA	NA	NA	0.275471698113208	NA	0.132493836149124	0.206557377049181
GABRE	0.121212121212121	0.398099094710348	0.165140291806958	NA	NA	NA	0.35375816993464	NA	NA	NA
GDI1	NA	NA	NA	NA	NA	0.131578947368421	NA	NA	NA	NA
GEMIN8	NA	0.375	0.642857142857143	NA	NA	NA	NA	0.403846153846154	NA	NA
GK	NA	NA	0.428571428571429	NA	NA	NA	NA	NA	NA	NA
GLA	NA	NA	NA	NA	NA	NA	0.230769230769231	NA	NA	NA
GNL3L	NA	NA	NA	NA	NA	NA	NA	0.857142857142857	NA	NA
GPC4	NA	NA	NA	0.133917067984239	NA	0.184418746195983	NA	NA	NA	NA
GPKOW	NA	0.164705882352941	NA	NA	NA	NA	NA	NA	NA	NA
GPR173	NA	NA	NA	NA	NA	NA	0.386363636363636	0.428571428571429	NA	NA
GPRASP2	NA	NA	NA	0.3	NA	NA	NA	NA	NA	0.347826086956522
GRIA3	0.131578947368421	0.401941747572815	NA	0.235714285714286	NA	NA	NA	NA	NA	0.168831168831169
GRIPAP1	0.218865143699337	NA	NA	NA	NA	NA	0.209302325581395	NA	0.119047619047619	NA
GRPR	NA	NA	NA	0.151328273244782	NA	NA	NA	NA	NA	NA
GSPT2	NA	0.307692307692308	NA	NA	NA	NA	NA	NA	NA	NA
GTPBP6	NA	0.954545454545455	NA	NA	0.75	NA	NA	NA	0.812147643867674	NA
GYG2	NA	NA	NA	0.260416666666667	NA	NA	0.25	0.547619047619048	NA	NA
HCFC1	NA	NA	NA	NA	0.412371134020619	0.351851851851852	0.308851613867921	NA	0.176361819090455	0.344734127554441
HDAC6	NA	NA	NA	0.161290322580645	NA	NA	NA	NA	NA	NA
HDAC8	NA	NA	NA	0.147058823529412	NA	NA	NA	NA	0.111111111111111	NA
HDX	NA	NA	0.2	NA	NA	NA	NA	NA	NA	NA
HEPH	NA	NA	NA	0.206428267347807	NA	NA	0.327083333333334	NA	0.151884700665188	0.22290409819014
HMGB3	NA	NA	NA	0.25	NA	NA	0.205357142857143	0.232558139534884	NA	NA
HMGN5	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRNPH2	NA	NA	NA	NA	NA	NA	0.261421319796954	NA	NA	0.276682838083687
HUWE1	0.135062611806798	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDS	0.140931250047764	0.157291950206667	NA	0.273921124519659	NA	0.138784067085954	0.259160313485674	0.204301075268817	0.141214177978883	0.154054951650312
IGBP1	NA	NA	NA	NA	NA	NA	NA	NA	0.123893805309735	NA
IL13RA1	NA	NA	NA	NA	NA	NA	0.278514588859416	NA	NA	NA
IL13RA2	NA	NA	NA	NA	NA	NA	NA	NA	0.186335403726708	NA
IRAK1	NA	NA	NA	NA	NA	NA	0.250997150997151	NA	NA	0.185220835233548
JADE3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.216216216216216
JPX	NA	0.195402298850575	NA	NA	0.714285714285714	NA	NA	NA	NA	NA
KCND1	NA	NA	NA	NA	NA	NA	0.153846153846154	0.166666666666667	NA	NA
KDM5C	NA	NA	NA	NA	NA	NA	NA	NA	0.413533834586466	NA
KDM6A	NA	NA	0.478978978978979	NA	NA	NA	NA	NA	NA	NA
KIF4A	NA	NA	NA	NA	NA	NA	0.186915887850467	NA	NA	NA
KLHL15	NA	0.272727272727273	NA	NA	NA	NA	NA	NA	NA	0.241758241758242
KRBOX4	NA	NA	NA	0.3	NA	NA	NA	NA	NA	0.235294117647059
LAGE3	NA	NA	NA	NA	NA	NA	0.265015688032272	NA	NA	0.224137931034483
LAMP2	0.154813440751097	NA	0.12	0.255811498948126	NA	0.131034482758621	0.333342973877856	0.199545895226546	0.101522842639594	0.187135043319254
LDOC1	NA	0.321145784816022	NA	NA	NA	NA	NA	0.192307692307692	NA	NA
LRCH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.545454545454545
MAGED1	0.19893899204244	0.126984126984127	NA	0.226170332769318	NA	NA	NA	0.191087613293051	NA	NA
MAGED2	NA	NA	NA	NA	NA	NA	0.286908822102318	0.146157448877126	0.106346483704974	NA
MAGEH1	NA	NA	NA	0.18942731277533	NA	NA	NA	NA	NA	0.210227272727273
MAMLD1	0.18721198156682	0.161412793373217	NA	0.294541938847585	NA	0.185185185185185	0.292541389315583	0.184102564102564	NA	0.252427184466019
MAP7D3	0.208772123893805	NA	NA	NA	NA	NA	0.24624753798243	0.22091844030138	NA	0.214812452328399
MBTPS2	0.193421052631579	0.231932773109244	NA	0.259786049421332	NA	NA	NA	NA	NA	0.200668467432216
MECP2	0.333333333333333	NA	NA	NA	NA	0.176470588235294	0.239583333333333	NA	NA	0.177777777777778
MED12	NA	NA	NA	0.230769230769231	NA	NA	NA	NA	NA	NA
MED14	0.188905775075988	0.228571428571429	NA	NA	NA	NA	0.225352112676056	NA	0.144444444444444	0.216296296296296
MID1	NA	0.193548387096774	0.115384615384615	NA	NA	NA	NA	0.136363636363636	NA	NA
MID1IP1	0.272727272727273	0.178139534883721	NA	0.161290322580645	NA	NA	0.266666666666667	0.289583333333334	NA	0.545454545454545
MID2	NA	NA	NA	NA	NA	NA	0.454545454545455	0.2	NA	NA
MMGT1	NA	NA	NA	NA	NA	NA	NA	NA	0.0904522613065327	NA
MORC4	0.181818181818182	0.192307692307692	NA	0.336538461538462	NA	NA	NA	NA	NA	NA
MORF4L2	0.172443674176776	0.168443496801706	NA	NA	NA	NA	0.221122112211221	0.181743421052632	NA	0.21713729308666
MOSPD1	NA	0.199602122015915	NA	NA	NA	NA	0.129120879120879	0.105603448275862	NA	0.202302631578948
MPP1	NA	NA	NA	NA	NA	NA	0.298076923076923	0.166666666666667	NA	0.271844660194175
MSL3	0.263157894736842	NA	NA	NA	NA	NA	0.285714285714286	NA	NA	NA
MSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.208214721431476
MTMR1	NA	NA	NA	NA	NA	0.117647058823529	0.13953488372093	NA	NA	NA
MXRA5	0.128226151722259	0.23728813559322	0.109473417548998	0.265055418234416	0.428131532179175	NA	0.167395230681657	0.107322955452426	0.232636106960225	0.280847024452278
NAA10	NA	NA	NA	NA	NA	NA	0.434782608695652	NA	NA	0.243589743589744
NAP1L3	NA	0.36	0.191489361702128	NA	NA	NA	NA	NA	NA	NA
NHSL2	0.173913043478261	NA	NA	0.240740740740741	NA	NA	0.252392344497608	0.2	NA	0.259090909090909
NONO	NA	0.194011976047904	NA	NA	NA	NA	NA	NA	NA	NA
NSDHL	0.0666666666666667	NA	NA	NA	NA	NA	NA	0.167664670658683	NA	NA
OCRL	NA	NA	NA	NA	NA	NA	0.297297297297297	0.275862068965517	NA	NA
OPHN1	NA	NA	NA	NA	NA	NA	0.181818181818182	NA	0.0967741935483871	NA
PABPC5	NA	NA	NA	0.545454545454545	NA	NA	NA	NA	NA	NA
PGK1	0.588235294117647	NA	NA	NA	NA	NA	0.198055555555555	0.166666666666667	NA	0.259259259259259
PHF6	NA	NA	NA	NA	NA	NA	0.222222222222222	0.087719298245614	0.0967741935483871	0.161290322580645
PHF8	NA	NA	NA	0.398617511520737	NA	NA	NA	NA	NA	0.333333333333333
PHKA2	0.115384615384615	NA	NA	0.347826086956522	NA	NA	NA	NA	NA	NA
PIGA	0.388888888888889	1	NA	NA	NA	NA	NA	NA	0.142857142857143	0.178571428571429
PIN4	0.121951219512195	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIR	0.101694915254237	0.25	NA	0.311827956989247	NA	NA	NA	0.222222222222222	NA	0.128205128205128
PJA1	NA	0.16837709976826	0.18348623853211	NA	NA	NA	NA	0.135846424900896	NA	NA
PLCXD1	NA	NA	0.75	NA	0.835403726708075	NA	NA	NA	0.725595238095238	NA
PLP2	NA	NA	NA	NA	NA	NA	0.333333333333333	NA	NA	NA
PLS3	NA	NA	NA	0.19823979819042	NA	0.123188405797101	NA	NA	NA	0.189873417721519
PLXNA3	NA	NA	NA	NA	NA	NA	0.123456790123456	NA	NA	0.171282989286648
PLXNB3	0.200501253132832	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNPLA4	NA	0.75	0.666666666666667	0.375	0.292460317460318	NA	NA	NA	NA	NA
POLA1	0.208333333333333	NA	NA	NA	NA	NA	NA	0.192307692307692	NA	0.295454545454545
PRKX	0.318181818181818	0.507575757575758	0.111111111111111	0.371166415284063	NA	NA	NA	NA	NA	0.306818181818182
PRPS2	NA	0.210526315789474	NA	NA	NA	0.210526315789474	0.163265306122449	0.116279069767442	0.102564102564103	0.209302325581395
PRRG1	NA	NA	NA	NA	NA	NA	NA	NA	0.131428571428572	NA
PUDP	0.722865226337449	0.629227267134244	1	0.674035334035334	NA	0.783929234851836	NA	0.881774661056483	0.812719743069641	0.92
RAP2C	0.230769230769231	0.255362505362505	NA	NA	NA	NA	0.130434782608696	NA	NA	NA
RBBP7	NA	0.755667038275734	NA	NA	0.731601686654878	NA	0.824424449914646	0.757180898596767	0.536117216117216	NA
RBM3	NA	0.165992984894587	0.358974358974359	0.158536585365854	NA	NA	0.247698394811309	0.184809742940494	0.125479029922036	NA
RBM41	0.12	0.357054709995887	NA	NA	NA	NA	NA	NA	NA	0.243304843304843
RBMX	NA	NA	NA	0.641025641025641	NA	NA	NA	NA	NA	NA
RLIM	NA	0.224939467312348	0.15	0.27931586071121	NA	NA	NA	NA	0.117647058823529	0.220026350461133
RPGR	NA	0.6	NA	NA	NA	NA	0.217391304347826	NA	NA	NA
RPL10	NA	NA	NA	NA	NA	0.428571428571429	NA	NA	NA	NA
RPL36A	NA	NA	NA	NA	NA	NA	0.428571428571429	NA	NA	NA
RPS4X	0.566188059148009	0.733122362869198	0.490029224686264	0.726855209088712	NA	NA	NA	0.628371868978805	NA	NA
RPS6KA3	NA	0.225806451612903	NA	0.167440971673499	NA	NA	0.293103448275862	NA	0.132743362831858	0.224719101123595
RPS6KA6	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA	NA
RRAGB	NA	NA	NA	0.246376811594203	NA	NA	NA	NA	NA	0.208333333333333
SAT1	NA	0.1875	NA	NA	NA	NA	NA	NA	NA	0.4
SCML2	0.375	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3BGRL	NA	0.25085910652921	NA	0.238683127572016	NA	NA	NA	NA	NA	0.240506329113924
SH3KBP1	NA	NA	NA	NA	NA	NA	NA	0.1875	0.108695652173913	NA
SLC10A3	NA	0.211764705882353	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A2	NA	NA	NA	0.271186440677966	NA	NA	NA	NA	NA	NA
SLC25A43	0.157337271297789	NA	NA	0.204614835525314	NA	0.116504854368932	0.237873931623931	0.0984251968503937	NA	NA
SLC25A5	NA	NA	NA	0.215463440692099	NA	NA	0.182942327188611	0.153573082184573	NA	NA
SLC25A6	NA	0.791974656810982	NA	NA	NA	NA	NA	NA	0.943548387096774	NA
SLC9A6	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA
SLC9A7	NA	0.166666666666667	NA	0.186397020318392	NA	NA	NA	NA	NA	0.152711574533819
SMARCA1	0.201298701298701	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMC1A	0.71875	NA	0.704545454545455	NA	NA	NA	NA	NA	0.463302752293578	0.7
SMS	NA	0.195652173913043	NA	NA	NA	NA	NA	NA	NA	NA
SNX12	0.151202749140893	NA	NA	0.206686930091185	NA	NA	NA	NA	NA	NA
SPIN3	0.375	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRPX2	NA	NA	NA	NA	NA	NA	NA	0.25	NA	0.307692307692308
STAG2	NA	NA	NA	NA	NA	NA	0.311111111111111	NA	NA	NA
STARD8	NA	NA	NA	NA	NA	NA	NA	0.461538461538462	NA	0.35
STK26	NA	NA	NA	NA	NA	NA	0.247987117552335	0.523809523809524	NA	NA
STS	NA	0.48	NA	0.519177883919525	NA	0.842105263157895	0.577464788732394	0.651162790697674	0.552845528455284	0.75
SUV39H1	NA	0.315789473684211	NA	NA	NA	NA	0.148148148148148	NA	NA	NA
SYAP1	NA	0.712063492063492	NA	NA	0.602272727272728	NA	0.588095238095238	NA	0.405797101449275	NA
SYTL4	NA	NA	NA	0.141176470588235	NA	NA	NA	NA	NA	NA
TAB3	0.0810810810810811	0.181818181818182	NA	NA	NA	0.230769230769231	NA	NA	NA	0.258169934640523
TAF1	NA	0.151515151515152	NA	0.35	NA	NA	NA	NA	NA	NA
TAF9B	NA	NA	NA	NA	NA	NA	0.154761904761905	0.196850393700787	NA	NA
TBC1D25	NA	0.318247126436782	NA	NA	NA	NA	0.317073170731707	0.203605200945627	NA	NA
TBC1D8B	0.375	NA	NA	NA	NA	NA	NA	0.279220779220779	NA	0.307692307692308
TBL1X	0.170776953295504	NA	NA	NA	NA	0.166666666666667	0.20968544783796	0.154411764705882	NA	NA
TCEAL3	NA	NA	NA	NA	NA	NA	NA	NA	0.123188405797101	NA
TCEAL4	NA	NA	NA	NA	NA	NA	0.253846153846154	NA	NA	0.239782016348774
TCEAL7	NA	NA	NA	NA	NA	NA	NA	NA	0.416666666666667	NA
TCEANC	NA	NA	NA	0.3875	NA	NA	NA	NA	0.4	0.402777777777778
TFE3	NA	0.209486166007905	NA	0.161812297734628	NA	NA	0.290748898678414	NA	NA	NA
TIMM17B	0.147058823529412	NA	NA	NA	NA	NA	0.283333333333333	NA	NA	0.195
TIMP1	0.346338118580766	NA	NA	NA	NA	NA	NA	0.163302752293578	0.0718523401450231	NA
TMEM185A	NA	NA	NA	NA	NA	NA	0.714285714285714	NA	NA	NA
TMEM187	NA	NA	NA	NA	NA	NA	0.347986694677871	NA	NA	0.285714285714286
TMEM47	0.156433608271673	NA	NA	0.215013860425968	NA	NA	0.254545454545455	0.155642023346304	NA	0.209424083769634
TMSB4X	0.045045045045045	NA	NA	0.229648062566655	NA	NA	NA	NA	0.111111111111111	0.1875
TRAPPC2	0.213333333333333	0.522435897435898	0.49472744634035	0.505175983436853	0.411764705882353	0.215384615384616	0.615384615384615	0.232777777777778	NA	0.70151828847481
TREX2	NA	NA	NA	0.285714285714286	NA	NA	NA	NA	NA	NA
TRMT2B	0.75	NA	NA	NA	NA	NA	0.224489795918367	0.194444444444444	NA	0.380952380952381
TRO	NA	NA	NA	0.189189189189189	NA	NA	NA	NA	NA	NA
TSPAN6	NA	0.181818181818182	NA	0.2578125	NA	NA	NA	0.211382113821138	NA	0.117021276595745
TXLNG	NA	NA	NA	NA	NA	0.777777777777778	NA	NA	NA	NA
UBA1	NA	NA	NA	0.431077694235589	NA	NA	NA	NA	0.281045751633987	NA
UBL4A	NA	NA	NA	NA	NA	NA	0.227717092315632	NA	NA	0.268055555555556
UBQLN2	NA	NA	NA	0.363636363636364	NA	NA	NA	NA	NA	NA
UPRT	NA	NA	NA	NA	NA	NA	NA	0.137419951145441	0.141666666666666	NA
USP11	NA	NA	NA	NA	NA	NA	NA	NA	0.12	NA
USP9X	NA	NA	NA	0.291666666666667	0.333333333333333	NA	0.367038424269529	0.5	NA	0.5
UTP14A	NA	0.108108108108108	NA	NA	NA	NA	NA	NA	NA	0.265895953757225
VBP1	NA	0.180327868852459	NA	NA	NA	0.113475177304965	NA	0.190972222222222	NA	NA
VMA21	NA	NA	NA	0.313465346534654	NA	NA	0.181818181818182	NA	0.114087301587302	0.20253164556962
WASH6P	NA	0.513574660633484	1	NA	0.733333333333333	NA	NA	NA	0.555555555555556	NA
WDR13	NA	0.285714285714286	NA	NA	NA	NA	NA	NA	NA	NA
WWC3	0.0975609756097561	NA	NA	0.136363636363636	NA	NA	NA	0.110334346504559	NA	NA
XG	0.732368896925859	NA	0.821428571428571	0.393272749417693	0.678223149891988	0.923076923076923	0.815864645132938	NA	0.683137622365288	0.66125
XIAP	0.180222895543625	0.157778264663591	NA	NA	NA	0.170411704457042	0.249495790279372	0.171357232031389	0.157003690998813	0.281350103630741
XIST	0.839005080940565	0.734724487508101	NA	NA	NA	NA	0.826604554865425	0.833333333333333	NA	0.80952380952381
YIPF6	NA	NA	NA	NA	NA	NA	0.268041237113402	NA	0.148148148148148	NA
ZBED1	NA	0.770058718591544	0.653074535231793	NA	0.892307692307692	NA	NA	NA	0.874931603851464	NA
ZBTB33	NA	0.241935483870967	NA	0.204819277108434	NA	NA	NA	0.181818181818182	0.0961538461538462	0.210168916051269
ZDHHC9	NA	NA	NA	NA	NA	0.134328358208955	0.198630136986301	NA	0.135593220338983	NA
ZFX	0.607554713804714	0.718156560590638	0.465082292626152	0.561951754385965	NA	0.657777777777778	0.557245386192755	0.586267379679144	0.881192879694251	0.507936507936508
ZMYM3	NA	NA	NA	0.297297297297297	NA	NA	NA	NA	NA	NA
ZNF185	NA	0.260984848484848	0.364087301587301	0.222222222222222	NA	NA	0.145217391304348	NA	NA	NA
ZNF275	0.173274764451235	NA	0.125	NA	NA	NA	0.419753833736885	NA	0.193473961766644	0.366666666666667
ZNF280C	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA
ZNF41	0.121212121212121	NA	NA	0.263157894736842	NA	NA	NA	NA	NA	0.114285714285714
ZNF449	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.454545454545455
ZNF75D	NA	0.217391304347826	NA	0.352803862101775	NA	NA	NA	NA	NA	0.292857142857143
ZNF81	NA	NA	NA	0.3125	NA	NA	0.272727272727273	NA	NA	NA
ZRSR2	NA	NA	0.310344827586207	0.75	0.742857142857143	0.857142857142857	NA	NA	NA	0.846153846153846
ZXDB	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.185185185185185
