AR_adj_mean_fib	AR_mean_fib	AR_ci95_low_fib	AR_pval_fib	AR_pval_adj_fib
DDX3X	0.480392595509077	0.467045143059085	0.294122145800266	0.00785007689814322	0.0455650391833718
DKC1	0.0134554887135051	-0.00830553429207699	-0.0501684839458045	0.652961716494288	0.853873013877146
DOCK11	0	-0.0641128261124374	-0.106775215357168	0.975895972170473	0.992577954600737
DYNLT3	0.0142646011936244	-0.000280571161105407	-0.0320015020431287	0.506765327872819	0.701038271595225
EDA2R	0.0249527608234717	0.019152051353538	-0.051213287410646	0.255040995637022	0.439853311316024
EIF1AX	0.40022638057614	0.368772489642248	0.246343491090726	0.000549024939074541	0.0072593297499856
EIF2S3	0.374293284644082	0.336856868173209	0.26344867135252	0.00084922910853573	0.00918178815215768
ELF4	0.0348831918166016	0.0224082295983518	-0.0417233569602509	0.235589121080224	0.43130931397764
ERCC6L	0.128069819362695	0.0937692684344927	-0.204197103966893	0.227573914992975	0.430137522889665
FAM199X	0.00742778541953232	-0.019951003818913	-0.0586246745676156	0.833415328834939	0.952587475957656
FHL1	0.0831210341409116	0.0703684326874033	-0.0356302547360533	0.114958769559993	0.310266075429285
FLNA	0.00438596491228063	-0.0360722452359573	-0.112199510839038	0.849665166612789	0.952587475957656
FMR1	0.0140495867768595	-0.0106018473650485	-0.0580782778092025	0.670565474390754	0.867361863614128
G6PD	0.0234829201866475	0.0221986444877168	-0.027460112432172	0.160877477466278	0.36816191958629
GABRE	0.134073744679987	0.105850503739373	-0.0469270278050771	0.100744683669036	0.29240530138086
GEMIN8	0.358294844164187	0.346916971916972	-0.0858371847063271	0.0720404455045186	0.235482234644782
GRIA3	0.059539325668358	0.0219878511984082	-0.129384207911733	0.377507363518241	0.582750285973823
GRIPAP1	0.0049018504344693	-0.000237296506670537	-0.0216297914861593	0.511448583171859	0.701038271595225
GTPBP6	0.816728759069063	0.73420713410632	0.666504385279807	0.000497891741293283	0.0072593297499856
GYG2	0.149094209027225	0.132682442895858	-0.19546457360198	0.179563393018094	0.388509886711876
HCFC1	0.185651896013327	0.179363656236121	0.0441031929154329	0.0237456670488655	0.100919084957678
HEPH	0.0414676193908045	0.0275933554220266	-0.0454235516976334	0.219665932920433	0.430137522889665
HMGB3	0.014677481653148	0.00930896559796174	-0.0400045888168968	0.318423120012545	0.51907330522593
IDS	0.0129322274513323	-0.00793312662772116	-0.0332699707186712	0.714147854635209	0.904080794697765
LAMP2	0.0328043749377866	0.0175698055914732	-0.025277655868609	0.231334466091921	0.430137522889665
MAGED1	0.000158629441624255	-0.0231476482429697	-0.0570529125196535	0.896759430236122	0.95280689462588
MAGED2	0.023984980609961	0.00194295448943289	-0.0963053380083044	0.479600872714231	0.701038271595225
MAMLD1	0.0304611510770634	0.0211278027442073	-0.00721162568150623	0.098796073531949	0.29240530138086
MAP7D3	0.0195598912512205	0.0177809036727511	0.0027065815136738	0.0346132075225432	0.132870054683311
MBTPS2	0.0134858507803713	0.00892339947532824	-0.0186140997055157	0.250591456926031	0.438535049620555
MECP2	0.0467301941419561	0.0371472489961493	-0.0398983973307065	0.16948816840308	0.373501704443823
MED14	0.0158672810371061	0.0120695223262452	-0.00685849642783251	0.122806959969106	0.313301851076681
MID1	0.0395248026826972	0.0214480859642146	-0.123922799112781	0.354294402215385	0.55475044557409
MID1IP1	0.101807767142622	0.0756264242258309	-0.0443748048575474	0.130002989232818	0.315721545279701
MORC4	0.0321297765535963	0.0217896226932373	-0.0750329422918536	0.289303321915364	0.484888666308849
MORF4L2	0.00291667835207663	-0.00984262659244098	-0.0268961975265448	0.857024040764269	0.952587475957656
MOSPD1	0.00237439472230343	-0.0421636930477905	-0.104251470329521	0.895851019862015	0.95280689462588
MPP1	0.0516808588381334	0.0405935290770631	-0.0539362261758129	0.168285494031985	0.373501704443823
MXRA5	0.0887303645939309	0.0636308152128307	-0.0330006841072857	0.127799097016363	0.315721545279701
NHSL2	0.0212709875493795	0.0113020195985019	-0.0207447793389787	0.246982593908197	0.438535049620555
PGK1	0.123357922565563	0.0981474589460297	-0.129682694966965	0.192665447516139	0.404178937681192
PHF6	0.000712250712250628	-0.0425992829319213	-0.0948775102254992	0.92450742183417	0.973596311489082
PIGA	0.305679322042953	0.246651802501606	-0.207513773099117	0.145570130275452	0.346456910055575
PIR	0.0325409129713447	-0.00532814249968292	-0.0803012978202686	0.5565441932555	0.744143359521398
PJA1	0.0611620795107033	0.0355857940829616	-0.182081894978194	0.340086011467453	0.546895072494958
PLCXD1	0.7509226821	0.729134486395112	0.530047398573574	0.00431547352086093	0.0306052802773009
PLS3	0	-0.0309809809185719	-0.0627763842579824	0.947739989329232	0.989307532720865
PNPLA4	0.43745894909688	0.410912698412699	0.120077542351054	0.0224431237267036	0.0989159897584343
POLA1	0.0340150530058389	0.0319936088008373	-0.0536345376542782	0.19459092105068	0.404178937681192
PRKX	0.17231762835412	0.152947707855575	0.0652189744149788	0.0102668092738331	0.0525260692831398
PRPS2	0.0147761901211244	-0.0109735350904547	-0.0521781543274681	0.692739096265625	0.886408090920531
PUDP	0.728748581054274	0.63886746729268	0.514237201603659	1.29671925878757e-05	0.000771547958978603
RAP2C	0.0318138492537445	0.000586285344618798	-0.134373646514849	0.495515413224577	0.701038271595225
RBBP7	0.65009243382467	0.576186241573386	0.467508023940725	0.000174616320322449	0.00296847744548163
RBM3	0.0652418821920672	0.0445718358693882	-0.0864000051747642	0.261682081806975	0.444859539071857
RBM41	0.0757106783249644	0.040081602869224	-0.17184125685584	0.318120907903316	0.51907330522593
RLIM	0.0478277810933097	0.0446075528211236	-0.013511390932169	0.088565184535077	0.277348867359846
RPS4X	0.523375166035495	0.461759013342035	0.397418390837829	5.32241033242181e-05	0.00186884328532626
RPS6KA3	0.0291460417278086	0.0110820334386328	-0.043987167432424	0.345006152576735	0.54740976208842
SH3BGRL	0.0336496833164598	0.0282510318768419	-0.0331540204323519	0.155636808920216	0.363152554147172
SLC25A43	0.0040281643940368	-0.0398953720793075	-0.0775827941434383	0.956503315510958	0.989772996050469
SLC25A5	0	-0.0360031785109529	-0.0381627779469474	0.999789137904763	0.999789137904763
SLC9A7	0	-0.0465067353552487	-0.0810321089588375	0.970511452567852	0.992577954600737
SMC1A	0.561398671070965	0.513341036751047	0.337443889275147	0.00316040033610848	0.0268634028569221
STS	0.49544026133006	0.434921658400815	0.325232870487019	0.000125257525030397	0.00248427424643621
SYAP1	0.486843943924672	0.443661166916153	0.273230383145678	0.00437218289675727	0.0306052802773009
TAB3	0.0352192015008615	0.000574599064909292	-0.106514021233634	0.495358966527698	0.701038271595225
TBC1D25	0.0849026286505576	0.0794869740132612	-0.0206859096218171	0.0732171653937558	0.235482234644782
TBC1D8B	0.1292901024585	0.120599447406676	0.0472380348059959	0.0203820313391219	0.0932869895905964
TBL1X	0.00442043222003937	-0.0156730293892211	-0.0450569287959004	0.850868202805226	0.952587475957656
TCEANC	0.220040709665169	0.203954331683789	0.0865411688938227	0.018370254826735	0.0874424129752586
TFE3	0.031964411095271	0.000686325607601753	-0.136333847657839	0.494829194771707	0.701038271595225
TIMM17B	0.0226845831527234	-0.00125286415869129	-0.104497630991619	0.512523778393148	0.701038271595225
TIMP1	0.05152429920627	0.0208674126055884	-0.156496121352719	0.381970775680321	0.582750285973823
TMEM47	0.008383560115514	-0.0157135818911951	-0.0487144473750678	0.816265028084163	0.952587475957656
TMSB4X	0	-0.0524824602780085	-0.136734266781165	0.880543045002875	0.952587475957656
TRAPPC2	0.30389833279885	0.278108249533676	0.157444999556497	0.00133298567250548	0.0122019457713964
TRMT2B	0.211130949644719	0.182564920375046	-0.117404779810232	0.123741067231966	0.313301851076681
TSPAN6	0.00753342692394817	-0.0169343964564374	-0.0743167763700719	0.731342924553652	0.916103242335627
USP9X	0.242107741043866	0.225446152312591	0.105400252311031	0.00804088926765385	0.0455650391833718
VBP1	0.000171585449553779	-0.0152007999763523	-0.0467954382371286	0.852378668954043	0.952587475957656
VMA21	0.017218644364145	0.00349387441534887	-0.0468680087803619	0.44034399495241	0.65501169249171
WWC3	0	-0.100345503035558	-0.130328641399763	0.994845219560191	0.999789137904763
XG	0.634850895998419	0.569556376990768	0.427688486427994	6.2818261691639e-05	0.00186884328532626
XIAP	0.0245244211550711	0.0120708226198677	-0.0168947292302217	0.22449018431566	0.430137522889665
ZBED1	0.769200929970093	0.719075213472081	0.559948054268914	0.000888442256272267	0.00918178815215768
ZBTB33	0.0121020370747736	-0.00489429173521882	-0.0400090200530587	0.609423170717236	0.805792859059457
ZDHHC9	0.0040674026728646	-0.00799375752067056	-0.0375857213674141	0.743554790000296	0.921698125104534
ZFX	0.505535181166034	0.445560147713601	0.357214300171039	6.83849347491752e-06	0.000771547958978603
ZNF185	0.109970294036729	0.0831308445001443	-0.148428844278869	0.230118363522477	0.430137522889665
ZNF275	0.12554001000184	0.105084594332927	0.0190407564492841	0.0299103729475228	0.118644479358507
ZNF41	0.00469483568075117	-0.0536609413273968	-0.151390513582451	0.874971954059623	0.952587475957656
ZNF75D	0.0791704992921753	0.0725856139073732	0.00475527293219762	0.0444823014910613	0.160405875073827
ZRSR2	0.651209484410743	0.580450821855059	0.411436204467493	0.000925894603578925	0.00918178815215768
