AR_adj_mean_lcl	AR_ci95_low_lcl	AR_ci95_hi_lcl	AR_pval_lcl	AR_pval_adj_lcl
DYNLT3	0.046471255944574	-0.00413311132898938	Inf	0.0623015215047079	0.125401780464604
EIF1AX	0.416985518800658	0.35663350017488	Inf	8.27103793802171e-09	1.18050268751764e-07
EIF2S3	0.249059358550209	0.156202436855783	Inf	0.000534603007999935	0.00310861749096259
ELF4	0.0103868576656194	-0.00312646706886965	Inf	0.0943327964316037	0.152087418144878
FAAH2	0.222483824424923	-0.0320057395984189	Inf	0.0659125058492515	0.128185225164943
FAM199X	0.0513577179921418	-0.0320338673723307	Inf	0.134828313587134	0.168000358993492
FAM50A	0.00438596491228062	-0.00842098938751618	Inf	0.211324865405187	0.211324865405187
FLNA	0.0673104485992599	-0.0533699838434472	Inf	0.15604807874751	0.188458064333532
FMR1	0.05709655733981	-0.020816689412717	Inf	0.0998989384520216	0.152273139193858
FUNDC1	0.205719145516015	-0.0947576225290727	Inf	0.0918098395252128	0.152087418144878
GDI1	0.0128751389403483	-0.0174247422598606	Inf	0.195501109477885	0.211324865405187
GEMIN8	0.308542406815538	0.100267699908213	Inf	0.0124374137697103	0.0527749719417437
GK	0.0771381972344882	-0.0126982736086571	Inf	0.0645009426790562	0.128185225164943
GPR174	0.105312979201155	0.0276972439045418	Inf	0.0162090017111513	0.0636203317162688
GRIPAP1	0.0276466864954598	-0.000504655808239593	Inf	0.0523609280572337	0.114175912569246
GTPBP6	0.826277059761698	0.778554773007496	Inf	1.2683156327182e-11	4.20980237592979e-10
HCFC1	0.0603161764906217	-0.00768088301896094	Inf	0.0677667113929315	0.128185225164943
HDAC8	0.0687836753410525	-0.0280551091634883	Inf	0.0966009791157462	0.152087418144878
HMGB3	0.0643550695224971	0.00492767504811771	Inf	0.0396669693408744	0.103242648167524
HNRNPH2	0.00475391498881434	-0.00912744822875097	Inf	0.211324865405187	0.211324865405187
HTATSF1	0	NA	NA	NA	NA
HUWE1	0.00539207842151396	-0.000218936014714464	Inf	0.0552881914946151	0.117300622495332
IDS	0.0107673129848925	-0.0121869485993238	Inf	0.186950483150029	0.211324865405187
IL3RA	0.641567169203864	0.545131504673613	Inf	1.39599496535245e-07	1.36982005975209e-06
ITM2A	0.0880865705643432	0.0314455436623266	Inf	0.0107583713136633	0.0469184526734762
JPX	0.430432589940249	0.228680692876406	Inf	0.00521576854847606	0.0248144140033558
KDM6A	0.784152774416655	0.683915815778146	Inf	8.3302700221428e-08	8.71901595650946e-07
KLHL15	0.176255554056479	-0.0637961368187413	Inf	0.0962848732238464	0.152087418144878
LAMP2	0.158299204556426	-0.0865900536790828	Inf	0.127888046127971	0.166535142934212
MAGED1	0.0789164989040985	-0.0559655585731771	Inf	0.1311504396168	0.167483309973241
MAGED2	0.0245440163573344	-0.00385661742742505	Inf	0.0696087681388005	0.130102102354663
MAGEH1	0.0334981234098113	-0.00216052346333983	Inf	0.0584575780056295	0.122371196625118
MAP7D2	0.257583841535696	0.142402536871671	Inf	0.0031812003697715	0.0161112405823912
MAP7D3	0.0833856608092449	0.00454444702970407	Inf	0.0431366507325066	0.104912662066303
MBNL3	0.045859854608453	0.00527561361353662	Inf	0.0368184845228941	0.102862530590161
MBTPS2	0.0261428783138027	-0.00208249352061421	Inf	0.0613656416209466	0.125122152395956
MED12	0.00830624774286748	-0.0159478758931512	Inf	0.211324865405187	0.211324865405187
MED14	0.0651545994476209	0.0226274956482375	Inf	0.0136229517671703	0.0562843007222563
MORF4L2	0.0295138498887019	-0.010867565089896	Inf	0.0971026335523497	0.152087418144878
MOSPD1	0.0484514757770379	-0.0138611854945474	Inf	0.0755967466157531	0.138008014170619
MPP1	0.00902796038215447	-0.0173335537537413	Inf	0.211324865405187	0.211324865405187
MSL3	0.424969003558788	0.292876316675154	Inf	0.000114891714476127	0.000819909053306903
MTMR1	0.0382378232694673	-0.00752281118314816	Inf	0.0787051533071608	0.142031138726715
NXT2	0.023811700481262	-0.0070639613854231	Inf	0.0923156510501832	0.152087418144878
P2RY10	0.122842101332685	0.0749461759588158	Inf	0.000378715247585076	0.00237833175483428
P2RY8	0.803592709705688	0.757457893960821	Inf	3.92289568485398e-13	3.07947311261038e-11
PDK3	0.094538585763234	0.0286420873821137	Inf	0.0142294565369501	0.0572826840077221
PGK1	0.0226104592829998	-0.00811840065327348	Inf	0.0908848931723413	0.152087418144878
PHF6	0.0221974551871459	-0.0426187938798681	Inf	0.211324865405187	0.211324865405187
PHF8	0.0573360509508689	-0.0342387387823671	Inf	0.10451295104944	0.15453021265185
PIGA	0.130468556809953	0.0245183776779621	Inf	0.0313028773839245	0.0982910349855229
PIR	0.0620301638866444	0.00387292533210898	Inf	0.0421630843600596	0.104912662066303
PJA1	0.0671023133063489	-0.0451361404182002	Inf	0.141111555978456	0.173468587402329
PLCXD1	0.440997075411365	0.331473608193072	Inf	2.70252255952499e-06	2.35720023247457e-05
PLP2	0.0356707397205839	-0.0591795573744644	Inf	0.193345234979961	0.211324865405187
PNPLA4	0.727003989702599	0.611306042363877	Inf	5.19905699516919e-08	6.27886114031972e-07
POLA1	0.0137741046831955	-0.0264460823740181	Inf	0.211324865405187	0.211324865405187
PRKX	0.591627475129316	0.524719229225206	Inf	1.96491261461208e-12	1.02830426831365e-10
PRPS2	0.00585346840975452	-0.00328215657259156	Inf	0.133807781430077	0.168000358993492
PUDP	0.719819447213641	0.683273717910458	Inf	1.97511884703132e-17	3.10093658983917e-15
RAB39B	0.126853647036247	-0.0400867261028837	Inf	0.0902803836447353	0.152087418144878
RAP2C	0.0305254921617034	0.00137424395756936	Inf	0.0446888981354814	0.105058679415769
RBBP7	0.236553660680385	0.176560925040055	Inf	3.40923100812406e-06	2.81710141197619e-05
RBM3	0.0460641486595399	0.000704262290511108	Inf	0.0479519045318946	0.109942636086431
RBM41	0.0593319169193779	0.0167553571991048	Inf	0.0176023534602676	0.0674041339820005
RLIM	0.055843356572207	-0.0254859061001627	Inf	0.102266761374418	0.154383476305612
RPGR	0.0349857793558342	-0.0165644429583026	Inf	0.09300713747156	0.152087418144878
RPL10	0.0735410366616061	0.0130665297806811	Inf	0.0322396444601415	0.0992475329459259
RPS4X	0.631063506958018	0.564833094798444	Inf	1.41401429452736e-09	2.22000244240796e-08
RPS6KA3	0.0344778886853419	-8.10667458351106e-05	Inf	0.0503169871175287	0.1128538139636
RRAGB	0.132253976472127	-0.0566197487542223	Inf	0.0989673742605276	0.152273139193858
SASH3	0.017487590683467	-0.019793273315678	Inf	0.186950483150029	0.211324865405187
SAT1	0.102301573194103	0.0275489308856028	Inf	0.0216757028252729	0.0791415196178567
SH3BGRL	0.0175188825942096	0.00245824788585011	Inf	0.0308940200867008	0.0982910349855229
SLC10A3	0.0166954519286126	-0.032055026960425	Inf	0.211324865405187	0.211324865405187
SLC25A43	0.044207898353835	-0.00355257092690892	Inf	0.0605821113585857	0.125122152395956
SLC25A6	0.821404877701336	0.7491920339729	Inf	5.83903087079973e-08	6.54805604796827e-07
SLC9A7	0.0251149117981511	-0.01312252469097	Inf	0.117018714316119	0.160568111085546
SMC1A	0.365653814741232	0.248623031845272	Inf	0.000142138579053504	0.000970250300495657
SMS	0.0357142857142857	-0.0483344083857795	Inf	0.195501109477885	0.211324865405187
SNX12	0.0323497156182584	-0.00824654981155223	Inf	0.082293827037769	0.146819668692383
SOWAHD	0.12960789586326	0.0278750747179504	Inf	0.0251035228703025	0.0875834020141664
SPIN3	0.179541496453278	0.0388774380950456	Inf	0.0287473644200229	0.0960284300839062
STK26	0.120871205807675	0.0535475017048336	Inf	0.00570975341464384	0.0263656260617377
STS	0.580598528134433	0.463299178617321	Inf	4.05466456263335e-07	3.74460197843198e-06
SUV39H1	0.0740470520526419	-0.0970594024331889	Inf	0.166853422179199	0.198454449107077
SYAP1	0.429462091281365	0.206444134431492	Inf	0.00739463279329891	0.0331702099585122
TAB3	0.0946970462017176	-0.0145160157661182	Inf	0.0705134309867929	0.130242454881488
TAF9B	0.00961349813615851	-0.0184577777981817	Inf	0.211324865405187	0.211324865405187
TBC1D25	0.00984379208721323	0.000781058665472276	Inf	0.0401133855937513	0.103242648167524
TBL1X	0.0592386535394114	0.00209841087329473	Inf	0.0448339587315702	0.105058679415769
TCEAL4	0.0218591299660501	-0.0115612528799486	Inf	0.11783222310671	0.160568111085546
TCEANC	0.264059769204864	0.150363117149047	Inf	0.00271694467461656	0.0142186771304933
TFE3	0.0147578317792706	-0.0162968809071814	Inf	0.172446545542442	0.202045579478832
THOC2	0.392180035001348	0.0657565130315603	Inf	0.0331648661546638	0.100132384351581
TIMM17B	0.03309236922905	-0.000863127496908901	Inf	0.053381906731439	0.11480766242241
TIMP1	0.0923534207699968	-0.0463538476888705	Inf	0.107562018341016	0.15453021265185
TLR7	0.102100811264414	0.00634254565545653	Inf	0.041834360066822	0.104912662066303
TMSB15B	0.211386609762373	0.0508300820670081	Inf	0.022631840955275	0.080754523408595
TMSB4X	0.13878905044416	0.0820005952647685	Inf	0.000409754742087178	0.00247428825029565
TRAPPC2	0.214660492294673	0.117817763976775	Inf	0.00079444086337244	0.00445454341248118
TRMT2B	0.0347947351501526	-0.0156602797459828	Inf	0.107732800011372	0.15453021265185
UBA1	0.375485133945016	0.0413786398906371	Inf	0.037344995182415	0.102862530590161
USP9X	0.104482878066299	0.0116857854341644	Inf	0.0362738515054926	0.102862530590161
UTP14A	0.0410002255215915	-0.0286963267791151	Inf	0.113991869969693	0.158770891989442
VAMP7	0	NA	NA	NA	NA
VBP1	0.0343542535464458	-0.0178988165202644	Inf	0.121274731092909	0.161357057471074
VMA21	0.0264303595607323	-0.00963546029217081	Inf	0.0966252261794492	0.152087418144878
WDR44	0.0296793723980333	-0.0401669773713648	Inf	0.195501109477885	0.211324865405187
WWC3	0.0605858905796935	-0.1163240362859	Inf	0.211324865405187	0.211324865405187
XIAP	0.0539225794530124	0.00381242135754105	Inf	0.0400048272994383	0.103242648167524
ZBED1	0.747181408570952	0.67396080324636	Inf	6.81024205223014e-10	1.18800889133348e-08
ZBTB33	0.0128458498023715	-0.0173851034114858	Inf	0.195501109477885	0.211324865405187
ZDHHC9	0.028778797764459	-0.00879683573696273	Inf	0.091702468342014	0.152087418144878
ZFX	0.549670571896042	0.494121074057896	Inf	3.4429874973261e-11	9.0091506180033e-10
ZMYM3	0.00455820476858337	-0.00616890766214005	Inf	0.195501109477885	0.211324865405187
ZNF275	0.0299903628091525	0.00140441779300395	Inf	0.0434351785624821	0.104912662066303
ZNF280C	0.061573104401761	-0.0309878776959276	Inf	0.107718753759864	0.15453021265185
ZNF41	0.0166885614346086	-0.0080332737468781	Inf	0.111761073878248	0.158076473863829
ZNF75D	0.0919161773528678	-0.0823524275535728	Inf	0.161872702612782	0.19400010923822
ZRSR2	0.491792193503216	0.352705623217629	Inf	2.72240966266494e-05	0.000213709158519197
ZXDB	0.136860642527531	-0.0718979826263534	Inf	0.0978396766409727	0.152087418144878
