2690_XX	7225A_XX	7240A_XX	7247B_XX	7252A_XX	7253A_XX	7361A_XX	7362A_XX	7382A_XX	7479A_XXYY
ARMCX5	NA	0.640449438202247	NA	NA	NA	NA	NA	NA	NA	NA
ARMCX6	NA	NA	0.686274509803922	NA	0.76	0.8125	0.395348837209302	NA	NA	NA
ASMTL	0.783074001231627	0.929961089494163	0.578754578754579	0.830595679920484	0.513761467889908	0.727791969342363	0.911438548491612	0.866666666666667	0.831911404899911	NA
ATG4A	NA	NA	NA	0.42103825136612	NA	NA	NA	NA	NA	NA
ATP11C	NA	0.703296703296703	NA	NA	NA	NA	NA	NA	NA	NA
ATP6AP1	NA	0.704980842911877	0.535714285714286	NA	NA	NA	0.538852913968548	NA	NA	NA
ATP6AP2	NA	NA	NA	0.411764705882353	NA	0.425465838509317	NA	NA	NA	NA
ATP7A	NA	0.913650075414781	0.57695374800638	0.550055617352614	NA	NA	0.674418604651163	NA	NA	0.989130434782608
ATRX	NA	0.807692307692308	0.272727272727273	0.666666666666667	0.5	0.916666666666667	0.466666666666667	NA	NA	NA
BCAP31	NA	NA	NA	NA	NA	0.464985994397759	NA	NA	NA	NA
BCOR	0.576923076923077	NA	0.777777777777778	0.80952380952381	NA	NA	0.666666666666667	0.791666666666667	0.333333333333333	NA
BEX2	0.571428571428571	0.545454545454545	0.6	NA	NA	0.818181818181818	NA	NA	0.272727272727273	NA
BEX4	0.73015873015873	0.691176470588235	1	0.561643835616438	NA	0.416666666666667	NA	NA	1	NA
BRCC3	NA	NA	0.441860465116279	0.46875	0.8125	0.724137931034483	1	NA	NA	0.634146341463415
BRWD3	NA	0.6	NA	0.266666666666667	NA	0.5	0.818181818181818	0.421052631578947	NA	0.4375
BTK	0.805785123966942	0.83569674367837	0.711409395973154	NA	0.823178371517834	NA	NA	NA	0.222929936305732	0.608283170695299
C1GALT1C1	NA	NA	0.493984747653312	NA	0.862068965517241	0.467287823287823	NA	NA	0.374866025052628	0.587654945610929
CA5B	0.5	NA	0.833333333333333	NA	NA	0.6	NA	0.571428571428571	NA	0.916666666666667
CASK	NA	NA	NA	NA	NA	NA	NA	0.923076923076923	NA	NA
CCDC22	NA	NA	NA	0.265625	0.717948717948718	NA	0.558139534883721	0.736842105263158	NA	0.777777777777778
CD99	0.888185822987585	NA	NA	NA	NA	0.518466499220765	0.619230769230769	0.735714285714286	NA	NA
CD99L2	NA	0.751161982356824	NA	NA	NA	0.436363636363636	0.700603318250377	0.430851063829787	0.166666666666667	NA
CENPI	NA	0.691513386553709	0.516993464052287	NA	0.680203619909502	0.4	0.50688662644545	NA	0.28112019559388	0.783118949868084
CETN2	NA	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA
CFP	0.918918918918919	NA	NA	NA	NA	NA	NA	0.625	NA	NA
CHIC1	1	0.778571428571428	NA	NA	0.564484126984127	NA	0.730769230769231	0.473684210526316	0.444444444444444	NA
CHM	NA	0.495454545454546	0.54458041958042	0.666470588235294	NA	0.779545454545455	1	NA	0.385714285714285	0.806159420289855
CHST7	NA	0.857142857142857	NA	NA	NA	NA	NA	NA	NA	0.842105263157895
CLIC2	NA	NA	NA	NA	0.507042253521127	0.451612903225806	0.714285714285714	NA	NA	0.259541984732824
CTPS2	0.8125	0.315789473684211	NA	NA	NA	NA	NA	0.928571428571428	NA	0.5
CXorf38	NA	0.647887323943662	0.62	NA	NA	NA	NA	0.711340206185567	0.307036247334755	NA
CXorf65	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA
CYSLTR1	NA	0.823891625615764	0.421825396825396	NA	NA	NA	0.646464646464646	NA	0.269047619047619	NA
DDX3X	NA	0.624986801330887	0.809602649006622	NA	NA	NA	NA	NA	NA	0.86983204134367
DHRSX	0.953125	0.609756097560976	0.591516822617214	0.84	NA	0.597570583317255	0.688888888888889	0.811666352970701	0.614196710662297	NA
DIAPH2	NA	NA	NA	NA	NA	NA	NA	0.550763125763126	0.333333333333333	NA
DKC1	NA	0.733552631578947	0.520408163265306	NA	0.861607142857143	NA	NA	NA	NA	NA
DLG3	NA	NA	NA	NA	NA	NA	NA	0.818181818181818	NA	NA
DMD	NA	NA	0.490196078431373	NA	0.763157894736842	NA	0.519230769230769	NA	0.365384615384615	NA
DNASE1L1	NA	0.645295004306632	0.749026883480665	0.366489361702127	NA	NA	0.898809523809524	NA	NA	NA
DOCK11	0.828288690476191	NA	0.392482517482518	0.517740429505136	0.894736842105263	NA	NA	NA	0.437862669245648	0.775098814229249
DYNLT3	NA	NA	NA	0.41764482840659	0.6	NA	NA	NA	NA	0.869565217391304
EDA2R	NA	0.91304347826087	0.616666666666667	NA	NA	0.347555109000122	0.547271062271062	NA	NA	0.722486772486772
EIF1AX	0.568243131012141	NA	NA	0.652256753509017	NA	NA	NA	NA	NA	NA
EIF2S3	0.964404077694341	0.513344615575705	NA	NA	0.813709755534024	0.740064260283092	0.692832764505119	0.82640586797066	NA	0.699120234604106
ELF4	NA	0.726162675638235	NA	0.392523364485981	0.764150943396226	0.342105263157895	0.766990291262136	0.708029197080292	0.378378378378378	0.763153842205226
ELK1	NA	NA	NA	NA	NA	NA	NA	0.701683602311218	NA	NA
ENOX2	NA	NA	NA	NA	0.785714285714286	NA	NA	NA	NA	NA
ERCC6L	NA	0.703076923076923	NA	0.421052631578947	NA	0.246130030959752	0.375	NA	NA	0.722222222222222
F8	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA
FAAH2	0.708333333333333	0.749287749287749	0.476851851851852	NA	NA	NA	0.833333333333333	NA	NA	NA
FAM104B	NA	0.75	0.3	NA	NA	NA	NA	NA	NA	NA
FAM199X	NA	0.689303904923599	0.722567287784679	0.457692307692308	0.8	0.412828947368421	0.56	0.774285714285714	NA	NA
FAM3A	0.964452214452215	NA	0.397727272727272	NA	0.833333333333333	NA	NA	NA	NA	NA
FAM50A	NA	NA	NA	NA	0.75	NA	NA	0.651376146788991	NA	NA
FANCB	1	0.809090909090909	NA	NA	0.909090909090909	0.65	0.363636363636364	0.652173913043478	0.1875	NA
FHL1	NA	NA	NA	0.294117647058824	0.571428571428571	NA	0.5	0.666666666666667	NA	NA
FLNA	NA	0.562872419705453	0.409729871492264	NA	0.777777777777778	NA	0.465909090909091	NA	0.354260089686099	NA
FMR1	0.773809523809524	NA	NA	0.352941176470588	NA	NA	NA	0.881720430107527	0.625	NA
FTSJ1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FTX	NA	0.833333333333333	0.428571428571429	NA	NA	NA	NA	NA	NA	0.660714285714285
FUNDC1	NA	NA	NA	NA	NA	0.692307692307692	NA	NA	NA	NA
G6PD	NA	NA	0.557046979865772	NA	0.7	NA	NA	NA	NA	NA
GDI1	0.705882352941177	0.719354838709677	NA	NA	NA	NA	0.527272727272727	NA	NA	NA
GEMIN8	NA	0.857142857142857	NA	0.384615384615385	NA	NA	0.75	NA	NA	NA
GK	NA	NA	0.428571428571429	NA	NA	0.75	NA	0.823529411764706	NA	NA
GLA	NA	NA	NA	0.533333333333333	1	NA	NA	NA	NA	NA
GNL3L	NA	0.723076923076923	NA	0.25	0.714285714285714	0.38986013986014	0.555555555555556	NA	0.161290322580645	0.192307692307692
GPR174	NA	0.488976723759333	0.856753763730508	NA	NA	NA	NA	0.816023864870193	0.296795659295659	0.70976430976431
GRIPAP1	0.934210526315789	NA	NA	NA	NA	0.549295774647887	0.615384615384615	0.538461538461538	NA	0.657142857142857
GSPT2	0.625	0.571428571428571	NA	0.2	1	NA	NA	NA	NA	0.6
GTPBP6	0.901098901098901	0.86372022326683	0.501865671641791	NA	0.888888888888889	0.920353982300885	0.91575591985428	NA	0.864074074074074	NA
HCCS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCFC1	NA	0.709110516836964	0.5	NA	0.783577066527886	0.4	NA	NA	0.378048780487805	NA
HDAC8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.235294117647059
HDX	NA	0.5	0.8	NA	NA	NA	NA	0.545454545454545	NA	NA
HMGB3	NA	0.545454545454545	NA	0.306122448979592	1	0.371428571428571	NA	NA	NA	NA
HNRNPH2	NA	NA	NA	0.338645418326693	0.973684210526316	NA	NA	NA	NA	0.625
HTATSF1	NA	NA	NA	0.346153846153846	NA	NA	NA	NA	NA	0.760869565217391
HUWE1	NA	0.774358974358974	0.700854700854701	NA	NA	NA	0.704761904761905	NA	NA	0.760869565217391
IDH3G	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA
IDS	0.770519879272699	0.652163567753797	0.564240279233871	0.433789418016489	0.767216805777383	NA	0.630861747309246	0.901734104046243	0.374202826383061	0.84006067508141
IL13RA1	0.454545454545455	NA	NA	0.4375	NA	NA	NA	NA	0.15	NA
IL3RA	0.646480278094132	0.418918918918919	NA	NA	0.735294117647059	NA	0.5	NA	NA	NA
IRAK1	NA	0.649262554024459	NA	NA	0.889377033631489	NA	0.645569620253165	NA	NA	NA
ITM2A	0.5625	0.565602836879433	0.857142857142857	NA	NA	NA	NA	0.54006968641115	NA	0.771103896103896
JADE3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25
JPX	NA	0.558441558441558	NA	NA	0.333333333333333	NA	NA	NA	NA	NA
KANTR	NA	NA	NA	0.375	NA	NA	NA	NA	NA	NA
KDM6A	0.742424242424242	NA	NA	0.741935483870968	NA	0.577777777777778	0.891304347826087	NA	NA	NA
KIF4A	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.833333333333333
KLF8	NA	0.409090909090909	0.714285714285714	NA	0.5	NA	NA	NA	NA	NA
KLHL15	NA	NA	NA	0.2	0.759259259259259	NA	0.420261437908497	NA	NA	0.722222222222222
KRBOX4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75609756097561
LAGE3	0.752127659574468	0.433962264150943	0.597727272727272	NA	0.768421052631579	NA	NA	NA	NA	NA
LAMP2	0.787878787878788	0.568965517241379	0.467289719626168	0.345132743362832	0.867578976034858	0.399023498288204	NA	NA	NA	0.878672699849171
MAGED1	1	0.48	NA	0.698564593301435	0.981395348837209	NA	NA	NA	NA	0.785714285714286
MAGED2	NA	NA	NA	0.392285918825991	0.905024346411612	NA	NA	NA	0.251785274925118	0.849139371550767
MAGEH1	NA	0.888888888888889	0.635135135135135	NA	NA	NA	0.927536231884058	NA	NA	NA
MAP7D3	0.928422619047619	0.731915618539436	NA	0.535910087719298	0.753045843045843	0.478112165612166	0.413725490196079	0.660984848484849	0.265151515151515	NA
MBNL3	NA	NA	NA	NA	0.873015873015873	NA	NA	0.648908857509628	NA	NA
MBTPS2	0.809597523219814	0.628048780487805	NA	0.520487264673311	0.842105263157895	0.303259141494436	0.899378881987578	0.551851851851852	0.324324324324324	NA
MCTS1	NA	0.722222222222222	NA	NA	NA	NA	NA	NA	NA	0.444444444444444
MECP2	0.888888888888889	0.737837837837838	NA	NA	0.909090909090909	NA	NA	NA	NA	NA
MED12	NA	0.564102564102564	NA	0.5	0.692307692307692	0.533333333333333	NA	NA	NA	NA
MED14	0.824324324324324	0.863636363636364	0.695652173913043	NA	NA	0.308823529411765	NA	0.784810126582278	0.327355836849508	NA
MID1IP1	0.727272727272727	NA	0.466666666666667	NA	0.783333333333333	NA	NA	0.59047619047619	NA	NA
MMGT1	NA	NA	NA	NA	NA	0.433962264150943	NA	NA	0.400793650793651	NA
MORF4L2	NA	NA	0.433962264150943	NA	0.986013986013986	0.365180467091295	0.717821782178218	NA	0.286458333333333	NA
MOSPD1	NA	0.518095987411487	0.884444444444444	0.260869565217391	NA	0.634615384615385	0.430303030303031	0.888888888888889	0.47719298245614	NA
MOSPD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.616666666666667
MPP1	NA	NA	0.659090909090909	0.232876712328767	0.645161290322581	0.393939393939394	0.604166666666667	NA	NA	0.885714285714286
MSL3	NA	0.5365251436543	0.709083196231151	0.247554209508297	NA	0.307692307692308	0.728586171310629	NA	0.638888888888889	1
MTMR1	NA	0.478021978021978	NA	0.4375	NA	0.585597826086957	0.777777777777778	0.681818181818182	0.308823529411765	NA
NAA10	NA	0.436111111111111	NA	NA	0.770676691729323	NA	NA	NA	NA	NA
NONO	0.826086956521739	NA	NA	NA	NA	0.28	NA	0.777777777777778	0.280323450134771	0.733333333333333
NSDHL	0.8	NA	NA	NA	NA	NA	NA	0.810344827586207	0.314666666666666	NA
NXT2	NA	0.932445434749582	NA	0.534398034398034	0.759157509157509	NA	NA	0.859131788308543	0.301470588235294	0.755866114561766
OCRL	0.583333333333333	NA	0.214285714285714	NA	NA	NA	NA	0.8	NA	NA
OFD1	NA	0.8	NA	NA	NA	NA	NA	0.666666666666667	NA	NA
OTUD5	0.131578947368421	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY10	NA	0.826530612244898	0.720257234726688	NA	NA	NA	NA	0.517699115044248	0.468085106382979	NA
P2RY8	0.933333333333333	0.9501310165042	0.939852066570043	NA	0.836056721605085	0.883679018425478	0.935714285714286	NA	0.914634146341463	NA
PDHA1	0.904761904761904	NA	NA	0.401891252955083	NA	NA	NA	NA	NA	NA
PDK3	0.928571428571429	NA	0.36	NA	0.712490287490288	NA	0.420900156910689	NA	0.477206770898409	0.655594405594406
PGK1	NA	0.469228089917745	0.373913043478261	0.453510436432638	NA	NA	0.678402955385053	NA	0.538768115942029	0.939393939393939
PHF6	NA	0.828571428571429	NA	NA	0.897058823529412	NA	NA	NA	0.347826086956522	NA
PHF8	NA	0.827586206896552	0.551020408163265	NA	NA	NA	0.425	NA	NA	NA
PHKA2	NA	NA	NA	NA	NA	0.666666666666667	0.888888888888889	NA	NA	NA
PIGA	NA	0.944444444444444	NA	NA	0.655952380952381	NA	0.582586618876941	NA	0.619047619047619	0.696031746031746
PIN4	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA
PIR	NA	0.474683544303797	0.36156798245614	NA	0.722222222222222	NA	NA	0.458333333333333	NA	0.330357142857143
PJA1	NA	0.95	0.548780487804878	NA	0.925925925925926	NA	NA	0.835732323232323	0.258396042363434	0.935353535353535
PLCXD1	0.561247947454844	0.176289724844515	0.312814816912265	0.597401307975257	0.356349206349206	0.652298850574713	0.563129973474801	0.590724601528923	0.75	NA
PLP2	0.694044665012407	NA	NA	0.6	NA	NA	NA	0.619047619047619	NA	NA
PLS3	NA	0.514285714285714	NA	NA	NA	NA	0.125	NA	NA	NA
PLXNA3	NA	0.758620689655172	0.689393939393939	NA	0.428571428571429	0.315789473684211	NA	NA	NA	NA
PNPLA4	0.666666666666667	0.658068783068783	0.56547619047619	0.571428571428571	NA	NA	0.857142857142857	1	NA	0.628571428571429
POLA1	0.769230769230769	NA	NA	0.225806451612903	NA	NA	0.536231884057971	NA	0.444444444444444	NA
PPP1R3F	NA	NA	NA	0.4	NA	NA	NA	0.75	NA	NA
PRICKLE3	NA	NA	NA	0.384615384615385	NA	NA	NA	NA	NA	NA
PRKX	0.876249082306876	0.87617337164751	0.722440700291863	0.664002864393341	0.735114300903774	0.56140350877193	0.909870989046025	0.747247667176673	0.603123192596877	0.774012783469048
PRPS2	NA	NA	NA	0.369230769230769	0.721518987341772	NA	NA	0.621621621621622	0.345794392523364	0.973451327433628
PUDP	0.825705279309426	0.821428571428571	0.891716948400699	0.770030369635777	NA	0.913685121100519	0.844002938554466	0.833323416745954	0.491525423728814	0.8492672950873
RAB39B	NA	NA	NA	NA	0.541666666666667	0.432432432432432	0.59375	NA	NA	0.865384615384615
RAB9A	0.894557823129252	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA
RAP2C	NA	NA	NA	NA	0.731707317073171	NA	NA	0.693333333333333	NA	0.786516853932584
RBBP7	0.800987723659715	0.805913822682814	0.528571428571429	0.605263157894737	0.684210526315789	0.565883633583226	0.751454653719082	0.690526044439815	0.24	0.736907256001225
RBM3	0.738839221761535	0.590494869842922	0.437400386351999	NA	NA	0.449463548518804	0.450608974358975	0.6450735223771	NA	0.764104524735754
RBM41	0.883279914529915	NA	0.466666666666667	0.416865079365079	0.619769446240034	0.342952970661949	0.3125	0.846153846153846	0.157894736842105	0.784761904761905
RLIM	NA	0.582482993197279	NA	0.297619047619047	NA	NA	0.663265306122448	NA	NA	NA
RNF113A	NA	0.79047619047619	NA	NA	NA	NA	NA	NA	NA	NA
RP2	NA	0.918918918918919	NA	NA	NA	NA	NA	NA	NA	NA
RPGR	0.909090909090909	NA	NA	NA	0.8	0.5	0.727272727272727	NA	0.384615384615385	0.6
RPL10	NA	0.780185758513932	0.503547952799557	NA	NA	NA	0.735431235431235	NA	NA	NA
RPL36A	NA	NA	NA	NA	0.454545454545455	NA	NA	NA	NA	NA
RPS4X	NA	0.892959582790091	NA	NA	NA	NA	0.885852128960399	NA	NA	0.909620991253644
RPS6KA3	NA	NA	NA	0.373720008029644	NA	NA	NA	NA	NA	NA
RRAGB	NA	0.866666666666667	1	NA	NA	NA	0.857142857142857	NA	NA	NA
SASH3	0.833688699360341	0.797150579150579	0.610337972166998	NA	0.793617021276596	0.489399293286219	0.665675805675805	NA	NA	0.768115942028985
SAT1	NA	0.790697674418605	0.797222222222222	NA	NA	0.474747474747475	NA	NA	NA	NA
SCML1	NA	NA	NA	0.181818181818182	NA	NA	NA	NA	NA	NA
SH3BGRL	0.796747967479675	0.629834254143646	0.573208722741433	NA	0.735973597359736	NA	0.590132827324478	NA	NA	0.775449101796407
SLC10A3	0.75	NA	NA	0.352941176470588	NA	0.3125	1	NA	NA	NA
SLC25A43	0.653846153846154	0.763034169214574	0.703471733520994	NA	NA	NA	0.460669293941353	0.632352941176471	0.305745139078472	0.797146111073893
SLC25A5	NA	0.688889599530029	NA	NA	NA	NA	0.535239713162033	0.617325823685159	0.294461835471313	NA
SLC25A53	NA	0.666666666666667	NA	NA	NA	0.333333333333333	0.375	0.625	NA	0.545454545454545
SLC25A6	0.838847128548599	NA	0.805164971313725	0.858176524016153	0.828141237421137	NA	NA	NA	NA	NA
SLC35A2	0.509090909090909	0.757894736842105	NA	NA	NA	NA	NA	0.481481481481481	NA	NA
SLC38A5	0.806451612903226	NA	NA	NA	NA	0.297619047619048	NA	NA	NA	NA
SLC6A8	NA	0.588888888888889	NA	0.857142857142857	NA	NA	NA	NA	NA	NA
SLC9A6	0.789473684210526	NA	0.743259803921569	NA	NA	NA	NA	NA	0.476325757575758	NA
SLC9A7	NA	0.704425577929361	NA	0.277594386535075	0.799765753031835	NA	NA	0.476923076923077	NA	0.761041584517698
SMC1A	NA	NA	0.725508086893483	NA	NA	0.9	0.92987012987013	0.875	0.7375	0.84251968503937
SMS	NA	NA	0.45679012345679	NA	0.941176470588235	0.457831325301205	NA	0.432692307692308	0.265957446808511	NA
SNX12	NA	0.733644859813084	NA	0.437185929648241	0.743055555555556	0.493506493506494	NA	NA	0.353383458646617	NA
SOWAHD	0.62962962962963	NA	NA	NA	NA	NA	NA	NA	NA	0.70959595959596
SPIN2B	NA	0.5	0.714285714285714	NA	NA	NA	NA	NA	NA	NA
SPIN3	1	0.403846153846154	0.867424242424242	0.422222222222222	NA	NA	0.833333333333333	NA	NA	NA
SPIN4	NA	0.9	NA	0.5	0.6	NA	NA	NA	NA	NA
SSR4	0.65625	NA	0.624183006535948	NA	NA	NA	NA	NA	NA	0.85
STK26	0.304347826086957	NA	NA	0.907801418439716	0.608695652173913	NA	NA	0.784172661870504	NA	NA
STS	NA	NA	0.918032786885246	0.741379310344828	NA	NA	NA	NA	NA	0.786140979689367
SUV39H1	NA	NA	0.62962962962963	0.391304347826087	NA	NA	0.695652173913043	0.857142857142857	NA	0.682926829268293
SYAP1	NA	0.5	0.571428571428571	0.625	NA	NA	NA	NA	NA	0.333333333333333
TAB3	0.925	0.818461538461538	0.514934289127837	NA	0.926767676767676	NA	0.662698412698413	0.835725677830941	0.400641025641026	0.833333333333333
TAF1	0.891891891891892	NA	NA	NA	NA	NA	NA	0.538461538461538	NA	NA
TAF9B	NA	0.555555555555556	0.36231884057971	0.354430379746835	NA	NA	0.732394366197183	NA	0.277777777777778	NA
TBC1D25	0.941675503711559	0.759578544061303	0.449038461538461	0.217391304347826	1	0.42084942084942	0.827350427350427	0.75	NA	0.715051942186089
TBL1X	0.692307692307692	0.675	NA	0.438800489596083	0.478719130332033	0.294356702619414	0.543298481894973	0.526166448199319	0.350123456790123	0.817638928946366
TCEAL4	NA	0.498516320474777	NA	NA	NA	0.479289940828402	NA	0.947916666666667	NA	0.823322472493743
TCEANC	NA	NA	NA	0.6	NA	NA	0.541486291486291	0.584821428571428	NA	0.333333333333333
TFE3	0.930555555555556	NA	0.941176470588235	NA	NA	0.540540540540541	NA	0.797979797979798	NA	0.82258064516129
THOC2	NA	0.735294117647059	0.714285714285714	0.480769230769231	NA	NA	NA	NA	NA	0.4
TIMM17B	0.76536312849162	NA	0.501694915254237	NA	NA	0.410958904109589	0.486910994764398	0.704545454545455	NA	0.985915492957746
TIMP1	NA	0.877155172413793	NA	0.39344262295082	NA	0.478787878787879	NA	NA	NA	NA
TLR7	NA	0.718475073313783	0.281437125748503	NA	NA	NA	0.626582278481013	0.974358974358974	NA	0.522988505747126
TMEM164	NA	0.818181818181818	NA	0.517241379310345	NA	0.303571428571429	NA	NA	NA	0.577777777777778
TMEM187	NA	0.833603896103896	NA	NA	0.719093406593406	NA	NA	NA	NA	NA
TMSB15B	NA	0.666666666666667	NA	NA	0.9	0.375	0.316666666666666	0.675438596491228	NA	0.639705882352941
TMSB4X	0.782608695652174	0.808	0.787234042553192	0.351351351351351	NA	0.460527033498474	0.928571428571429	0.861538461538462	0.64	0.561224489795918
TRAPPC2	0.743589743589744	0.719620395327943	0.352539512615787	0.417502787068004	0.837928153717627	0.782608695652174	1	0.779166666666667	0.3125	0.75
TRMT2B	0.789473684210526	0.623611111111111	NA	NA	0.823529411764706	0.631372549019607	NA	0.766666666666667	NA	0.689655172413793
TRO	NA	NA	0.666666666666667	NA	NA	NA	0.5	NA	NA	NA
TSC22D3	NA	0.742971887550201	NA	NA	NA	NA	NA	NA	NA	NA
TXLNG	NA	NA	0.464566929133858	0.431034482758621	NA	NA	0.909090909090909	0.575221238938053	NA	NA
UBA1	NA	NA	NA	NA	NA	NA	0.885826771653543	NA	NA	NA
UBE2A	NA	NA	0.501730103806228	NA	NA	NA	NA	NA	NA	NA
UBL4A	0.893192918192918	0.519088348097614	0.521941221825226	NA	0.745490620490621	NA	NA	NA	NA	NA
UPF3B	NA	NA	NA	NA	0.933333333333333	NA	NA	NA	NA	NA
UPRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.742857142857143
USP9X	NA	0.629441624365482	NA	NA	0.756410256410256	NA	NA	0.957142857142857	NA	NA
UTP14A	0.75	NA	NA	0.366336633663366	0.817518248175182	NA	NA	0.75	NA	NA
VAMP7	0.831111111111111	0.664285714285714	0.504182754182754	NA	NA	NA	NA	0.818181818181818	0.221153846153846	NA
VBP1	NA	NA	NA	0.393388460260623	0.952830188679245	0.391849529780564	0.590747330960854	NA	NA	0.621428571428571
VMA21	NA	NA	0.595744680851064	NA	0.794871794871795	0.484042553191489	0.446153846153846	NA	NA	NA
WASH6P	0.56517094017094	0.8	0.351351351351351	0.540540540540541	0.630434782608696	0.515151515151515	NA	NA	NA	NA
WDR13	0.785714285714286	0.807692307692308	0.857142857142857	NA	NA	NA	NA	1	NA	NA
WDR44	NA	NA	0.604651162790698	0.625	0.7595324933687	NA	NA	0.681062791637981	0.295887445887446	0.526315789473684
WDR45	NA	NA	NA	0.454545454545455	NA	NA	NA	NA	NA	NA
WWC3	0.8	0.645161290322581	0.845744680851064	0.375	NA	NA	NA	0.293096405228758	NA	NA
XIAP	0.762462964386041	0.784165084854473	0.519697453182027	0.430829059406213	0.757451642872855	0.333333333333333	0.619598946453785	0.75235001925898	0.272321428571428	0.758277401461697
XIST	0.789473684210526	0.0591517857142855	0.823529411764706	0.777777777777778	0.0740740740740744	NA	0.601063829787234	0.84	0.629310344827586	0.419117647058823
YIPF6	NA	NA	0.75	NA	0.526315789473684	NA	NA	NA	NA	NA
ZBED1	0.92353697943502	NA	0.751687833670546	NA	0.894410346245955	NA	0.925539435480907	0.896566808841332	NA	NA
ZBTB33	NA	NA	NA	NA	NA	NA	0.407407407407407	0.788888888888889	0.41304347826087	0.797979797979798
ZDHHC9	NA	NA	NA	NA	NA	0.444444444444444	NA	0.6	0.25	NA
ZFX	0.695161782661783	0.781405838313733	NA	0.82911877394636	0.773719837261504	0.786685536685537	0.9	0.709771941563511	NA	NA
ZMYM3	NA	NA	NA	NA	NA	NA	NA	NA	0.342105263157895	NA
ZNF275	0.826730994152047	0.818394024276377	0.487268475404068	0.263157894736842	NA	0.38843921816058	0.564790661275597	0.755750377073906	0.19369972378152	0.786544850498339
ZNF280C	0.5	NA	NA	0.490196078431373	NA	NA	NA	0.503119429590017	NA	NA
ZNF41	0.923076923076923	0.757002801120448	0.862068965517241	0.373563218390805	NA	0.19047619047619	0.666666666666667	0.689655172413793	NA	NA
ZNF449	0.571428571428571	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF630	NA	NA	NA	NA	NA	NA	0.714285714285714	0.666666666666667	0.6	NA
ZNF711	NA	NA	0.428571428571429	NA	NA	NA	NA	NA	NA	NA
ZNF75D	NA	0.944444444444444	0.477020202020202	0.461538461538462	NA	0.722222222222222	0.448412698412698	NA	0.291666666666667	NA
ZNF81	NA	NA	0.230769230769231	NA	NA	NA	0.706349206349206	NA	NA	NA
ZRSR2	0.754385964912281	NA	0.967741935483871	NA	NA	0.508771929824561	NA	0.818181818181818	0.557692307692308	NA
