AR_adj_mean_lcl	AR_mean_lcl	AR_ci95_low_lcl	AR_pval_lcl	AR_pval_adj_lcl
KLHL15	0.176255554056478	0.146561036652361	-0.0729756289991653	0.113882708599684	0.286585690709336
LAMP2	0.158299204556426	0.146627961394697	-0.0910685747990629	0.137919830149302	0.296067902053835
MAGED1	0.0789164989040986	0.0663275212599479	-0.0618755785530051	0.155215129867856	0.297495665580057
MAGED2	0.0245440163573344	0.00755445216255922	-0.0439049576252693	0.384973378705913	0.503908243671967
MAGEH1	0.0334981234098114	0.0198564646315596	-0.0239930787245324	0.201684152518579	0.352947266907514
MAP7D2	0.257583841535696	0.249171497878964	0.141581639086526	0.00274936185072807	0.0147549085989073
MAP7D3	0.0833856608092449	0.0676274505431612	-0.0020943542832425	0.0540216389171325	0.16106451603071
MBNL3	0.045859854608453	0.0321169326726591	-0.0196057297599061	0.128083730641467	0.288519290677
MBTPS2	0.0261428783138027	-0.000392347191144688	-0.0475873108301535	0.506063426057122	0.641544973190525
MED12	0.00830624774286747	-0.0233952016433907	-0.122385586198221	0.719274347009764	0.793172396360082
MED14	0.0651545994476209	0.0542148627550927	-6.78554174821222e-05	0.050160967187779	0.155306071485239
MORF4L2	0.0295138498887019	-0.00811842877929162	-0.0820309438001555	0.586820634685625	0.684624073799896
MOSPD1	0.0484514757770379	0.0461761078157266	-0.0142065761320126	0.0775896364709647	0.215378128824574
MPP1	0.00902796038215447	-0.019084466048235	-0.0927902944962329	0.735735149839602	0.80036053462281
MSL3	0.424969003558788	0.410163760794262	0.273551787682715	0.000189175979584782	0.00138442421423409
MTMR1	0.0382378232694675	0.0157911105054599	-0.0354540654456046	0.288833314616803	0.427754628549963
NXT2	0.023811700481262	-0.0186845199490627	-0.0742740502881346	0.731061123290493	0.80036053462281
P2RY10	0.122842101332685	0.115499331133548	0.0659371620162925	0.000761670120754405	0.00471649574774843
P2RY8	0.803592709705688	0.750565244030224	0.695345433795628	7.36432415358853e-12	3.95218729575918e-10
PDK3	0.094538585763234	0.0785681014557971	0.0144149840599342	0.026142266732953	0.0966713381850107
PGK1	0.0226104592829998	-0.001867577240013	-0.0656645375756023	0.525294695115512	0.65560035591936
PHF6	0.0221974551871459	-0.0259647343182521	-0.155765698615387	0.690871030181331	0.774076448424952
PHF8	0.0573360509508688	0.0388745274921446	-0.0969098249965867	0.245565693755857	0.395148236234481
PIGA	0.130468556809953	0.124182137270569	0.0241441445430894	0.0307145451033829	0.103021703367597
PIR	0.0620301638866445	0.0491193578043575	-0.0124759347213014	0.0844924562022338	0.226721424142661
PJA1	0.0671023133063488	0.0504251764791823	-0.0557472771933986	0.191254370992372	0.342132819219688
PLCXD1	0.440997075411365	0.416149467536102	0.315218977780984	2.07268519874932e-06	1.85390176110356e-05
PLP2	0.0356707397205838	0.0157389448688619	-0.1084638090172	0.373438532177862	0.499298633527051
PNPLA4	0.727003989702599	0.67184243200763	0.571831129557835	2.47984532671492e-08	3.32712581334252e-07
POLA1	0.0137741046831955	-0.00329861937969793	-0.0661634800105464	0.55385499794923	0.676804568842044
PRKX	0.591627475129316	0.565099993688512	0.496431931065635	6.9298126722325e-12	3.95218729575918e-10
PRPS2	0.00585346840975453	-0.00443086274146251	-0.0181634045311188	0.717442130803021	0.793172396360082
PUDP	0.719819447213641	0.659747890596185	0.623662969574051	6.87506115613074e-17	1.10688484613705e-14
RAB39B	0.126853647036247	0.100960164347084	-0.0598754584412949	0.125917073332824	0.288519290677
RAP2C	0.0305254921617033	0.0204077028917377	-0.0170284946680295	0.154896476240411	0.297495665580057
RBBP7	0.236553660680385	0.221302855927897	0.158715369684285	1.10395363838758e-05	9.35455451475792e-05
RBM3	0.0460641486595399	0.0195346863319235	-0.0414587731651231	0.278303289251573	0.418755416537414
RBM41	0.0593319169193779	0.0409262181163418	-0.0183884803430998	0.114263064423184	0.286585690709336
RLIM	0.0558433565722068	0.0445625555668187	-0.0494244130390443	0.172914593928096	0.3237122049119
RPGR	0.0349857793558342	0.00233070803531518	-0.13512356951988	0.482505588857312	0.621467198448218
RPL10	0.073541036661606	0.0626332333189635	0.0154884439206606	0.0261033476736162	0.0966713381850107
RPS4X	0.631063506958018	0.589825254114393	0.516985536475272	7.89250698832307e-09	1.41188180568891e-07
RPS6KA3	0.0344778886853418	0.0303434726345641	-0.0063934208015575	0.079807698831523	0.217780330709749
RRAGB	0.132253976472127	0.104384084790005	-0.0838805393449371	0.141509032149369	0.297495665580057
SASH3	0.017487590683467	-0.00485250497792392	-0.0547625779968738	0.577037876217693	0.683818164033866
SAT1	0.102301573194103	0.092742013071244	0.0180696620985101	0.0285587035212336	0.0978287503599706
SH3BGRL	0.0175188825942096	-0.00209286681112232	-0.0269304683664126	0.559673023766696	0.677498923507054
SLC10A3	0.0166954519286126	0.00760766643811021	-0.0514437703282755	0.371468044824515	0.499298633527051
SLC25A43	0.044207898353835	0.0325265480138637	-0.0241016797737329	0.149692193001515	0.297495665580057
SLC25A6	0.821404877701336	0.738006348787464	0.65905652045766	2.25613286742369e-07	2.27023369784508e-06
SLC9A7	0.0251149117981511	0.0224119749799693	-0.0177459198618131	0.149963234818463	0.297495665580057
SMC1A	0.365653814741231	0.334703515775416	0.221052391777734	0.000216919052450463	0.00151843336715324
SMS	0.0357142857142857	0.0147245240326695	-0.0873834753937857	0.378350517331057	0.499298633527051
SNX12	0.0323497156182584	0.0206255058450991	-0.033003442850327	0.229158343443672	0.376474421371748
SOWAHD	0.12960789586326	0.121079784401955	0.0305413384125308	0.0215258014033785	0.0912014217353668
SPIN3	0.179541496453278	0.167247639311648	0.0412288757452623	0.026168547387818	0.0966713381850107
STK26	0.120871205807675	0.104258112711363	0.0256852130596243	0.0200832977854224	0.0873894849581892
STS	0.580598528134433	0.542709266977533	0.434415118042628	3.52656361226791e-07	3.33986318573608e-06
SUV39H1	0.0740470520526419	0.0674285794105631	-0.0869188437831686	0.165105971589993	0.312730134423398
SYAP1	0.429462091281365	0.417979606162633	0.191414582499567	0.00853031870645053	0.0392394660496724
TAB3	0.0946970462017176	0.0744010973734862	-0.0392049518320252	0.122069573220271	0.288519290677
TAF9B	0.0096134981361585	-0.0275315463575366	-0.114767173542751	0.772974610699207	0.820041985761086
TBC1D25	0.00984379208721322	5.35756989130792e-05	-0.0194741509377848	0.497901384687353	0.636207324878284
TBL1X	0.0592386535394114	0.0388725186169718	-0.0200493175295926	0.129691871278824	0.288519290677
TCEAL4	0.0218591299660501	-0.0150417251371295	-0.0780431361686433	0.681222253163764	0.772371709573
TCEANC	0.264059769204863	0.242923318070247	0.148711182217168	0.00173967260926467	0.00965818241695212
TFE3	0.0147578317792706	0.0101507679562228	-0.0227969594970459	0.260431144652985	0.402870962291376
THOC2	0.392180035001348	0.346273513091355	0.0829852570148154	0.0267496413963901	0.0966713381850107
TIMM17B	0.0330923692290501	0.024059168418589	-0.0147368351146849	0.13337137856096	0.290172864166413
TIMP1	0.0923534207699968	0.0748602409193733	-0.0656263653882519	0.149326931447246	0.297495665580057
TLR7	0.102100811264414	0.0757407725101273	-0.0394061996829624	0.124202686743544	0.288519290677
TMSB15B	0.211386609762373	0.183697649846588	0.0498539321681743	0.0197852815663515	0.0873894849581892
TMSB4X	0.13878905044416	0.12698252286667	0.0647939255612783	0.00156706624618223	0.00934435798649405
TRAPPC2	0.214660492294673	0.197549639989452	0.0988369029671315	0.00168249301698048	0.00965818241695212
TRMT2B	0.0347947351501526	0.0267872614988063	-0.030326332940359	0.186977760824832	0.338240668458404
UBA1	0.375485133945016	0.320298902181296	0.0736540303789075	0.0252050553598878	0.0966713381850107
USP9X	0.104482878066299	0.0942843924729963	0.00844671064207242	0.0388886885487835	0.125221577127083
UTP14A	0.0410002255215915	0.0402483429260632	-0.0289214005815614	0.115702297491347	0.286585690709336
VAMP7	0	-0.0272672208866232	-0.0943945622823708	0.821304169596892	0.853096589065159
VBP1	0.0343542535464458	0.0112352164335872	-0.0485011822121007	0.360127893544743	0.494499935093784
VMA21	0.0264303595607323	-0.0148094791461652	-0.0861724526363843	0.659468340395981	0.753009948962786
WDR44	0.0296793723980333	-0.00585415422722607	-0.0976386571903761	0.554895671348757	0.676804568842044
WWC3	0.0605858905796937	0.0281106674891098	-0.174696871231177	0.362428523857556	0.494499935093784
XIAP	0.0539225794530124	0.0504411321876154	-0.00101222538411576	0.0529418480538073	0.160823349748358
ZBED1	0.747181408570952	0.698366958986817	0.610872406253284	9.17926389607306e-09	1.47786148726776e-07
ZBTB33	0.0128458498023715	-0.00353892626813117	-0.0476684764278255	0.568823382409946	0.683437049014935
ZDHHC9	0.028778797764459	-0.00750112831467337	-0.0696584095530204	0.591234625436306	0.684811328742772
ZFX	0.549670571896042	0.510592922185891	0.451465863445938	2.11718098789612e-10	6.81732278102551e-09
ZMYM3	0.00455820476858337	-0.0177973912185028	-0.0480927283377959	0.86962180566247	0.882982922463098
ZNF275	0.0299903628091525	0.0163399589450878	-0.019786128868875	0.212363851301664	0.363729575101787
ZNF280C	0.0615731044017612	0.0531668712693803	-0.0438492885441874	0.143792842078794	0.297495665580057
ZNF41	0.0166885614346086	-0.0117373373744642	-0.0577303527826562	0.692341668156479	0.774076448424952
ZNF75D	0.0919161773528678	0.0638415752852397	-0.0988246813150209	0.224921265569978	0.37332292532749
ZRSR2	0.491792193503216	0.449638923892921	0.331615586638187	1.39705989637418e-05	0.000112463321658121
ZXDB	0.136860642527531	0.114813201703445	-0.101712527748047	0.130819305710689	0.288519290677
