Gene	gene_id	chr	start	stop	type	gene_name.84	gene_id.84	gene_type.84	gnomAD_transcript	exp_lof	oe_lof	LOEUF	homozygous_lof	Huang_pHI	RVIS	Gene_Avg_PCT
ABAT	ENSG00000183044	chr16	8674596	8784575	protein_coding	ABAT	ENSG00000183044	protein_coding	ENST00000396600	27.713	0.32476	0.567	FALSE	0.163825558	-0.419002354	0.114666666666667
ABCA1	ENSG00000165029	chr9	104781006	104928155	protein_coding	ABCA1	ENSG00000165029	protein_coding	ENST00000374736	116.52	0.37761	0.486	FALSE	0.668333708	-1.77786771	0.397216216216216
ABCA10	ENSG00000154263	chr17	69147214	69244846	protein_coding	ABCA10	ENSG00000154263	protein_coding	ENST00000269081	78.03	0.78175	0.968	FALSE	0.002179826	1.85483664	0.0054
ABCA12	ENSG00000144452	chr2	214931542	215138626	protein_coding	ABCA12	ENSG00000144452	protein_coding	ENST00000272895	132.53	0.37726	0.478	FALSE	0.403146751	-1.159328342	0.0685
ABCA13	ENSG00000179869	chr7	48171458	48647497	protein_coding	ABCA13	ENSG00000179869	protein_coding	ENST00000435803	199.93	0.91534	1.035	TRUE	0.04721773	6.328326062	0.00270588235294118
ABCA2	ENSG00000107331	chr9	137007234	137028922	protein_coding	ABCA2	ENSG00000107331	protein_coding	ENST00000341511	115.33	0.10405	0.169	FALSE	0.074227496	-1.466323591	0.323
ABCA3	ENSG00000167972	chr16	2275881	2340746	protein_coding	ABCA3	ENSG00000167972	protein_coding	ENST00000301732	71.995	0.36114	0.501	FALSE	0.043607901	-1.17937595	0.0252857142857143
ABCA4	ENSG00000198691	chr1	93992834	94121148	protein_coding	ABCA4	ENSG00000198691	protein_coding	ENST00000370225	116.59	0.76333	0.91	FALSE	0.440503373	2.462533784	0.094
ABCA5	ENSG00000154265	chr17	69244311	69327244	protein_coding	ABCA5	ENSG00000154265	protein_coding	ENST00000392676	82.206	0.66905	0.838	TRUE	0.269145961	0.796603937	0.0389666666666667
ABCA6	ENSG00000154262	chr17	69078702	69141895	protein_coding	ABCA6	ENSG00000154262	protein_coding	ENST00000284425	78.406	0.68873	0.864	TRUE	0.006278632	0.964399025	0.00994285714285714
ABCA7	ENSG00000064687	chr19	1039997	1065572	protein_coding	ABCA7	ENSG00000064687	protein_coding	ENST00000263094	100.53	0.89526	1.067	TRUE	0.007770288	2.482877717	NA
ABCA8	ENSG00000141338	chr17	68867289	68955392	protein_coding	ABCA8	ENSG00000141338	protein_coding	ENST00000269080	81.259	0.9845	1.186	TRUE	0.008754907	2.163493136	0
ABCA9	ENSG00000154258	chr17	68974488	69060949	protein_coding	ABCA9	ENSG00000154258	protein_coding	ENST00000340001	88.007	0.8863	1.07	TRUE	0.017284198	-0.190045811	0.00930769230769231
ABCB1	ENSG00000085563	chr7	87503017	87713323	protein_coding	ABCB1	ENSG00000085563	protein_coding	ENST00000265724	63.974	0.32826	0.473	FALSE	0.831468236	-0.493851312	0.048
ABCB10	ENSG00000135776	chr1	229516582	229558707	protein_coding	ABCB10	ENSG00000135776	protein_coding	ENST00000344517	25.928	0.6171	0.937	FALSE	0.028326577	-0.286542412	0.0752777777777778
ABCB11	ENSG00000073734	chr2	168915498	169031324	protein_coding	ABCB11	ENSG00000073734	protein_coding	ENST00000263817	65.551	0.47291	0.638	FALSE	0.25846736	-1.038729544	0.0524181818181818
ABCB4	ENSG00000005471	chr7	87401696	87480435	protein_coding	ABCB4	ENSG00000005471	protein_coding	ENST00000265723	66.403	0.36143	0.508	FALSE	0.238504845	-1.153073925	NA
ABCB5	ENSG00000004846	chr7	20615667	20777038	protein_coding	ABCB5	ENSG00000004846	protein_coding	ENST00000404938	65.992	0.90921	1.127	FALSE	0.12579132	3.233611953	0.0422857142857143
ABCB6	ENSG00000115657	chr2	219209772	219218994	protein_coding	ABCB6	ENSG00000115657	protein_coding	ENST00000265316	47.481	0.73714	0.977	FALSE	0.122432704	0.411516899	0.111
ABCB7	ENSG00000131269	chrX	75051048	75156732	protein_coding	ABCB7	ENSG00000131269	protein_coding	ENST00000253577	27.459	0	0.109	TRUE	0.341130772	0.881645798	0.2
ABCB8	ENSG00000197150	chr7	151028422	151047782	protein_coding	ABCB8	ENSG00000197150	protein_coding	ENST00000358849	34.46	0.78352	1.081	FALSE	0.062047001	0.148156983	0.0455
ABCB9	ENSG00000150967	chr12	122920951	122981649	protein_coding	ABCB9	ENSG00000150967	protein_coding	ENST00000542678	27.897	0.39431	0.653	FALSE	0.223814046	-1.148355368	0.357818181818182
ABCC1	ENSG00000103222	chr16	15949138	16143257	protein_coding	ABCC1	ENSG00000103222	protein_coding	ENST00000399410	76.106	0.27593	0.397	FALSE	0.091540799	-1.702238763	0.162095238095238
ABCC10	ENSG00000124574	chr6	43427366	43450427	protein_coding	ABCC10	ENSG00000124574	protein_coding	ENST00000372530	67.28	0.74317	0.941	TRUE	0.125839341	-0.502499605	0.0992
ABCC11	ENSG00000121270	chr16	48165773	48247568	protein_coding	ABCC11	ENSG00000121270	protein_coding	ENST00000394747	68.211	1.0116	1.236	TRUE	0.006558104	1.829228267	0.0127142857142857
ABCC12	ENSG00000140798	chr16	48081006	48156018	protein_coding	ABCC12	ENSG00000140798	protein_coding	ENST00000311303	68.743	1.0474	1.274	TRUE	0.070949421	1.479974622	NA
ABCC2	ENSG00000023839	chr10	99782640	99852594	protein_coding	ABCC2	ENSG00000023839	protein_coding	ENST00000370449	76.597	0.95304	1.158	TRUE	0.186653982	0.755858918	0.0316086956521739
ABCC3	ENSG00000108846	chr17	50634777	50692253	protein_coding	ABCC3	ENSG00000108846	protein_coding	ENST00000285238	73.086	0.71149	0.896	FALSE	0.044769991	-0.105853189	NA
ABCC4	ENSG00000125257	chr13	95019835	95301475	protein_coding	ABCC4	ENSG00000125257	protein_coding	ENST00000376887	73.271	0.35485	0.492	FALSE	0.142494523	-0.256892477	0.0251818181818182
ABCC5	ENSG00000114770	chr3	183919934	184017939	protein_coding	ABCC5	ENSG00000114770	protein_coding	ENST00000334444	75.085	0.26636	0.387	FALSE	0.264803016	-3.390774452	0.200625
ABCC6	ENSG00000091262	chr16	16149565	16223522	protein_coding	ABCC6	ENSG00000091262	protein_coding	ENST00000205557	72.492	0.82767	1.026	FALSE	0.022547171	0.081608721	0.0302307692307692
ABCC8	ENSG00000006071	chr11	17392498	17476894	protein_coding	ABCC8	ENSG00000006071	protein_coding	ENST00000389817	84.216	0.60559	0.765	FALSE	0.967482639	-2.30665036	NA
ABCC9	ENSG00000069431	chr12	21797389	21942543	protein_coding	ABCC9	ENSG00000069431	protein_coding	ENST00000261200	84.399	0.35546	0.482	FALSE	0.261420458	-2.220374857	0
ABCD1	ENSG00000101986	chrX	153724856	153744755	protein_coding	ABCD1	ENSG00000101986	protein_coding	ENST00000218104	19.909	0	0.15	FALSE	0.05959621	-0.473600005	0
ABCD2	ENSG00000173208	chr12	39550033	39619803	protein_coding	ABCD2	ENSG00000173208	protein_coding	ENST00000308666	30.488	0.45919	0.718	FALSE	0.178478666	-0.802017936	0.0626304347826087
ABCD3	ENSG00000117528	chr1	94418389	94518666	protein_coding	ABCD3	ENSG00000117528	protein_coding	ENST00000370214	50.337	0.27812	0.435	FALSE	0.51958761	-0.657525589	0.0622173913043478
ABCD4	ENSG00000119688	chr14	74285269	74303055	protein_coding	ABCD4	ENSG00000119688	protein_coding	ENST00000356924	38.899	0.6427	0.898	FALSE	0.201608796	0.506488046	0.0243333333333333
ABCE1	ENSG00000164163	chr4	145098288	145129524	protein_coding	ABCE1	ENSG00000164163	protein_coding	ENST00000296577	37.674	0.15926	0.314	FALSE	0.986178934	-0.719852073	0.1693
ABCF1	ENSG00000204574	chr6	30571393	30597179	protein_coding	ABCF1	ENSG00000204574	protein_coding	ENST00000326195	57.039	0.43829	0.612	FALSE	0.199313589	0.238600683	0.0469444444444444
ABCF2	ENSG00000033050	chr7	151211484	151227205	protein_coding	ABCF2	ENSG00000033050	protein_coding	ENST00000222388	38.098	0.28873	0.478	FALSE	0.445512851	-1.428921749	0.0136
ABCF2-H2BE1	ENSG00000285292	chr7	151207837	151227166	protein_coding	NA	ENSG00000285292	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
ABCF3	ENSG00000161204	chr3	184186023	184194012	protein_coding	ABCF3	ENSG00000161204	protein_coding	ENST00000429586	42.421	0.37717	0.573	FALSE	0.210006842	-0.402609791	0.0512884615384615
ABCG1	ENSG00000160179	chr21	42199689	42297244	protein_coding	ABCG1	ENSG00000160179	protein_coding	ENST00000361802	31.285	0.25572	0.461	FALSE	0.367260015	-1.353000782	0.03515
ABCG2	ENSG00000118777	chr4	88090150	88231628	protein_coding	ABCG2	ENSG00000118777	protein_coding	ENST00000237612	36.504	1.2054	1.549	TRUE	0.243518394	0.523045726	0.0175945945945946
ABCG4	ENSG00000172350	chr11	119149052	119162653	protein_coding	ABCG4	ENSG00000172350	protein_coding	ENST00000307417	28.199	0.53193	0.819	FALSE	0.426081578	-0.84419591	0.162703703703704
ABCG5	ENSG00000138075	chr2	43812472	43838865	protein_coding	ABCG5	ENSG00000138075	protein_coding	ENST00000260645	30.21	1.0262	1.385	FALSE	0.20182023	1.389254114	0.024125
ABCG8	ENSG00000143921	chr2	43831942	43882988	protein_coding	ABCG8	ENSG00000143921	protein_coding	ENST00000272286	29.801	1.0067	1.365	FALSE	0.174377842	0.766732554	0.0601860465116279
ABHD1	ENSG00000143994	chr2	27123789	27130812	protein_coding	ABHD1	ENSG00000143994	protein_coding	ENST00000316470	20.2	1.5346	1.913	FALSE	0.046523373	-0.096914759	NA
ABHD10	ENSG00000144827	chr3	111979010	111993368	protein_coding	ABHD10	ENSG00000144827	protein_coding	ENST00000273359	15.981	0.62574	1.061	FALSE	0.050813787	0.458541789	0.00578571428571428
ABHD11	ENSG00000106077	chr7	73736094	73738852	protein_coding	ABHD11	ENSG00000106077	protein_coding	ENST00000222800	12.58	0.47695	0.941	FALSE	0.015871051	-0.523500092	0.000125
ABHD12	ENSG00000100997	chr20	25294742	25390835	protein_coding	ABHD12	ENSG00000100997	protein_coding	ENST00000376542	25.476	0.47104	0.763	FALSE	0.092039068	0.11083384	0
ABHD12B	ENSG00000131969	chr14	50872053	50904970	protein_coding	ABHD12B	ENSG00000131969	protein_coding	ENST00000337334	19.055	1.1021	1.582	TRUE	0.032837943	0.95372282	0.0575
ABHD13	ENSG00000139826	chr13	108218392	108234243	protein_coding	ABHD13	ENSG00000139826	protein_coding	ENST00000375898	11.683	0.085594	0.406	FALSE	0.215947531	0.191437473	0.203410256410256
ABHD14A	ENSG00000248487	chr3	51971426	51981199	protein_coding	ABHD14A	ENSG00000248487	protein_coding	ENST00000273596	11.228	0.8016	1.395	FALSE	0.036596128	0.773145585	0.0693333333333333
ABHD14A-ACY1	ENSG00000114786	chr3	51974706	51989183	protein_coding	ABHD14A-ACY1	ENSG00000114786	protein_coding	ENST00000463937	26.586	0.71467	1.049	FALSE	0.089304013	NA	0.063
ABHD14B	ENSG00000114779	chr3	51968510	51983409	protein_coding	ABHD14B	ENSG00000114779	protein_coding	ENST00000483233	6.5799	0.91187	1.695	TRUE	0.111110398	0.464639391	0.019125
ABHD15	ENSG00000168792	chr17	29560547	29567037	protein_coding	ABHD15	ENSG00000168792	protein_coding	ENST00000307201	13.002	0.92294	1.489	TRUE	0.102676834	0.432139821	0.0360181818181818
ABHD16A	ENSG00000204427	chr6	31686955	31703356	protein_coding	ABHD16A	ENSG00000204427	protein_coding	ENST00000395952	40.95	0.21978	0.384	FALSE	0.218787308	-0.03818213	0
ABHD16B	ENSG00000183260	chr20	63861498	63862988	protein_coding	ABHD16B	ENSG00000183260	protein_coding	ENST00000369916	12.127	0.6597	1.19	FALSE	0.036737167	NA	0.01675
ABHD17A	ENSG00000129968	chr19	1876810	1885496	protein_coding	ABHD17A	ENSG00000129968	protein_coding	ENST00000250974	13.092	0.38191	0.803	FALSE	0.044405191	0.741597477	0.0681
ABHD17B	ENSG00000107362	chr9	71862452	71911193	protein_coding	ABHD17B	ENSG00000107362	protein_coding	ENST00000377041	11.924	0.2516	0.65	FALSE	0.550746209	-0.265295341	0.185368421052632
ABHD17C	ENSG00000136379	chr15	80679684	80755621	protein_coding	ABHD17C	ENSG00000136379	protein_coding	ENST00000258884	9.8929	0	0.302	FALSE	0.053788984	-0.276541818	0.55275
ABHD18	ENSG00000164074	chr4	127965306	128039953	protein_coding	ABHD18	ENSG00000164074	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
ABHD2	ENSG00000140526	chr15	89087459	89202355	protein_coding	ABHD2	ENSG00000140526	protein_coding	ENST00000352732	21.222	0.18848	0.431	FALSE	0.420280407	-0.461799565	0.174607843137255
ABHD3	ENSG00000158201	chr18	21650901	21704780	protein_coding	ABHD3	ENSG00000158201	protein_coding	ENST00000289119	20.58	0.77747	1.181	FALSE	0.175451093	-0.044896789	0.316333333333333
ABHD4	ENSG00000100439	chr14	22598237	22613215	protein_coding	ABHD4	ENSG00000100439	protein_coding	ENST00000428304	21.533	0.69662	1.073	FALSE	0.265560662	-0.70563634	0.101904761904762
ABHD5	ENSG00000011198	chr3	43690108	43734371	protein_coding	ABHD5	ENSG00000011198	protein_coding	ENST00000458276	21.051	0.61754	0.982	FALSE	0.204529043	0.173315151	0.13019512195122
ABHD6	ENSG00000163686	chr3	58237532	58295693	protein_coding	ABHD6	ENSG00000163686	protein_coding	ENST00000478253	17.243	0.57994	0.984	FALSE	0.317864561	-0.605507774	0.166636363636364
ABHD8	ENSG00000127220	chr19	17292131	17310236	protein_coding	ABHD8	ENSG00000127220	protein_coding	ENST00000247706	15.28	0.065445	0.31	FALSE	0.012085184	-0.524281463	0.145428571428571
ABI1	ENSG00000136754	chr10	26746593	26861087	protein_coding	ABI1	ENSG00000136754	protein_coding	ENST00000376142	25.126	0.199	0.418	FALSE	0.696516769	-0.506942411	0.177166666666667
ABI2	ENSG00000138443	chr2	203328280	203447728	protein_coding	ABI2	ENSG00000138443	protein_coding	ENST00000261017	22.858	0.21875	0.46	FALSE	0.669945981	-0.609256794	0.236868421052632
ABI3	ENSG00000108798	chr17	49210411	49223225	protein_coding	ABI3	ENSG00000108798	protein_coding	ENST00000225941	15.099	0.59607	1.04	FALSE	0.032000436	0.280938652	0.0482857142857143
ABI3BP	ENSG00000154175	chr3	100749156	100993515	protein_coding	ABI3BP	ENSG00000154175	protein_coding	ENST00000284322	62.551	0.39968	0.558	TRUE	0.072954425	0.917316499	0.07
ABITRAM	ENSG00000119328	chr9	108934400	108950744	protein_coding	FAM206A	ENSG00000119328	protein_coding	ENST00000322940	10.651	0.84502	1.466	FALSE	NA	0.30812351	0.0358
ABL1	ENSG00000097007	chr9	130713016	130887675	protein_coding	ABL1	ENSG00000097007	protein_coding	ENST00000372348	44.108	0.068016	0.176	FALSE	0.915754224	-1.421792987	0.0732
ABL2	ENSG00000143322	chr1	179099330	179229684	protein_coding	ABL2	ENSG00000143322	protein_coding	ENST00000502732	50.093	0.39926	0.58	FALSE	0.343693287	-1.634727362	0.2973125
ABLIM1	ENSG00000099204	chr10	114431113	114768061	protein_coding	ABLIM1	ENSG00000099204	protein_coding	ENST00000277895	48.155	0.1869	0.326	FALSE	0.44358146	0.203922594	0.0777435897435897
ABLIM2	ENSG00000163995	chr4	7965310	8158832	protein_coding	ABLIM2	ENSG00000163995	protein_coding	ENST00000447017	44.487	0.29222	0.465	FALSE	0.046835245	-0.030065532	0.0637692307692308
ABLIM3	ENSG00000173210	chr5	149141483	149260542	protein_coding	ABLIM3	ENSG00000173210	protein_coding	ENST00000506113	51.213	0.41006	0.59	FALSE	0.394992795	0.328103527	0.1393
ABO	ENSG00000175164	chr9	133233278	133276024	protein_coding	ABO	ENSG00000175164	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
ABR	ENSG00000159842	chr17	1003519	1229738	protein_coding	ABR	ENSG00000159842	protein_coding	ENST00000302538	47.037	0.2126	0.361	FALSE	0.634601907	-1.213025186	0.122769230769231
ABRA	ENSG00000174429	chr8	106759483	106770244	protein_coding	ABRA	ENSG00000174429	protein_coding	ENST00000311955	14.476	0.69079	1.172	FALSE	0.085117815	-0.438526381	0.0545714285714286
ABRACL	ENSG00000146386	chr6	139028745	139043302	protein_coding	ABRACL	ENSG00000146386	protein_coding	ENST00000367660	3.3022	0.30283	1.371	FALSE	0.031422661	-0.077850789	0.0404888888888889
ABRAXAS1	ENSG00000163322	chr4	83459517	83523348	protein_coding	FAM175A	ENSG00000163322	protein_coding	ENST00000321945	20.516	0.63365	1.007	FALSE	NA	-0.061454143	0.04
ABRAXAS2	ENSG00000165660	chr10	124801819	124836667	protein_coding	FAM175B	ENSG00000165660	protein_coding	ENST00000298492	22.035	0.31768	0.597	FALSE	NA	-0.267639601	0.191057142857143
ABT1	ENSG00000146109	chr6	26596953	26600739	protein_coding	ABT1	ENSG00000146109	protein_coding	ENST00000274849	9.0166	0.44362	1.015	FALSE	0.032342215	-0.646902421	0.00106666666666667
ABTB1	ENSG00000114626	chr3	127672935	127680926	protein_coding	ABTB1	ENSG00000114626	protein_coding	ENST00000232744	25.713	0.46669	0.756	TRUE	0.075523365	0.228137296	0.262285714285714
ABTB2	ENSG00000166016	chr11	34150987	34358010	protein_coding	ABTB2	ENSG00000166016	protein_coding	ENST00000435224	44.531	0.29193	0.464	FALSE	0.266367943	-0.754077788	0.1085
ACAA1	ENSG00000060971	chr3	38103129	38137242	protein_coding	ACAA1	ENSG00000060971	protein_coding	ENST00000333167	21.737	0.73608	1.118	FALSE	0.152807913	0.148479047	5e-04
ACAA2	ENSG00000167315	chr18	49782164	49813953	protein_coding	ACAA2	ENSG00000167315	protein_coding	ENST00000285093	18.602	0.86011	1.306	FALSE	0.069775527	-0.197661471	0.0297647058823529
ACACA	ENSG00000278540	chr17	37084992	37406836	protein_coding	ACACA	ENSG00000278540	protein_coding	ENST00000353139	134.47	0.14874	0.216	FALSE	0.94269074	-3.289989781	0.0385172413793103
ACACB	ENSG00000076555	chr12	109116595	109268226	protein_coding	ACACB	ENSG00000076555	protein_coding	ENST00000338432	127.71	0.7204	0.857	TRUE	0.108212697	-2.388851385	0.0597916666666667
ACAD10	ENSG00000111271	chr12	111686053	111757107	protein_coding	ACAD10	ENSG00000111271	protein_coding	ENST00000455480	59.356	0.85923	1.085	TRUE	0.026374196	0.34216499	0.0289166666666667
ACAD11	ENSG00000240303	chr3	132558138	132660082	protein_coding	ACAD11	ENSG00000240303	protein_coding	ENST00000264990	46.097	0.65081	0.883	TRUE	0.064924098	0.188146798	0.003
ACAD8	ENSG00000151498	chr11	134253548	134265855	protein_coding	ACAD8	ENSG00000151498	protein_coding	ENST00000281182	24.728	0.88967	1.27	FALSE	0.093005193	-0.441493293	0.00569230769230769
ACAD9	ENSG00000177646	chr3	128879596	128924003	protein_coding	ACAD9	ENSG00000177646	protein_coding	ENST00000308982	31.321	0.54276	0.814	FALSE	0.037542625	-0.430411257	0.019
ACADL	ENSG00000115361	chr2	210187126	210225447	protein_coding	ACADL	ENSG00000115361	protein_coding	ENST00000233710	26.025	0.80692	1.162	FALSE	0.141427915	0.23126618	0.00931578947368421
ACADM	ENSG00000117054	chr1	75724431	75787575	protein_coding	ACADM	ENSG00000117054	protein_coding	ENST00000420607	26.231	0.80057	1.153	FALSE	0.275510572	-0.074263129	0.058
ACADS	ENSG00000122971	chr12	120725774	120740008	protein_coding	ACADS	ENSG00000122971	protein_coding	ENST00000242592	20.474	0.58611	0.95	FALSE	0.070436549	-0.154083398	0.0028
ACADSB	ENSG00000196177	chr10	123008979	123058290	protein_coding	ACADSB	ENSG00000196177	protein_coding	ENST00000358776	23.791	0.79863	1.172	FALSE	0.041043879	0.296713648	0.0551730769230769
ACADVL	ENSG00000072778	chr17	7217125	7225266	protein_coding	ACADVL	ENSG00000072778	protein_coding	ENST00000543245	35.471	0.76119	1.05	FALSE	0.231050725	-0.693771897	0
ACAN	ENSG00000157766	chr15	88803436	88875353	protein_coding	ACAN	ENSG00000157766	protein_coding	ENST00000439576	71.734	0.097582	0.183	FALSE	0.017538305	2.885702808	0.0231666666666667
ACAP1	ENSG00000072818	chr17	7336529	7351477	protein_coding	ACAP1	ENSG00000072818	protein_coding	ENST00000158762	43.038	0.25559	0.423	FALSE	0.086299912	0.112235857	NA
ACAP2	ENSG00000114331	chr3	195274745	195443044	protein_coding	ACAP2	ENSG00000114331	protein_coding	ENST00000326793	52.295	0.19122	0.324	FALSE	0.547774722	-0.603321593	0.159038461538462
ACAP3	ENSG00000131584	chr1	1292390	1309609	protein_coding	ACAP3	ENSG00000131584	protein_coding	ENST00000354700	43.539	0.39045	0.586	FALSE	0.021694685	-0.749376982	0.183923076923077
ACAT1	ENSG00000075239	chr11	108116695	108147603	protein_coding	ACAT1	ENSG00000075239	protein_coding	ENST00000265838	20.831	0.67207	1.051	FALSE	0.138678583	-0.816232116	0.0108
ACAT2	ENSG00000120437	chr6	159762045	159779112	protein_coding	ACAT2	ENSG00000120437	protein_coding	ENST00000367048	17.004	0.7057	1.143	FALSE	0.090493467	-0.395569285	0.0425
ACBD3	ENSG00000182827	chr1	226144679	226186741	protein_coding	ACBD3	ENSG00000182827	protein_coding	ENST00000366812	29.12	0.30907	0.539	FALSE	0.308663424	0.174097518	0.102933333333333
ACBD4	ENSG00000181513	chr17	45132600	45144181	protein_coding	ACBD4	ENSG00000181513	protein_coding	ENST00000431281	22.311	0.58267	0.926	FALSE	0.054594192	0.828749056	0.00866666666666667
ACBD5	ENSG00000107897	chr10	27168135	27243046	protein_coding	ACBD5	ENSG00000107897	protein_coding	ENST00000396271	32.047	0.31204	0.529	FALSE	0.116795914	-0.026155161	0.226391304347826
ACBD6	ENSG00000230124	chr1	180269653	180502954	protein_coding	ACBD6	ENSG00000230124	protein_coding	ENST00000367595	16.121	0.68236	1.129	FALSE	0.36803832	-0.357142893	NA
