Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	x_class	Balaton.consensus.calls	Cotton_AR	Tuk_Skew_AR	Tuk_SC_AR	garieri_AR	sauteraud_AR	mean_AR_public
ARHGAP36	ENSG00000147256	protein_coding	chrX	131058346	131089885	ARHGAP36	ENSG00000147256	protein_coding	Single-copy	No call	0.08	NA	NA	NA	NA	0.08
ARHGAP4	ENSG00000089820	protein_coding	chrX	153907367	153934999	ARHGAP4	ENSG00000089820	protein_coding	Single-copy	Discordant	0.09	0	NA	NA	0.040702327	0.0435674423333333
ARHGAP6	ENSG00000047648	protein_coding	chrX	11117651	11665920	ARHGAP6	ENSG00000047648	protein_coding	Single-copy	Mostly S	0.04	0	NA	0	0.007871103	0.01196777575
ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ARHGEF6	ENSG00000129675	protein_coding	Single-copy	S	0.03	NA	NA	NA	0.007075117	0.0185375585
ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ARHGEF9	ENSG00000131089	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
ARL13A	ENSG00000174225	protein_coding	chrX	100969708	100990831	ARL13A	ENSG00000174225	protein_coding	Single-copy	S	0.02	NA	NA	NA	NA	0.02
ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ARMCX1	ENSG00000126947	protein_coding	Multicopy	S	NA	NA	NA	0.0028149014283092	NA	0.0028149014283092
ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ARMCX2	ENSG00000184867	protein_coding	Multicopy	S	NA	NA	0	NA	0.044296506	0.022148253
ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ARMCX3	ENSG00000102401	protein_coding	Multicopy	S	NA	NA	NA	NA	0.024888112	0.024888112
ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ARMCX4	ENSG00000196440	protein_coding	Single-copy	Mostly S	0.06	NA	NA	NA	NA	0.06
ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ARMCX5	ENSG00000125962	protein_coding	Single-copy	S	NA	NA	NA	NA	0.012585989	0.012585989
ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ARMCX6	ENSG00000198960	protein_coding	Single-copy	S	NA	NA	NA	NA	0.046523673	0.046523673
ARR3	ENSG00000120500	protein_coding	chrX	70268305	70281840	ARR3	ENSG00000120500	protein_coding	Single-copy	S	0.06	NA	NA	NA	NA	0.06
ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ARSD	ENSG00000006756	protein_coding	Multicopy	Mostly E	0.29	NA	NA	NA	NA	0.29
ARSF	ENSG00000062096	protein_coding	chrX	3041471	3112727	ARSF	ENSG00000062096	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
ARSH	ENSG00000205667	protein_coding	chrX	3006546	3034111	ARSH	ENSG00000205667	protein_coding	Multicopy	E	0.54	NA	NA	NA	NA	0.54
ARSL	ENSG00000157399	protein_coding	chrX	2934045	2968475	ARSE	ENSG00000157399	protein_coding	Multicopy	Mostly VE	NA	NA	NA	NA	NA	NA
ARX	ENSG00000004848	protein_coding	chrX	25003694	25016420	ARX	ENSG00000004848	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ASB11	ENSG00000165192	protein_coding	chrX	15281697	15315640	ASB11	ENSG00000165192	protein_coding	Single-copy	VE	0.22	NA	NA	NA	NA	0.22
ASB12	ENSG00000198881	protein_coding	chrX	64224194	64230607	ASB12	ENSG00000198881	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
ASB9	ENSG00000102048	protein_coding	chrX	15235288	15270467	ASB9	ENSG00000102048	protein_coding	Single-copy	S	0.11	NA	NA	NA	NA	0.11
ASMT	ENSG00000196433	protein_coding	chrX	1615059	1643081	ASMT	ENSG00000196433	protein_coding	PAR	PAR	0.59	NA	NA	NA	NA	0.59
ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ASMTL	ENSG00000169093	protein_coding	PAR	PAR	0.65	0.854838709677419	0.722494020439226	0.569884149748666	0.681059613	0.695655298573062
ATG4A	ENSG00000101844	protein_coding	chrX	108091668	108154671	ATG4A	ENSG00000101844	protein_coding	Single-copy	Mostly S	0.04	NA	NA	NA	0.00583802	0.02291901
ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ATP11C	ENSG00000101974	protein_coding	Single-copy	S	0.02	NA	NA	NA	0.016354989	0.0181774945
ATP1B4	ENSG00000101892	protein_coding	chrX	120362085	120383249	ATP1B4	ENSG00000101892	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ATP2B3	ENSG00000067842	protein_coding	chrX	153517642	153582939	ATP2B3	ENSG00000067842	protein_coding	Single-copy	Discordant	0.28	NA	NA	NA	NA	0.28
ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ATP6AP1	ENSG00000071553	protein_coding	Single-copy	S	0.05	0.0186335403726708	0.002	NA	0.017556763	0.0220475758431677
ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ATP6AP2	ENSG00000182220	protein_coding	Single-copy	Mostly S	0.03	0.00823045267489712	0.0230264890830113	0.00262386665904679	0.004541135	0.013684388683391
ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ATP7A	ENSG00000165240	protein_coding	Single-copy	Mostly S	NA	NA	NA	NA	0.060640983	0.060640983
ATRX	ENSG00000085224	protein_coding	chrX	77504880	77786233	ATRX	ENSG00000085224	protein_coding	Single-copy	S	NA	0	NA	NA	0.019815116	0.009907558
ATXN3L	ENSG00000123594	protein_coding	chrX	13318647	13320053	ATXN3L	ENSG00000123594	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
AVPR2	ENSG00000126895	protein_coding	chrX	153902531	153907166	AVPR2	ENSG00000126895	protein_coding	Single-copy	Discordant	0.03	NA	NA	NA	NA	0.03
AWAT1	ENSG00000204195	protein_coding	chrX	70234655	70240659	AWAT1	ENSG00000204195	protein_coding	Multicopy	S	0.02	NA	NA	NA	NA	0.02
AWAT2	ENSG00000147160	protein_coding	chrX	70040542	70049938	AWAT2	ENSG00000147160	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
BCAP31	ENSG00000185825	protein_coding	chrX	153700492	153724565	BCAP31	ENSG00000185825	protein_coding	Single-copy	Mostly S	0.02	NA	NA	NA	0.003599196	0.011799598
BCLAF3	ENSG00000173681	protein_coding	chrX	19912860	19970298	CXorf23	ENSG00000173681	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	BCOR	ENSG00000183337	protein_coding	Single-copy	Mostly S	0.01	NA	NA	NA	0.010698807	0.0103494035
BCORL1	ENSG00000085185	protein_coding	chrX	129981107	130058071	BCORL1	ENSG00000085185	protein_coding	Single-copy	S	0.02	0	NA	NA	NA	0.01
BEND2	ENSG00000177324	protein_coding	chrX	18162931	18220886	BEND2	ENSG00000177324	protein_coding	Single-copy	VE	0.34	NA	NA	NA	NA	0.34
BEX1	ENSG00000133169	protein_coding	chrX	103062651	103064171	BEX1	ENSG00000133169	protein_coding	Multicopy	S	NA	NA	NA	NA	NA	NA
BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	BEX2	ENSG00000133134	protein_coding	Multicopy	S	NA	0	NA	NA	0	0
BEX3	ENSG00000166681	protein_coding	chrX	103376395	103378164	NGFRAP1	ENSG00000166681	protein_coding	Multicopy	S	NA	NA	NA	NA	NA	NA
BEX4	ENSG00000102409	protein_coding	chrX	103215108	103217246	BEX4	ENSG00000102409	protein_coding	Single-copy	S	NA	0	NA	NA	0.010466079	0.0052330395
BEX5	ENSG00000184515	protein_coding	chrX	102153708	102155977	BEX5	ENSG00000184515	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
BGN	ENSG00000182492	protein_coding	chrX	153494980	153509546	BGN	ENSG00000182492	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
BHLHB9	ENSG00000198908	protein_coding	chrX	102720688	102753540	BHLHB9	ENSG00000198908	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
BMP15	ENSG00000130385	protein_coding	chrX	50910735	50916641	BMP15	ENSG00000130385	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
BMX	ENSG00000102010	protein_coding	chrX	15464246	15556529	BMX	ENSG00000102010	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
BRCC3	ENSG00000185515	protein_coding	chrX	155071420	155123077	BRCC3	ENSG00000185515	protein_coding	Single-copy	Mostly S	0.04	0	NA	NA	0.008717177	0.016239059
BRS3	ENSG00000102239	protein_coding	chrX	136487947	136493780	BRS3	ENSG00000102239	protein_coding	Single-copy	VE	NA	NA	NA	NA	NA	NA
BRWD3	ENSG00000165288	protein_coding	chrX	80669503	80809877	BRWD3	ENSG00000165288	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.021221299	0.0156106495
BTK	ENSG00000010671	protein_coding	chrX	101349447	101390796	BTK	ENSG00000010671	protein_coding	Single-copy	S	0.02	0	0.00390625	NA	0.028748749	0.01316374975
C1GALT1C1	ENSG00000171155	protein_coding	chrX	120625674	120630054	C1GALT1C1	ENSG00000171155	protein_coding	Single-copy	S	NA	NA	NA	0.00394046633034661	0.021450596	0.0126955311651733
CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	CA5B	ENSG00000169239	protein_coding	Single-copy	Mostly E	0.34	0.0909090909090909	NA	NA	NA	0.215454545454545
CACNA1F	ENSG00000102001	protein_coding	chrX	49205063	49233371	CACNA1F	ENSG00000102001	protein_coding	Single-copy	S	0.05	NA	NA	NA	NA	0.05
CAPN6	ENSG00000077274	protein_coding	chrX	111245099	111270483	CAPN6	ENSG00000077274	protein_coding	Single-copy	S	0.01	NA	NA	NA	NA	0.01
CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	CASK	ENSG00000147044	protein_coding	Single-copy	S	0.03	NA	NA	0.00258968916711866	0.00704005	0.0132099130557062
CBLL2	ENSG00000175809	protein_coding	chrX	22272913	22274461	ZNF645	ENSG00000175809	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
CCDC120	ENSG00000147144	protein_coding	chrX	49053572	49069857	CCDC120	ENSG00000147144	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
CCDC160	ENSG00000203952	protein_coding	chrX	134237047	134246207	CCDC160	ENSG00000203952	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
CCDC22	ENSG00000101997	protein_coding	chrX	49235470	49250520	CCDC22	ENSG00000101997	protein_coding	Single-copy	S	0.03	NA	NA	NA	0.015487744	0.022743872
CCNB3	ENSG00000147082	protein_coding	chrX	50202713	50351914	CCNB3	ENSG00000147082	protein_coding	Single-copy	Mostly S	0.17	NA	NA	NA	NA	0.17
CCNQ	ENSG00000262919	protein_coding	chrX	153587925	153600045	FAM58A	ENSG00000262919	protein_coding	Single-copy	S	NA	NA	NA	NA	0.029438097	0.029438097
CD40LG	ENSG00000102245	protein_coding	chrX	136648158	136660390	CD40LG	ENSG00000102245	protein_coding	Single-copy	VE	0.11	NA	NA	NA	NA	0.11
CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	CD99	ENSG00000002586	protein_coding	PAR	PAR	0.62	NA	0.606481481481481	0.789180823559933	NA	0.671887435013805
CD99L2	ENSG00000102181	protein_coding	chrX	150766336	150898816	CD99L2	ENSG00000102181	protein_coding	Single-copy	S	0.01	NA	NA	0.00445037561977601	0.02857539	0.0143419218732587
CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	CDK16	ENSG00000102225	protein_coding	Single-copy	Mostly E	0.24	NA	NA	NA	0.1907108	0.2153554
CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	CDKL5	ENSG00000008086	protein_coding	Single-copy	Mostly S	0.14	NA	NA	0	NA	0.07
CDR1	ENSG00000288642	protein_coding	chrX	140783578	140784366	CDR1	ENSG00000184258	protein_coding	Single-copy	S	0.15	NA	NA	NA	NA	0.15
CDX4	ENSG00000131264	protein_coding	chrX	73447053	73455171	CDX4	ENSG00000131264	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CENPI	ENSG00000102384	protein_coding	chrX	101098188	101166126	CENPI	ENSG00000102384	protein_coding	Single-copy	S	0.01	0	0	0.00185384811493661	0.010866884	0.00454414642298732
CENPVL1	ENSG00000223591	protein_coding	chrX	51710512	51712131	CENPVP1	ENSG00000223591	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CENPVL2	ENSG00000283093	protein_coding	chrX	51681212	51682831	RP11-141O19.1	ENSG00000283093	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CENPVL3	ENSG00000224109	protein_coding	chrX	51617020	51618912	CENPVP3	ENSG00000224109	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
CETN2	ENSG00000147400	protein_coding	chrX	152826994	152830757	CETN2	ENSG00000147400	protein_coding	Single-copy	S	NA	NA	NA	NA	0.015140925	0.015140925
CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CFP	ENSG00000126759	protein_coding	chrX	47623172	47630305	CFP	ENSG00000126759	protein_coding	Single-copy	S	0.04	NA	NA	NA	0.019099016	0.029549508
CHIC1	ENSG00000204116	protein_coding	chrX	73563200	73687102	CHIC1	ENSG00000204116	protein_coding	Single-copy	S	0.01	NA	NA	NA	0	0.005
CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	CHM	ENSG00000188419	protein_coding	Single-copy	Discordant	0.11	NA	NA	0.00445980151874315	0.310376756	0.141612185839581
CHRDL1	ENSG00000101938	protein_coding	chrX	110673856	110795819	CHRDL1	ENSG00000101938	protein_coding	Single-copy	S	0.09	NA	NA	NA	NA	0.09
CHST7	ENSG00000147119	protein_coding	chrX	46573765	46598496	CHST7	ENSG00000147119	protein_coding	Single-copy	S	0.02	NA	NA	0.00271334230427533	0.000747479	0.00782027376809178
CITED1	ENSG00000125931	protein_coding	chrX	72301638	72307187	CITED1	ENSG00000125931	protein_coding	Single-copy	Discordant	NA	NA	NA	NA	NA	NA
CLCN4	ENSG00000073464	protein_coding	chrX	10156975	10237660	CLCN4	ENSG00000073464	protein_coding	Single-copy	Mostly S	0.09	NA	NA	0	NA	0.045
CLCN5	ENSG00000171365	protein_coding	chrX	49922596	50099235	CLCN5	ENSG00000171365	protein_coding	Single-copy	S	0.03	NA	NA	NA	NA	0.03
CLDN2	ENSG00000165376	protein_coding	chrX	106900164	106930861	CLDN2	ENSG00000165376	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
CLDN34	ENSG00000234469	protein_coding	chrX	9967358	9968352	CLDN34	ENSG00000234469	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CLIC2	ENSG00000155962	protein_coding	chrX	155276211	155334657	CLIC2	ENSG00000155962	protein_coding	Single-copy	Mostly S	0.09	0	NA	NA	0.047057469	0.045685823
CLTRN	ENSG00000147003	protein_coding	chrX	15627318	15675012	TMEM27	ENSG00000147003	protein_coding	Single-copy	Discordant	NA	NA	NA	NA	NA	NA
CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	CMC4	ENSG00000182712	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CNGA2	ENSG00000183862	protein_coding	chrX	151738451	151745304	CNGA2	ENSG00000183862	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CNKSR2	ENSG00000149970	protein_coding	chrX	21372801	21654695	CNKSR2	ENSG00000149970	protein_coding	Single-copy	Mostly S	0.08	NA	NA	NA	NA	0.08
COL4A5	ENSG00000188153	protein_coding	chrX	108439838	108697545	COL4A5	ENSG00000188153	protein_coding	Multicopy	S	0.11	NA	NA	NA	NA	0.11
COL4A6	ENSG00000197565	protein_coding	chrX	108155607	108439497	COL4A6	ENSG00000197565	protein_coding	Multicopy	Mostly VE	0.25	NA	NA	NA	NA	0.25
COX7B	ENSG00000131174	protein_coding	chrX	77899440	77907376	COX7B	ENSG00000131174	protein_coding	Single-copy	VE	NA	NA	NA	NA	0.018814548	0.018814548
CPXCR1	ENSG00000147183	protein_coding	chrX	88747225	88754785	CPXCR1	ENSG00000147183	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CRLF2	ENSG00000205755	protein_coding	chrX	1187549	1212723	CRLF2	ENSG00000205755	protein_coding	PAR	PAR	NA	NA	NA	NA	NA	NA
CSAG1	ENSG00000198930	protein_coding	chrX	152727484	152733735	CSAG1	ENSG00000198930	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CSAG2	ENSG00000268902	protein_coding	chrX	152708261	152714549	CSAG2	ENSG00000268902	transcribed_unprocessed_pseudogene	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CSAG3	ENSG00000268916	protein_coding	chrX	152753921	152760222	CSAG3	ENSG00000268916	transcribed_processed_pseudogene	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CSF2RA	ENSG00000198223	protein_coding	chrX	1268800	1310381	CSF2RA	ENSG00000198223	protein_coding	PAR	PAR	NA	NA	NA	NA	NA	NA
CSTF2	ENSG00000101811	protein_coding	chrX	100820359	100841520	CSTF2	ENSG00000101811	protein_coding	Single-copy	S	0.01	NA	NA	NA	4.39282e-05	0.0050219641
CT45A1	ENSG00000268940	protein_coding	chrX	135713639	135723539	CT45A1	ENSG00000268940	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A10	ENSG00000269586	protein_coding	chrX	135881063	135893444	CT45A10	ENSG00000269586	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
CT45A2	ENSG00000271449	protein_coding	chrX	135811668	135820012	CT45A2	ENSG00000271449	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A3	ENSG00000269096	protein_coding	chrX	135759846	135768191	CT45A3	ENSG00000269096	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A3	ENSG00000269096	protein_coding	chrX	135759846	135768191	CT45A3	ENSG00000269096	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A5	ENSG00000228836	protein_coding	chrX	135777130	135785298	CT45A5	ENSG00000228836	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A6	ENSG00000278289	protein_coding	chrX	135794685	135802787	CT45A6	ENSG00000278289	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT45A7	ENSG00000273696	protein_coding	chrX	135829247	135837268	CT45A7	ENSG00000273696	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
CT45A8	ENSG00000278085	protein_coding	chrX	135846497	135854538	CT45A8	ENSG00000278085	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
CT45A9	ENSG00000270946	protein_coding	chrX	135863418	135871812	CT45A9	ENSG00000270946	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
CT47A1	ENSG00000236371	protein_coding	chrX	120982476	120985760	CT47A1	ENSG00000236371	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT47A10	ENSG00000224089	protein_coding	chrX	120938701	120942023	CT47A10	ENSG00000224089	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A11	ENSG00000226929	protein_coding	chrX	120933840	120937158	CT47A11	ENSG00000226929	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT47A12	ENSG00000226685	protein_coding	chrX	120930250	120932301	CT47A12	ENSG00000226685	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A2	ENSG00000242362	protein_coding	chrX	120977606	120980928	CT47A2	ENSG00000242362	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A3	ENSG00000236126	protein_coding	chrX	120972746	120976068	CT47A3	ENSG00000236126	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A4	ENSG00000230594	protein_coding	chrX	120967886	120971208	CT47A4	ENSG00000230594	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A5	ENSG00000237957	protein_coding	chrX	120963026	120966348	CT47A5	ENSG00000237957	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A6	ENSG00000226023	protein_coding	chrX	120958165	120961487	CT47A6	ENSG00000226023	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT47A7	ENSG00000228517	protein_coding	chrX	120953282	120956600	CT47A7	ENSG00000228517	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT47A8	ENSG00000230347	protein_coding	chrX	120948422	120951744	CT47A8	ENSG00000230347	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47A9	ENSG00000226600	protein_coding	chrX	120943561	120946883	CT47A9	ENSG00000226600	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CT47B1	ENSG00000236446	protein_coding	chrX	120872603	120875929	CT47B1	ENSG00000236446	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CT55	ENSG00000169551	protein_coding	chrX	135156540	135171398	CT55	ENSG00000169551	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CT83	ENSG00000204019	protein_coding	chrX	116461686	116462976	CT83	ENSG00000204019	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CTAG1A	ENSG00000268651	protein_coding	chrX	154585133	154586816	CTAG1A	ENSG00000268651	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CTAG1B	ENSG00000184033	protein_coding	chrX	154617609	154619282	CTAG1B	ENSG00000184033	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CTAG2	ENSG00000126890	protein_coding	chrX	154651972	154653579	CTAG2	ENSG00000126890	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
CTPS2	ENSG00000047230	protein_coding	chrX	16587999	16712936	CTPS2	ENSG00000047230	protein_coding	Single-copy	Mostly E	0.06	NA	NA	NA	0.022336485	0.0411682425
