Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Human_NPY
AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	AMMECR1	ENSG00000101935	protein_coding	FALSE
AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	AMOT	ENSG00000126016	protein_coding	FALSE
ANOS1	ENSG00000011201	protein_coding	chrX	8528874	8732137	ANOS1	ENSG00000011201	protein_coding	FALSE
AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	AP1S2	ENSG00000182287	protein_coding	FALSE
APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	APEX2	ENSG00000169188	protein_coding	FALSE
APLN	ENSG00000171388	protein_coding	chrX	129645259	129654956	APLN	ENSG00000171388	protein_coding	FALSE
APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	APOO	ENSG00000184831	protein_coding	FALSE
APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	APOOL	ENSG00000155008	protein_coding	FALSE
AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	AR	ENSG00000169083	protein_coding	FALSE
ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ARAF	ENSG00000078061	protein_coding	FALSE
ARHGAP36	ENSG00000147256	protein_coding	chrX	131058346	131089885	ARHGAP36	ENSG00000147256	protein_coding	FALSE
ARHGAP4	ENSG00000089820	protein_coding	chrX	153907367	153934999	ARHGAP4	ENSG00000089820	protein_coding	FALSE
ARHGAP6	ENSG00000047648	protein_coding	chrX	11117651	11665920	ARHGAP6	ENSG00000047648	protein_coding	FALSE
ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ARHGEF6	ENSG00000129675	protein_coding	FALSE
ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ARHGEF9	ENSG00000131089	protein_coding	FALSE
ARL13A	ENSG00000174225	protein_coding	chrX	100969708	100990831	ARL13A	ENSG00000174225	protein_coding	FALSE
ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ARMCX1	ENSG00000126947	protein_coding	FALSE
ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ARMCX2	ENSG00000184867	protein_coding	FALSE
ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ARMCX3	ENSG00000102401	protein_coding	FALSE
ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ARMCX4	ENSG00000196440	protein_coding	FALSE
ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ARMCX5	ENSG00000125962	protein_coding	FALSE
ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ARMCX6	ENSG00000198960	protein_coding	FALSE
ARR3	ENSG00000120500	protein_coding	chrX	70268305	70281840	ARR3	ENSG00000120500	protein_coding	FALSE
ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ARSD	ENSG00000006756	protein_coding	FALSE
ARSF	ENSG00000062096	protein_coding	chrX	3041471	3112727	ARSF	ENSG00000062096	protein_coding	FALSE
ARSH	ENSG00000205667	protein_coding	chrX	3006546	3034111	ARSH	ENSG00000205667	protein_coding	FALSE
ARSL	ENSG00000157399	protein_coding	chrX	2934045	2968475	ARSE	ENSG00000157399	protein_coding	FALSE
ARX	ENSG00000004848	protein_coding	chrX	25003694	25016420	ARX	ENSG00000004848	protein_coding	FALSE
ASB11	ENSG00000165192	protein_coding	chrX	15281697	15315640	ASB11	ENSG00000165192	protein_coding	FALSE
ASB12	ENSG00000198881	protein_coding	chrX	64224194	64230607	ASB12	ENSG00000198881	protein_coding	FALSE
ASB9	ENSG00000102048	protein_coding	chrX	15235288	15270467	ASB9	ENSG00000102048	protein_coding	FALSE
ASMT	ENSG00000196433	protein_coding	chrX	1615059	1643081	ASMT	ENSG00000196433	protein_coding	FALSE
ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ASMTL	ENSG00000169093	protein_coding	FALSE
ATG4A	ENSG00000101844	protein_coding	chrX	108091668	108154671	ATG4A	ENSG00000101844	protein_coding	FALSE
ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ATP11C	ENSG00000101974	protein_coding	FALSE
ATP1B4	ENSG00000101892	protein_coding	chrX	120362085	120383249	ATP1B4	ENSG00000101892	protein_coding	FALSE
ATP2B3	ENSG00000067842	protein_coding	chrX	153517642	153582939	ATP2B3	ENSG00000067842	protein_coding	FALSE
ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ATP6AP1	ENSG00000071553	protein_coding	FALSE
ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ATP6AP2	ENSG00000182220	protein_coding	FALSE
ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ATP7A	ENSG00000165240	protein_coding	FALSE
ATRX	ENSG00000085224	protein_coding	chrX	77504880	77786233	ATRX	ENSG00000085224	protein_coding	FALSE
ATXN3L	ENSG00000123594	protein_coding	chrX	13318647	13320053	ATXN3L	ENSG00000123594	protein_coding	FALSE
AVPR2	ENSG00000126895	protein_coding	chrX	153902531	153907166	AVPR2	ENSG00000126895	protein_coding	FALSE
AWAT1	ENSG00000204195	protein_coding	chrX	70234655	70240659	AWAT1	ENSG00000204195	protein_coding	FALSE
AWAT2	ENSG00000147160	protein_coding	chrX	70040542	70049938	AWAT2	ENSG00000147160	protein_coding	FALSE
BCAP31	ENSG00000185825	protein_coding	chrX	153700492	153724565	BCAP31	ENSG00000185825	protein_coding	FALSE
BCLAF3	ENSG00000173681	protein_coding	chrX	19912860	19970298	CXorf23	ENSG00000173681	protein_coding	FALSE
BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	BCOR	ENSG00000183337	protein_coding	FALSE
BCORL1	ENSG00000085185	protein_coding	chrX	129981107	130058071	BCORL1	ENSG00000085185	protein_coding	FALSE
BEND2	ENSG00000177324	protein_coding	chrX	18162931	18220886	BEND2	ENSG00000177324	protein_coding	FALSE
BEX1	ENSG00000133169	protein_coding	chrX	103062651	103064171	BEX1	ENSG00000133169	protein_coding	FALSE
BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	BEX2	ENSG00000133134	protein_coding	FALSE
BEX3	ENSG00000166681	protein_coding	chrX	103376395	103378164	NGFRAP1	ENSG00000166681	protein_coding	FALSE
BEX4	ENSG00000102409	protein_coding	chrX	103215108	103217246	BEX4	ENSG00000102409	protein_coding	FALSE
BEX5	ENSG00000184515	protein_coding	chrX	102153708	102155977	BEX5	ENSG00000184515	protein_coding	FALSE
BGN	ENSG00000182492	protein_coding	chrX	153494980	153509546	BGN	ENSG00000182492	protein_coding	FALSE
BHLHB9	ENSG00000198908	protein_coding	chrX	102720688	102753540	BHLHB9	ENSG00000198908	protein_coding	FALSE
BMP15	ENSG00000130385	protein_coding	chrX	50910735	50916641	BMP15	ENSG00000130385	protein_coding	FALSE
BMX	ENSG00000102010	protein_coding	chrX	15464246	15556529	BMX	ENSG00000102010	protein_coding	FALSE
BRCC3	ENSG00000185515	protein_coding	chrX	155071420	155123077	BRCC3	ENSG00000185515	protein_coding	FALSE
BRS3	ENSG00000102239	protein_coding	chrX	136487947	136493780	BRS3	ENSG00000102239	protein_coding	FALSE
BRWD3	ENSG00000165288	protein_coding	chrX	80669503	80809877	BRWD3	ENSG00000165288	protein_coding	FALSE
BTK	ENSG00000010671	protein_coding	chrX	101349447	101390796	BTK	ENSG00000010671	protein_coding	FALSE
C1GALT1C1	ENSG00000171155	protein_coding	chrX	120625674	120630054	C1GALT1C1	ENSG00000171155	protein_coding	FALSE
CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	CA5B	ENSG00000169239	protein_coding	FALSE
CACNA1F	ENSG00000102001	protein_coding	chrX	49205063	49233371	CACNA1F	ENSG00000102001	protein_coding	FALSE
CAPN6	ENSG00000077274	protein_coding	chrX	111245099	111270483	CAPN6	ENSG00000077274	protein_coding	FALSE
CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	CASK	ENSG00000147044	protein_coding	FALSE
CBLL2	ENSG00000175809	protein_coding	chrX	22272913	22274461	ZNF645	ENSG00000175809	protein_coding	FALSE
CCDC120	ENSG00000147144	protein_coding	chrX	49053572	49069857	CCDC120	ENSG00000147144	protein_coding	FALSE
CCDC160	ENSG00000203952	protein_coding	chrX	134237047	134246207	CCDC160	ENSG00000203952	protein_coding	FALSE
CCDC22	ENSG00000101997	protein_coding	chrX	49235470	49250520	CCDC22	ENSG00000101997	protein_coding	FALSE
CCNB3	ENSG00000147082	protein_coding	chrX	50202713	50351914	CCNB3	ENSG00000147082	protein_coding	FALSE
CCNQ	ENSG00000262919	protein_coding	chrX	153587925	153600045	FAM58A	ENSG00000262919	protein_coding	FALSE
CD40LG	ENSG00000102245	protein_coding	chrX	136648158	136660390	CD40LG	ENSG00000102245	protein_coding	FALSE
CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	CD99	ENSG00000002586	protein_coding	FALSE
CD99L2	ENSG00000102181	protein_coding	chrX	150766336	150898816	CD99L2	ENSG00000102181	protein_coding	FALSE
CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	CDK16	ENSG00000102225	protein_coding	FALSE
CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	CDKL5	ENSG00000008086	protein_coding	FALSE
CDR1	ENSG00000288642	protein_coding	chrX	140783578	140784366	CDR1	ENSG00000184258	protein_coding	FALSE
CDX4	ENSG00000131264	protein_coding	chrX	73447053	73455171	CDX4	ENSG00000131264	protein_coding	FALSE
CENPI	ENSG00000102384	protein_coding	chrX	101098188	101166126	CENPI	ENSG00000102384	protein_coding	FALSE
CENPVL1	ENSG00000223591	protein_coding	chrX	51710512	51712131	CENPVP1	ENSG00000223591	protein_coding	FALSE
CENPVL2	ENSG00000283093	protein_coding	chrX	51681212	51682831	RP11-141O19.1	ENSG00000283093	protein_coding	FALSE
CENPVL3	ENSG00000224109	protein_coding	chrX	51617020	51618912	CENPVP3	ENSG00000224109	protein_coding	FALSE
CETN2	ENSG00000147400	protein_coding	chrX	152826994	152830757	CETN2	ENSG00000147400	protein_coding	FALSE
CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	FALSE
CFP	ENSG00000126759	protein_coding	chrX	47623172	47630305	CFP	ENSG00000126759	protein_coding	FALSE
CHIC1	ENSG00000204116	protein_coding	chrX	73563200	73687102	CHIC1	ENSG00000204116	protein_coding	FALSE
CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	CHM	ENSG00000188419	protein_coding	FALSE
CHRDL1	ENSG00000101938	protein_coding	chrX	110673856	110795819	CHRDL1	ENSG00000101938	protein_coding	FALSE
CHST7	ENSG00000147119	protein_coding	chrX	46573765	46598496	CHST7	ENSG00000147119	protein_coding	FALSE
CITED1	ENSG00000125931	protein_coding	chrX	72301638	72307187	CITED1	ENSG00000125931	protein_coding	FALSE
CLCN4	ENSG00000073464	protein_coding	chrX	10156975	10237660	CLCN4	ENSG00000073464	protein_coding	FALSE
CLCN5	ENSG00000171365	protein_coding	chrX	49922596	50099235	CLCN5	ENSG00000171365	protein_coding	FALSE
CLDN2	ENSG00000165376	protein_coding	chrX	106900164	106930861	CLDN2	ENSG00000165376	protein_coding	FALSE
CLDN34	ENSG00000234469	protein_coding	chrX	9967358	9968352	CLDN34	ENSG00000234469	protein_coding	FALSE
CLIC2	ENSG00000155962	protein_coding	chrX	155276211	155334657	CLIC2	ENSG00000155962	protein_coding	FALSE
CLTRN	ENSG00000147003	protein_coding	chrX	15627318	15675012	TMEM27	ENSG00000147003	protein_coding	FALSE
CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	CMC4	ENSG00000182712	protein_coding	FALSE
CNGA2	ENSG00000183862	protein_coding	chrX	151738451	151745304	CNGA2	ENSG00000183862	protein_coding	FALSE
CNKSR2	ENSG00000149970	protein_coding	chrX	21372801	21654695	CNKSR2	ENSG00000149970	protein_coding	FALSE
COL4A5	ENSG00000188153	protein_coding	chrX	108439838	108697545	COL4A5	ENSG00000188153	protein_coding	FALSE
COL4A6	ENSG00000197565	protein_coding	chrX	108155607	108439497	COL4A6	ENSG00000197565	protein_coding	FALSE
COX7B	ENSG00000131174	protein_coding	chrX	77899440	77907376	COX7B	ENSG00000131174	protein_coding	FALSE
CPXCR1	ENSG00000147183	protein_coding	chrX	88747225	88754785	CPXCR1	ENSG00000147183	protein_coding	FALSE
CRLF2	ENSG00000205755	protein_coding	chrX	1187549	1212723	CRLF2	ENSG00000205755	protein_coding	FALSE
CSAG1	ENSG00000198930	protein_coding	chrX	152727484	152733735	CSAG1	ENSG00000198930	protein_coding	FALSE
CSAG2	ENSG00000268902	protein_coding	chrX	152708261	152714549	CSAG2	ENSG00000268902	transcribed_unprocessed_pseudogene	FALSE
CSAG3	ENSG00000268916	protein_coding	chrX	152753921	152760222	CSAG3	ENSG00000268916	transcribed_processed_pseudogene	FALSE
CSF2RA	ENSG00000198223	protein_coding	chrX	1268800	1310381	CSF2RA	ENSG00000198223	protein_coding	FALSE
CSTF2	ENSG00000101811	protein_coding	chrX	100820359	100841520	CSTF2	ENSG00000101811	protein_coding	FALSE
CT45A1	ENSG00000268940	protein_coding	chrX	135713639	135723539	CT45A1	ENSG00000268940	protein_coding	FALSE
CT45A10	ENSG00000269586	protein_coding	chrX	135881063	135893444	CT45A10	ENSG00000269586	protein_coding	FALSE
CT45A2	ENSG00000271449	protein_coding	chrX	135811668	135820012	CT45A2	ENSG00000271449	protein_coding	FALSE
CT45A3	ENSG00000269096	protein_coding	chrX	135759846	135768191	CT45A3	ENSG00000269096	protein_coding	FALSE
CT45A5	ENSG00000228836	protein_coding	chrX	135777130	135785298	CT45A5	ENSG00000228836	protein_coding	FALSE
CT45A6	ENSG00000278289	protein_coding	chrX	135794685	135802787	CT45A6	ENSG00000278289	protein_coding	FALSE
CT45A7	ENSG00000273696	protein_coding	chrX	135829247	135837268	CT45A7	ENSG00000273696	protein_coding	FALSE
CT45A8	ENSG00000278085	protein_coding	chrX	135846497	135854538	CT45A8	ENSG00000278085	protein_coding	FALSE
CT45A9	ENSG00000270946	protein_coding	chrX	135863418	135871812	CT45A9	ENSG00000270946	protein_coding	FALSE
CT47A1	ENSG00000236371	protein_coding	chrX	120982476	120985760	CT47A1	ENSG00000236371	protein_coding	FALSE
CT47A10	ENSG00000224089	protein_coding	chrX	120938701	120942023	CT47A10	ENSG00000224089	protein_coding	FALSE
CT47A11	ENSG00000226929	protein_coding	chrX	120933840	120937158	CT47A11	ENSG00000226929	protein_coding	FALSE
CT47A12	ENSG00000226685	protein_coding	chrX	120930250	120932301	CT47A12	ENSG00000226685	protein_coding	FALSE
CT47A2	ENSG00000242362	protein_coding	chrX	120977606	120980928	CT47A2	ENSG00000242362	protein_coding	FALSE
CT47A3	ENSG00000236126	protein_coding	chrX	120972746	120976068	CT47A3	ENSG00000236126	protein_coding	FALSE
CT47A4	ENSG00000230594	protein_coding	chrX	120967886	120971208	CT47A4	ENSG00000230594	protein_coding	FALSE
CT47A5	ENSG00000237957	protein_coding	chrX	120963026	120966348	CT47A5	ENSG00000237957	protein_coding	FALSE
CT47A6	ENSG00000226023	protein_coding	chrX	120958165	120961487	CT47A6	ENSG00000226023	protein_coding	FALSE
CT47A7	ENSG00000228517	protein_coding	chrX	120953282	120956600	CT47A7	ENSG00000228517	protein_coding	FALSE
CT47A8	ENSG00000230347	protein_coding	chrX	120948422	120951744	CT47A8	ENSG00000230347	protein_coding	FALSE
CT47A9	ENSG00000226600	protein_coding	chrX	120943561	120946883	CT47A9	ENSG00000226600	protein_coding	FALSE
CT47B1	ENSG00000236446	protein_coding	chrX	120872603	120875929	CT47B1	ENSG00000236446	protein_coding	FALSE
CT55	ENSG00000169551	protein_coding	chrX	135156540	135171398	CT55	ENSG00000169551	protein_coding	FALSE
CT83	ENSG00000204019	protein_coding	chrX	116461686	116462976	CT83	ENSG00000204019	protein_coding	FALSE
CTAG1A	ENSG00000268651	protein_coding	chrX	154585133	154586816	CTAG1A	ENSG00000268651	protein_coding	FALSE
CTAG1B	ENSG00000184033	protein_coding	chrX	154617609	154619282	CTAG1B	ENSG00000184033	protein_coding	FALSE
CTAG2	ENSG00000126890	protein_coding	chrX	154651972	154653579	CTAG2	ENSG00000126890	protein_coding	FALSE
CTPS2	ENSG00000047230	protein_coding	chrX	16587999	16712936	CTPS2	ENSG00000047230	protein_coding	FALSE
CUL4B	ENSG00000158290	protein_coding	chrX	120505920	120604074	CUL4B	ENSG00000158290	protein_coding	FALSE
CXCR3	ENSG00000186810	protein_coding	chrX	71615916	71618511	CXCR3	ENSG00000186810	protein_coding	FALSE
CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	CXorf38	ENSG00000185753	protein_coding	FALSE
CXorf49	ENSG00000215115	protein_coding	chrX	71714371	71718285	CXorf49	ENSG00000215115	protein_coding	FALSE
CXorf49B	ENSG00000215113	protein_coding	chrX	71763349	71767204	CXorf49B	ENSG00000215113	protein_coding	FALSE
CXorf51A	ENSG00000224440	protein_coding	chrX	146814106	146814726	CXorf51A	ENSG00000224440	lincRNA	FALSE
CXorf51B	ENSG00000235699	protein_coding	chrX	146809771	146810411	CXorf51B	ENSG00000235699	lincRNA	FALSE
CXorf58	ENSG00000165182	protein_coding	chrX	23908006	23939509	CXorf58	ENSG00000165182	protein_coding	FALSE
CXorf65	ENSG00000204165	protein_coding	chrX	71103889	71106788	CXorf65	ENSG00000204165	protein_coding	FALSE
CXorf66	ENSG00000203933	protein_coding	chrX	139955728	139965521	CXorf66	ENSG00000203933	protein_coding	FALSE
CYBB	ENSG00000165168	protein_coding	chrX	37780059	37813461	CYBB	ENSG00000165168	protein_coding	FALSE
CYLC1	ENSG00000183035	protein_coding	chrX	83861126	83886699	CYLC1	ENSG00000183035	protein_coding	FALSE
CYSLTR1	ENSG00000173198	protein_coding	chrX	78271468	78327691	CYSLTR1	ENSG00000173198	protein_coding	FALSE
DACH2	ENSG00000126733	protein_coding	chrX	86148451	86832604	DACH2	ENSG00000126733	protein_coding	FALSE
DCAF12L1	ENSG00000198889	protein_coding	chrX	126549383	126552814	DCAF12L1	ENSG00000198889	protein_coding	FALSE
DCAF12L2	ENSG00000198354	protein_coding	chrX	126163499	126166289	DCAF12L2	ENSG00000198354	protein_coding	FALSE
DCAF8L1	ENSG00000226372	protein_coding	chrX	27977992	27981449	DCAF8L1	ENSG00000226372	protein_coding	FALSE
DCAF8L2	ENSG00000189186	protein_coding	chrX	27590382	27748821	DCAF8L2	ENSG00000189186	protein_coding	FALSE
DCX	ENSG00000077279	protein_coding	chrX	111293779	111412429	DCX	ENSG00000077279	protein_coding	FALSE
DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	DDX3X	ENSG00000215301	protein_coding	TRUE
DDX53	ENSG00000184735	protein_coding	chrX	22999960	23003589	DDX53	ENSG00000184735	protein_coding	FALSE
DGAT2L6	ENSG00000184210	protein_coding	chrX	70177483	70205704	DGAT2L6	ENSG00000184210	protein_coding	FALSE
DGKK	ENSG00000274588	protein_coding	chrX	50365409	50470825	DGKK	ENSG00000274588	protein_coding	FALSE
DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	DHRSX	ENSG00000169084	protein_coding	FALSE
DIAPH2	ENSG00000147202	protein_coding	chrX	96684663	97604997	DIAPH2	ENSG00000147202	protein_coding	FALSE
DIPK2B	ENSG00000147113	protein_coding	chrX	45148373	45200901	CXorf36	ENSG00000147113	protein_coding	FALSE
DKC1	ENSG00000130826	protein_coding	chrX	154762742	154777689	DKC1	ENSG00000130826	protein_coding	FALSE
DLG3	ENSG00000082458	protein_coding	chrX	70444835	70505490	DLG3	ENSG00000082458	protein_coding	FALSE
DMD	ENSG00000198947	protein_coding	chrX	31097677	33339609	DMD	ENSG00000198947	protein_coding	FALSE
DMRTC1	ENSG00000269502	protein_coding	chrX	72872025	72943837	DMRTC1	ENSG00000269502	protein_coding	FALSE
DMRTC1B	ENSG00000184911	protein_coding	chrX	72776890	72848803	DMRTC1B	ENSG00000184911	protein_coding	FALSE
DNAAF6	ENSG00000080572	protein_coding	chrX	107206611	107244247	PIH1D3	ENSG00000080572	protein_coding	FALSE
DNASE1L1	ENSG00000013563	protein_coding	chrX	154401236	154412112	DNASE1L1	ENSG00000013563	protein_coding	FALSE
DOCK11	ENSG00000147251	protein_coding	chrX	118495815	118686163	DOCK11	ENSG00000147251	protein_coding	FALSE
DRP2	ENSG00000102385	protein_coding	chrX	101219769	101264502	DRP2	ENSG00000102385	protein_coding	FALSE
DUSP21	ENSG00000189037	protein_coding	chrX	44844021	44844888	DUSP21	ENSG00000189037	protein_coding	FALSE
DUSP9	ENSG00000130829	protein_coding	chrX	153642492	153651326	DUSP9	ENSG00000130829	protein_coding	FALSE
DYNLT3	ENSG00000165169	protein_coding	chrX	37836757	37847571	DYNLT3	ENSG00000165169	protein_coding	FALSE
EBP	ENSG00000147155	protein_coding	chrX	48521799	48528716	EBP	ENSG00000147155	protein_coding	FALSE
EDA	ENSG00000158813	protein_coding	chrX	69616067	70039472	EDA	ENSG00000158813	protein_coding	FALSE
EDA2R	ENSG00000131080	protein_coding	chrX	66595637	66639298	EDA2R	ENSG00000131080	protein_coding	FALSE
EFHC2	ENSG00000183690	protein_coding	chrX	44147872	44343672	EFHC2	ENSG00000183690	protein_coding	FALSE
EFNB1	ENSG00000090776	protein_coding	chrX	68829021	68842160	EFNB1	ENSG00000090776	protein_coding	FALSE
EGFL6	ENSG00000198759	protein_coding	chrX	13569601	13633575	EGFL6	ENSG00000198759	protein_coding	FALSE
EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	EIF1AX	ENSG00000173674	protein_coding	TRUE
EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	EIF2S3	ENSG00000130741	protein_coding	FALSE
ELF4	ENSG00000102034	protein_coding	chrX	130063955	130110716	ELF4	ENSG00000102034	protein_coding	FALSE
ELK1	ENSG00000126767	protein_coding	chrX	47635521	47650604	ELK1	ENSG00000126767	protein_coding	FALSE
EMD	ENSG00000102119	protein_coding	chrX	154379273	154381574	EMD	ENSG00000102119	protein_coding	FALSE
ENOX2	ENSG00000165675	protein_coding	chrX	130622325	130903234	ENOX2	ENSG00000165675	protein_coding	FALSE
EOLA1	ENSG00000197620	protein_coding	chrX	149540355	149550510	CXorf40A	ENSG00000197620	protein_coding	FALSE
EOLA2	ENSG00000197021	protein_coding	chrX	149929527	149938700	CXorf40B	ENSG00000197021	protein_coding	FALSE
ERAS	ENSG00000187682	protein_coding	chrX	48826513	48830138	ERAS	ENSG00000187682	protein_coding	FALSE
ERCC6L	ENSG00000186871	protein_coding	chrX	72204657	72239027	ERCC6L	ENSG00000186871	protein_coding	FALSE
ESX1	ENSG00000123576	protein_coding	chrX	104250038	104254933	ESX1	ENSG00000123576	protein_coding	FALSE
ETDA	ENSG00000238210	protein_coding	chrX	135252061	135253583	RP13-210D15.4	ENSG00000238210	lincRNA	FALSE
ETDB	ENSG00000224107	protein_coding	chrX	135118955	135120526	LINC00633	ENSG00000224107	lincRNA	FALSE
ETDC	ENSG00000283644	protein_coding	chrX	135309480	135309659	NA	ENSG00000283644	NA	FALSE
EZHIP	ENSG00000187690	protein_coding	chrX	51406948	51408843	CXorf67	ENSG00000187690	protein_coding	FALSE
F8	ENSG00000185010	protein_coding	chrX	154835788	155026940	F8	ENSG00000185010	protein_coding	FALSE
F8A1	ENSG00000288722	protein_coding	chrX	154886355	154888061	F8A1	ENSG00000277203	protein_coding	FALSE
F8A2	ENSG00000288709	protein_coding	chrX	155382095	155383801	F8A2	ENSG00000274791	protein_coding	FALSE
F8A3	ENSG00000277150	protein_coding	chrX	155456914	155458620	F8A3	ENSG00000277150	protein_coding	FALSE
F9	ENSG00000101981	protein_coding	chrX	139530739	139563459	F9	ENSG00000101981	protein_coding	FALSE
FAAH2	ENSG00000165591	protein_coding	chrX	57286706	57489193	FAAH2	ENSG00000165591	protein_coding	FALSE
FAM104B	ENSG00000182518	protein_coding	chrX	55143102	55161310	FAM104B	ENSG00000182518	protein_coding	FALSE
FAM120C	ENSG00000184083	protein_coding	chrX	54068324	54183281	FAM120C	ENSG00000184083	protein_coding	FALSE
FAM133A	ENSG00000179083	protein_coding	chrX	93674013	93712274	FAM133A	ENSG00000179083	protein_coding	FALSE
FAM155B	ENSG00000130054	protein_coding	chrX	69504326	69532508	FAM155B	ENSG00000130054	protein_coding	FALSE
FAM156A	ENSG00000268350	protein_coding	chrX	52926402	52995472	FAM156A	ENSG00000268350	protein_coding	FALSE
FAM156B	ENSG00000179304	protein_coding	chrX	52891306	52908560	FAM156B	ENSG00000179304	protein_coding	FALSE
FAM199X	ENSG00000123575	protein_coding	chrX	104166453	104195902	FAM199X	ENSG00000123575	protein_coding	FALSE
FAM236A	ENSG00000275520	protein_coding	chrX	72938163	72938958	LINC00684	ENSG00000275520	lincRNA	FALSE
FAM236B	ENSG00000268994	protein_coding	chrX	72781865	72782660	RP1-172N19.1	ENSG00000268994	lincRNA	FALSE
FAM236C	ENSG00000283594	protein_coding	chrX	72912615	72913401	NA	ENSG00000283594	NA	FALSE
FAM236D	ENSG00000225396	protein_coding	chrX	72807425	72808210	RP11-69A21.2	ENSG00000225396	lincRNA	FALSE
FAM3A	ENSG00000071889	protein_coding	chrX	154506159	154516242	FAM3A	ENSG00000071889	protein_coding	FALSE
FAM47A	ENSG00000185448	protein_coding	chrX	34129752	34132314	FAM47A	ENSG00000185448	protein_coding	FALSE
