Gene	Num_samples_lcl	AR_lcl	AR_adj_lcl	AR_pval_lcl	AR_pval_adj_lcl	sig_AR_lcl	deltaEx_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	x_adj_pval_LCL	AR_outside_dEx_CI.x	dEx_vs_AR_pval.x	dEx_vs_AR_pval_adj.x	dEx_sig_diff_AR_t_test.x	off_diag.x	Num_samples_fib	AR_fib	AR_adj_fib	AR_pval_fib	AR_pval_adj_fib	sig_AR_fib	deltaEx_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	x_adj_pval_Fib	AR_outside_dEx_CI.y	dEx_vs_AR_pval.y	dEx_vs_AR_pval_adj.y	dEx_sig_diff_AR_t_test.y	off_diag.y	gene_name.84	Balaton.consensus.calls	Carrel_hybrids	Cotton_AR	Cotton_95ci_lo	Cotton_Esc_myCall	Tuk_skew_padj	Tuk_SC_inf_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	num_inf_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_AR_p.adj	Sauteraud_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	num_studies_Subject	Final_XCI_Call	Diff_from_Balaton
AMOT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.258473259202635	0.0304453011848557	0.0505855591649198	0.133249765605154	N	-0.0101772905404498	-0.152086568626312	0.131731987545412	0.954640389794764	N	0.060759677517897	0.118531174174258	N	N	AMOT	S	0	0.0628962962962963	0.021104478659034	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0628962962962963	1	0	1	Subject	FALSE
AP1S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AP1S2	Mostly E	1	0.239896875	0.173957008090093	Escape	1	1	1	0.53125	Escape	3	0.666666666666667	0.277808862415215	Escape	NA	NA	NA	0.349651912471738	3	3	0	Escape	FALSE
APEX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	APEX2	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00761107623047163	0.587771349657336	Subject	0.00761107623047163	1	0	1	Subject	FALSE
APOO	4	0.171678278734284	0.0139920746232582	0.134335689588775	0.179114252785033	N	-0.0246844055609111	-0.0504583189819035	0.00108950786008133	0.139537042020267	Y	0.0332757790300995	0.0955149942625789	Y	N	3	0.271497052082787	0.0859502017387697	0.110851538921689	0.196261741041678	N	-0.00269278758644773	-0.0726995053798362	0.0673139302069408	0.967070301515626	Y	0.212357636294841	0.290466192173403	N	N	APOO	S	0.11	0.0296466666666667	0.00841785398008088	Subject	NA	2	0	0	Subject	NA	NA	NA	NA	0.0266200642506287	0.0705546565155433	Subject	0.0187555769724318	3	0	3	Subject	FALSE
APOOL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	APOOL	Mostly S	0	0.0280758620689655	-0.0105326428640836	Subject	NA	NA	NA	NA	NA	3	0	0.00127646197601661	Subject	NA	NA	NA	0.0146761620224911	2	0	2	Subject	FALSE
AR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AR	Mostly S	0	0.0764117647058823	0.0301254827913232	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0764117647058823	1	0	1	Subject	FALSE
ARAF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.300595238095238	0.189708141321044	0.103659434625643	0.189749473552025	N	-0.0145634372371999	-0.0468469052427297	0.0177200307683298	0.627209936996882	Y	0.186252906137423	0.266493190716338	N	N	ARAF	S	0	0.0446461538461538	0.0170085979427173	Subject	NA	NA	NA	NA	NA	2	0	0.00588698297654855	Subject	0.00379952059269789	0.470549466958841	Subject	0.0181108858051334	3	0	3	Subject	FALSE
ARHGAP4	5	0.136726102130788	0.0220716208279129	0.165269482832888	0.199432640067707	N	-0.0183202223969945	-0.0491855617086998	0.0125451169147108	0.38201878807729	Y	0.112840025382668	0.189320487030921	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARHGAP4	Discordant	0.78	0.09444	0.0115677108902298	Subject	1	1	0	0.0138888888888889	Subject	NA	NA	NA	NA	0.0407023272668556	0.0407108222890983	Subject	0.0496770720519148	3	0	3	Subject	TRUE
ARHGAP6	3	0.317278825405761	0.131125513065553	0.113712311445509	0.15941302747435	N	-0.143559786539855	-0.245237293915933	-0.0418822791637769	0.0192771911946888	Y	0.0690760183298116	0.135460763218202	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARHGAP6	Mostly S	0.11	0.0396260273972603	0.0203590574056866	Subject	NA	NA	NA	NA	NA	3	0	0.00126478087169501	Subject	NA	NA	NA	0.0204454041344777	2	0	2	Subject	FALSE
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARHGEF6	S	0	0.0292375	0.0087226496491769	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0292375	1	0	1	Subject	FALSE
ARHGEF9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARHGEF9	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	No call	TRUE
ARMCX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.264762951274101	0.0704330827495479	0.0369822512750548	0.117473033461939	N	0.0215070226606117	-0.0280584997251145	0.071072545046338	0.646094007215789	N	0.157696153115975	0.241208315363423	N	N	ARMCX1	S	0.11	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0.00336468838823079	Subject	NA	NA	NA	0.00336468838823079	1	0	1	Subject	FALSE
ARMCX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARMCX2	S	0.11	NA	NA	NA	NA	2	0	0	Subject	NA	NA	NA	NA	0.0442965056617202	0.127541522757134	Subject	0.0221482528308601	2	0	2	Subject	FALSE
ARMCX3	7	0.15860581447538	0.00619736214841886	0.177958841874791	0.207083612104648	N	0.00264660263827861	-0.0344309958729783	0.0397242011495355	0.928075430856085	N	0.587493735876671	0.66202652326401	N	N	5	0.230298108533909	0.0313752597117045	0.0889307959022217	0.180083373656116	N	0.000747649484714666	-0.0832467177434587	0.084742016712888	0.996233209927388	N	0.186197898433271	0.266493190716338	N	N	ARMCX3	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0248881116054581	0.0705936640333156	Subject	0.0248881116054581	1	0	1	Subject	FALSE
ARMCX4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARMCX4	Mostly S	0.33	0.0580222222222222	0.0238393866773699	Subject	NA	NA	NA	NA	NA	2	0	0.00112854147540264	Subject	NA	NA	NA	0.0295753818488124	2	0	2	Subject	FALSE
ARMCX5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARMCX5	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
ARMCX6	5	0.12504631952587	0.0254594699403245	0.0970164142153772	0.150642783578805	N	-0.0133971916624542	-0.0396398108215908	0.0128454274966824	0.461606924924383	Y	0.0760575465264947	0.14537581677849	N	N	3	0.225046501270598	0.0286738351254482	0.211324865405187	0.211324865405187	N	-0.0355540583794927	-0.0737777382787157	0.0026696215197303	0.202418860022989	Y	0.154427543080409	0.241208315363423	N	N	ARMCX6	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
ARSD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.602870112177827	0.473917818259323	0.00906941996486276	0.0466427312478656	Y	0.176987992241631	0.0528307410276686	0.301145243455593	0.0273506588949797	Y	0.0600412689914283	0.118531174174258	N	N	ARSD	Mostly E	1	0.287652380952381	0.210773414692259	Escape	NA	NA	NA	NA	NA	2	1	0.271353199257124	Escape	NA	NA	NA	0.279502790104752	2	2	0	Escape	FALSE
ASMTL	12	0.810461637479062	0.779791077559809	1.41393264546167e-11	4.23385980228704e-10	Y	0.730314502773435	0.525348621109958	0.935280384436913	2.89888813101094e-18	N	0.123839735199496	0.201073118442193	N	N	4	0.799997859113386	0.751406422799199	0.00374792795849473	0.0259946897434522	Y	0.647429973034898	0.483580325466865	0.81127962060293	2.5364437650992e-13	N	0.436670381048803	0.514492825196115	N	N	ASMTL	PAR	1	0.654266666666667	0.583413173859833	Escape	7.25286668239057e-103	3	1	0.755580192748774	Escape	4	1	0.619120420174023	Escape	0.681059612642366	3.0460632586468e-41	Escape	0.677506723057958	4	4	0	Escape	FALSE
ATG4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATG4A	Mostly S	0.11	0.035064	-0.0190719378689757	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035064	1	0	1	Subject	FALSE
ATP11C	3	0.16639516994402	0	NA	NA	N	-0.0341642348821535	-0.069879665782342	0.00155119601803506	0.139537042020267	N	0	0	Y	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP11C	S	0.11	0.0171193548387097	0.0018098261565889	Subject	NA	NA	NA	NA	NA	2	0	0.00430471412361133	Subject	0.0163549892978291	0.33388626311849	Subject	0.01259301942005	3	0	3	Subject	FALSE
ATP6AP1	5	0.225671698551227	0.0611231210680152	0.176573095416099	0.207083612104648	N	-0.0235368671890458	-0.0560673242292756	0.00899358985118401	0.272888522281992	Y	0.219694359292833	0.301580438665616	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP6AP1	S	0	0.0513545454545455	0.012432080686881	Subject	1	2	0	0.00754451345755694	Subject	NA	NA	NA	NA	0.0175567629348907	0.0783930139034785	Subject	0.0254852739489977	3	0	3	Subject	FALSE
ATP6AP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP6AP2	Mostly S	0.11	0.02793	-0.00272054060672412	Subject	1	3	0.333333333333333	0.0193274799809827	Escape	3	0	0.00208907672787717	Subject	0.00454113470782708	0.335050239543553	Subject	0.0134719228541717	4	1	3	Subject	FALSE
ATP7A	3	0.216190336609268	0.0281708484072279	0.108088287292004	0.15587009409918	N	-0.0641190390457436	-0.117425681626314	-0.0108123964651734	0.0563477938081805	Y	0.0280175056430494	0.0946732379276233	Y	N	4	0.170401426270991	0.00360489391658978	0.195501109477885	0.211324865405187	N	-0.0143057877328956	-0.0625474240267709	0.0339358485609797	0.7852505161637	N	0.015661835154774	0.0532502395262316	Y	N	ATP7A	Mostly S	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606409831162261	0.145997548433373	Subject	0.0606409831162261	1	0	1	Subject	FALSE
ATRX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATRX	S	0	NA	NA	NA	1	1	0	0	Subject	2	0	0.00394425421333688	Subject	0.0198151157455669	0.317950416849567	Subject	0.00791978998630126	3	0	3	Subject	FALSE
BCAP31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCAP31	Mostly S	NA	0.0183333333333333	-0.00362402649213408	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0183333333333333	1	0	1	Subject	FALSE
BCLAF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CXorf23	S	0.11	0.0148181818181818	-0.00151653602947427	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0148181818181818	1	0	1	Subject	FALSE
BCOR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCOR	Mostly S	0.22	0.0141217391304348	0.00361516879745672	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0106988068324216	0.38664517887036	Subject	0.0124102729814282	2	0	2	Subject	FALSE
BCORL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCORL1	S	0	0.0178235294117647	0.00759503435936264	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0178235294117647	1	0	1	Subject	FALSE
BEX2	3	0.498366013071895	0.336019158000582	0.0697973191641341	0.143583056566219	N	-0.235506011648554	-0.324258971526206	-0.146753051770902	1.93272085961162e-06	Y	0.0556210456168951	0.115051751892482	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BEX2	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
BEX3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NGFRAP1	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
BEX4	6	0.314348797926932	0.203901331756416	0.0774031103300682	0.148613971833731	N	-0.107689354282625	-0.218257717438886	0.00287900887363675	0.126856409789118	Y	0.0506781750125455	0.109827038500474	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BEX4	S	0	NA	NA	NA	1	1	0	0	Subject	2	0	0.00142555284674328	Subject	0.0104660788537	0.721067610157019	Subject	0.00396387723348109	3	0	3	Subject	FALSE
BEX5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BEX5	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	No call	FALSE
BGN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0.192227470298451	0.0377566311742728	0.129321941988019	0.204530709000901	N	-0.0642612359614852	-0.171110613355919	0.0425881414329491	0.492508161950856	N	0.0183852764004363	0.0580980343956317	Y	N	BGN	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
BHLHB9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BHLHB9	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
BRCC3	5	0.133969216333748	0.026867729067023	0.125723882515925	0.169198496096198	N	-0.00963218556407819	-0.0441566239221876	0.0248922527940312	0.711204552802198	Y	0.14292230183992	0.222487294616782	N	N	4	0.1875	0.00247524752475247	0.195501109477885	0.211324865405187	N	0.00722048389789041	-0.0381066266952216	0.0525475944910024	0.909070975464042	N	0.151071146298164	0.241208315363423	N	N	BRCC3	Mostly S	0.33	0.0405290322580645	0.00094601927860645	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00871717685420085	0.905206388265916	Subject	0.0246231045561327	2	0	2	Subject	FALSE
BRWD3	4	0.356001984126984	0.157627375787088	0.0730281018934139	0.146332819826149	N	-0.0235667857694866	-0.0595743258607387	0.0124407543217655	0.324399947792964	Y	0.110623148680323	0.187686465738526	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BRWD3	S	NA	0.007325	-0.00160347319493051	Subject	NA	NA	NA	NA	NA	2	0	0	Subject	NA	NA	NA	0.0036625	2	0	2	Subject	FALSE
BTK	6	0.192356297514039	0.0198792162878315	0.0888244464393162	0.150642783578805	N	-0.0125201416255817	-0.0353524098547752	0.0103121266036118	0.43117753342751	Y	0.0509131966558488	0.109827038500474	N	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BTK	S	0.22	0.0233765957446808	0.0103455080444582	Subject	1	2	0	0.00260416666666667	Subject	NA	NA	NA	NA	0.0287487489497186	0.100315310928028	Subject	0.0182431704536887	3	0	3	Subject	FALSE
C1GALT1C1	5	0.125682517347131	0.00823601722744004	0.117937894373349	0.162576772990142	N	0.0354370184742463	-0.00748656479605336	0.078360601744546	0.20538920724669	N	0.0100108159676404	0.0434133507874519	Y	N	5	0.159387221939383	0.000685641393605988	0.186950483149998	0.211324865405187	N	-0.0251869299826497	-0.0963276842357278	0.0459538242704284	0.749018500198388	N	2.94544144223048e-06	2.69621178173406e-05	Y	N	C1GALT1C1	S	0	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0.00289724198721079	Subject	0.0214505961815944	0.0085869536694521	Escape	0.0121739190844026	2	1	1	Subject	FALSE
CA5B	8	0.417513736263736	0.358746532058577	0.000758096966227108	0.00436663852546814	Y	0.165778426557352	0.113663535974511	0.217893317140192	4.01986690735517e-08	Y	0.030430584429784	0.0953110616201074	Y	Y	9	0.555804264805608	0.445879036130046	8.82293122092258e-05	0.0023821914296491	Y	0.338394740596674	0.195000275519947	0.481789205673401	2.90271001957794e-05	N	0.152404852441206	0.241208315363423	N	N	CA5B	Mostly E	1	0.336205555555556	0.295424494014265	Escape	NA	NA	NA	NA	NA	2	1	0.156815469731429	Escape	NA	NA	NA	0.246510512643493	2	2	0	Escape	FALSE
CASK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASK	S	0	0.0342681818181818	0.0194815391576275	Subject	NA	NA	NA	NA	NA	5	0	0.00474328779858828	Subject	NA	NA	NA	0.0195057348083851	2	0	2	Subject	FALSE
CCDC120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCDC120	S	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	Subject	FALSE
CCDC22	3	0.10373373671246	0	NA	NA	N	-0.00896178223596925	-0.0375148742463346	0.0195913097743961	0.67386290828647	N	0	0	Y	N	4	0.179511529660271	0.00841386204598468	0.195501109477885	0.211324865405187	N	0.0236516660707689	-0.0467369194904385	0.0940402516319763	0.76078223919129	N	0.167816733401392	0.249627390934571	N	N	CCDC22	S	0	0.0288125	-0.0062544804805631	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0154877442034257	0.260884861670767	Subject	0.0221501221017129	2	0	2	Subject	FALSE
CCNQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAM58A	S	0	0.017065	-0.00200908727821182	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.017065	1	0	1	Subject	FALSE
CD99	11	0.527470131539197	0.458217220103173	6.08633680764676e-05	0.000438216250150567	Y	0.473068761691474	0.30056775630607	0.645569767076877	1.49417761107653e-09	N	0.848181497247227	0.859566483787459	N	N	3	0.598722408403693	0.502579015779409	0.0179498836560205	0.0717967480838023	N	0.694330965821368	0.481996276249751	0.906665655392985	9.05149784528141e-11	N	0.18919229016255	0.266493190716338	N	N	CD99	PAR	1	0.621792105263158	0.567624349735065	Escape	NA	2	1	0.606481481481481	Escape	5	0.8	0.533636266474577	Escape	NA	NA	NA	0.587303284406405	3	3	0	Escape	FALSE
